Name,Count,avgRetweet,medianRetweet,avgLogRetweet,medianLogRetweet,avgPolarSenti,avgSubjSenti
will,50,40.76,19.5,1.3487957102893113,1.3116246451989504,0.07028729603729604,0.21855128205128208
sharks,156,30.833333333333332,20.0,1.3438049726461616,1.3222192947339193,0.17785733330504966,0.37661241002587165
say,15,16.666666666666668,13,1.171331501288143,1.146128035678238,0.23714285714285718,0.23238095238095238
yes,15,13.266666666666667,6,0.9962975419452876,0.8450980400142568,0.22389632936507936,0.34821428571428564
bridal,1,13.0,13,1.146128035678238,1.146128035678238,0.0,0.0
business,42,39.19047619047619,22.5,1.4213348891110504,1.370181344747122,0.06756741522366522,0.29306006493506487
#sharktank,930,24.370967741935484,15.0,1.251664883616656,1.2041199826559248,0.21748238087703795,0.34222621479476295
minds,1,13.0,13,1.146128035678238,1.146128035678238,0.0,0.0
investors,1,13.0,13,1.146128035678238,1.146128035678238,0.0,0.0
artists,1,13.0,13,1.146128035678238,1.146128035678238,0.0,0.0
love,28,28.535714285714285,17.5,1.3098676608752051,1.2670130530280674,0.4621577380952381,0.5215476190476189
see,42,16.714285714285715,11.5,1.140378551214138,1.0965622991772308,0.20739087301587303,0.28809523809523807
success,13,25.46153846153846,26,1.3440330386946693,1.4313637641589874,0.35552884615384617,0.24759615384615385
popularity,1,16.0,16,1.2304489213782739,1.2304489213782739,0.4375,0.3
company,13,18.307692307692307,18,1.1560498563188508,1.2787536009528289,0.2830128205128205,0.291025641025641
shocking,2,15.0,15.0,1.196348476629833,1.196348476629833,-0.625,0.875
finale,5,24.6,18,1.3503020100540082,1.2787536009528289,-0.6,0.53
headed,4,29.0,29.0,1.448656861166127,1.4515449934959719,-0.20738636363636365,0.36363636363636365
way,15,37.46666666666667,24,1.4365287865735654,1.3979400086720377,0.21497474747474749,0.4416919191919192
friday,25,64.16,49,1.6363927867448618,1.6989700043360187,0.2373206168831169,0.5578073593073595
another,5,48.4,35,1.392089664985626,1.5563025007672873,-0.0115,0.31399999999999995
high,10,33.2,16.0,1.3031250334144195,1.2296962438796153,0.11716666666666667,0.593
valuation,8,14.5,15.0,1.1549495766696132,1.196348476629833,0.038645833333333345,0.52125
shocked,5,21.8,19,1.2806241042351636,1.3010299956639813,-0.7715,0.774
buckle,1,22.0,22,1.3617278360175928,1.3617278360175928,-0.3575,0.6699999999999999
come,8,26.75,22.5,1.385982172968327,1.3709695388645993,0.17484375000000002,0.6202083333333333
along,5,26.8,22,1.349910347967128,1.3617278360175928,0.4135,0.7884444444444444
ride,6,24.833333333333332,21.5,1.3375046051712058,1.3520752584198994,0.13625,0.4255555555555555
entrepreneur,42,34.833333333333336,28.5,1.4441101941321606,1.4697596263093091,0.18515941730227445,0.2982542259327974
wants,9,17.88888888888889,19,1.2114021990198132,1.3010299956639813,0.2361111111111111,0.11851851851851852
simplify,1,27.0,27,1.4471580313422192,1.4471580313422192,0.25,0.1
cooking,2,45.5,45.5,1.6300356939925373,1.6300356939925373,-0.125,0.39999999999999997
experience,2,19.0,19.0,1.263169638694922,1.263169638694922,0.5125000000000001,0.46249999999999997
indeed,2,12.5,12.5,1.1047575072713154,1.1047575072713154,0.10416666666666666,0.4166666666666667
congratulations,16,31.375,16.0,1.2562196414084381,1.2296962438796153,0.54609375,0.44388020833333336
@scoopingbowl,4,9.5,8.0,0.9799786201648579,0.9432453625862409,0.28125,0.475
now,50,24.96,14.5,1.2544476642914175,1.1901056208558032,0.2063373556998557,0.36445519480519484
@lorigreiner,52,22.653846153846153,14.5,1.2195032666176708,1.1901056208558032,0.28585451007326007,0.3680746336996338
queen,5,15.0,15,1.1601456145880449,1.2041199826559248,-0.05,0.08
inspiring,7,25.428571428571427,23,1.3565468205161875,1.380211241711606,0.588392857142857,0.8559523809523809
story,11,33.09090909090909,29,1.4169701823534306,1.4771212547196624,0.4793560606060607,0.6606060606060605
huge,2,6.5,6.5,0.8661968799114843,0.8661968799114843,0.3433333333333334,0.69
tyler,1,5.0,5,0.7781512503836436,0.7781512503836436,0.5000000000000001,0.9
mark,5,17.8,11,1.1804371427398,1.0791812460476249,0.4590909090909091,0.32
offer,19,15.421052631578947,9,1.087443810785241,1.0,0.08026315789473684,0.15
good,25,13.68,11,1.0909392595802472,1.0791812460476249,0.5734583333333333,0.633095238095238
@mcuban,53,43.679245283018865,25,1.4446929636018164,1.414973347970818,0.09711627732854147,0.2602530697813717
@rumi_spice,2,11.0,11.0,0.8996702747267908,0.8996702747267908,0.75,0.55
believe,13,16.76923076923077,13,1.1806101496328811,1.146128035678238,0.2655448717948718,0.44999999999999996
entrepreneurship,1,15.0,15,1.2041199826559248,1.2041199826559248,0.0,0.0
helping,2,14.0,14.0,1.1751240091670814,1.1751240091670814,0.5,0.375
people,13,31.53846153846154,24,1.4407329501130615,1.3979400086720377,0.1533653846153846,0.30769230769230765
@thesharkdaymond,39,28.71794871794872,17,1.3185096551974438,1.255272505103306,0.19936059311059312,0.35765567765567763
definitely,11,24.363636363636363,17,1.2310026728626622,1.255272505103306,0.31344696969696967,0.5787878787878787
interesting,12,13.083333333333334,12.5,1.0496087360498116,1.1276362525516532,0.5518229166666667,0.5157986111111111
adios,1,7.0,7,0.9030899869919435,0.9030899869919435,0.0,0.0
wow,11,12.272727272727273,9,1.046856866616099,1.0,0.34952651515151517,0.8893939393939394
@walletbuckle,1,8.0,8,0.9542425094393249,0.9542425094393249,0.515625,0.8
liking,5,8.8,8,0.9791110269599974,0.9542425094393249,0.173125,0.5399999999999999
presentation,12,16.666666666666668,11.0,1.162595659153349,1.077668018732531,0.5494791666666666,0.6217013888888889
energy,4,16.0,12.0,1.1751607884827215,1.1139433523068367,0.41953125,0.5375000000000001
guys,14,11.428571428571429,10.5,1.011969637057082,1.060286965602925,0.3461628401360544,0.4250850340136054
amazing,24,15.416666666666666,10.5,1.1133811133873863,1.060286965602925,0.5879712301587302,0.7594742063492063
journey,3,13.666666666666666,11,1.1405346422899436,1.0791812460476249,0.5083333333333334,0.4749999999999999
congrats,25,14.36,13,1.1186614198474891,1.146128035678238,0.2366666666666667,0.25866666666666666
great,38,19.394736842105264,13.0,1.1852148336185353,1.146128035678238,0.8351218956482115,0.7572809865573024
@lovepop,3,19.666666666666668,13,1.26053726083105,1.146128035678238,0.775,0.9
@kevinolearytv,65,19.276923076923076,12,1.1550565119847427,1.1139433523068367,0.1729945054945055,0.4042994505494506
done,6,25.333333333333332,26.5,1.3764808356145244,1.4392608977506032,0.3590277777777778,0.3284722222222222
@thompson_tee,3,5.333333333333333,6,0.7588206013910814,0.8450980400142568,0.2333333333333333,0.2416666666666667
powerful,1,164.0,164,2.2174839442139063,2.2174839442139063,0.46875,1.0
retweet,18,86.5,67.0,1.8675899759469319,1.8313317047870188,0.2657873376623377,0.4587061087061087
watching,30,35.46666666666667,29.0,1.4554027827053768,1.4768798458666144,0.3262256493506493,0.4316582491582491
@robertherjavec,43,24.930232558139537,19,1.310122152372858,1.3010299956639813,0.28326238925802877,0.41735880398671094
likes,3,8.666666666666666,8,0.9710946339201394,0.9542425094393249,0.31666666666666665,0.26666666666666666
sounds,10,9.8,7.5,0.9492997161591601,0.9225490200071285,0.6275000000000001,0.6795833333333332
huh,1,6.0,6,0.8450980400142568,0.8450980400142568,0.7,0.6000000000000001
just,30,20.8,17.5,1.242528915510145,1.2670130530280674,0.2564880952380952,0.29702380952380947
basic,1,2.0,2,0.47712125471966244,0.47712125471966244,0.0,0.125
undershirt,1,2.0,2,0.47712125471966244,0.47712125471966244,0.0,0.125
padding,1,2.0,2,0.47712125471966244,0.47712125471966244,0.0,0.125
kevin,7,10.142857142857142,10,0.9965674182657027,1.0413926851582251,0.13010204081632654,0.251530612244898
think,58,16.17241379310345,9.0,1.0996315203149412,1.0,0.2320020012315271,0.32341543513957305
starts,15,27.866666666666667,25,1.3467705166573678,1.414973347970818,0.19768105158730157,0.3847366522366522
excited,14,16.928571428571427,11.0,1.1532983410069944,1.0791812460476249,0.4516741071428572,0.7008928571428571
show,12,32.416666666666664,20.0,1.3553740501020464,1.3037275116073344,0.4495907738095238,0.5169642857142857
tonight,151,33.966887417218544,26,1.4205868845973089,1.4313637641589874,0.19777540288767534,0.3423380804258288
all,56,41.82142857142857,25.0,1.4374449858208174,1.414973347970818,0.1877665043290043,0.27659834956709956
afraid,1,33.0,33,1.5314789170422551,1.5314789170422551,-0.75,0.9
perspiration,1,33.0,33,1.5314789170422551,1.5314789170422551,-0.75,0.9
showing,4,30.25,36.0,1.4055224062176654,1.5667694541851087,-0.041406250000000006,0.559375
shirts,1,33.0,33,1.5314789170422551,1.5314789170422551,-0.75,0.9
sweat,1,33.0,33,1.5314789170422551,1.5314789170422551,-0.75,0.9
wonderful,28,23.857142857142858,16.0,1.2691851379014125,1.2304489213782739,0.7697172619047619,0.8133928571428571
day,10,28.5,27.5,1.4140875470228043,1.4531675209025452,0.40374999999999994,0.42000000000000004
watch,44,29.772727272727273,26.0,1.3919764164073085,1.4313637641589874,0.18154788807310115,0.3223529942279942
miss,16,69.0625,37.0,1.5543391774825088,1.5797835966168101,0.24724448728354975,0.4289366883116883
abc,64,37.28125,32.5,1.5324101029989654,1.5249964284600712,0.1561367458767361,0.336688170770202
learn,2,34.0,34.0,1.5062076873812165,1.5062076873812165,0.05,0.3
much,18,17.72222222222222,16.0,1.2106144535365355,1.2296962438796153,0.27265211640211645,0.3067791005291005
especially,1,20.0,20,1.3222192947339193,1.3222192947339193,0.1,0.6
peek,3,16.333333333333332,20,1.1661035179298669,1.3222192947339193,0.19999999999999998,0.3666666666666667
behindthescenes,1,20.0,20,1.3222192947339193,1.3222192947339193,0.1,0.6
shark,45,39.68888888888889,25,1.4011994147803941,1.414973347970818,0.1650757575757576,0.2765909090909091
silliness,1,25.0,25,1.414973347970818,1.414973347970818,0.25,0.2
detroit,1,40.0,40,1.6127838567197355,1.6127838567197355,0.0,0.0
auditions,4,30.5,31.5,1.4784534630959292,1.5,0.04261363636363636,0.11363636363636363
week,16,31.125,20.0,1.2811801514262982,1.3217263382430937,0.20559050324675324,0.28028273809523807
details,5,30.6,31,1.4837927661407246,1.505149978319906,0.03409090909090909,0.09090909090909091
american,10,30.8,24.0,1.438329696952127,1.39654580008829,0.21750000000000003,0.3183333333333333
dream,11,32.90909090909091,34,1.4763341836313832,1.5440680443502757,0.16136363636363635,0.28939393939393937
know,21,25.238095238095237,20,1.3350683210518923,1.3222192947339193,0.14336734693877548,0.2469387755102041
entrepreneurs,46,36.54347826086956,28.5,1.4371294966843973,1.4697596263093091,0.14948294082125604,0.30765398550724643
bag,1,20.0,20,1.3222192947339193,1.3222192947339193,0.0,0.0
practical,1,20.0,20,1.3222192947339193,1.3222192947339193,0.0,0.0
product,44,16.954545454545453,10.5,1.08659783290277,1.0569716761534185,0.2956376980027548,0.5055010330578512
want,24,40.458333333333336,25.0,1.3763353451420806,1.4146518864155126,0.1642733134920635,0.39188161375661373
make,25,24.24,20,1.3041637701801927,1.3222192947339193,0.31923412698412695,0.45698412698412705
sure,9,18.77777777777778,15,1.211353968188778,1.2041199826559248,0.5208333333333334,0.8296296296296296
wine,3,18.0,20,1.2099051108823773,1.3222192947339193,0.34722222222222215,0.5462962962962963
knock,1,20.0,20,1.3222192947339193,1.3222192947339193,0.5,0.8888888888888888
over,10,37.1,23.5,1.4580607688033158,1.389075625191822,0.33267857142857143,0.401031746031746
drink,2,24.0,24.0,1.3923086463164376,1.3923086463164376,0.25,0.4444444444444444
charlotte,1,19.0,19,1.3010299956639813,1.3010299956639813,0.0,0.0
incredible,7,15.714285714285714,13,1.1345352432628546,1.146128035678238,0.7595238095238095,0.807142857142857
coming,6,24.0,17.0,1.304842257856255,1.2525749891599531,0.3,0.27499999999999997
@loctote,3,27.666666666666668,19,1.4125145793809581,1.3010299956639813,0.5,0.6
please,7,56.0,47,1.730341993784801,1.6812412373755872,0.24089363017934448,0.32238713667285096
wait,7,17.571428571428573,15,1.1780562326267792,1.2041199826559248,0.16071428571428573,0.12142857142857143
hear,10,17.4,11.0,1.135832565975312,1.0536049848239342,0.1535,0.3081666666666667
offering,2,25.5,25.5,1.190105620855803,1.190105620855803,0.3125,0.3
fantastic,2,12.0,12.0,1.0791812460476247,1.0791812460476247,0.5,0.9
@prxperformance,2,12.5,12.5,1.1276362525516532,1.1276362525516532,0.10625,0.275
celebrate,3,31.666666666666668,42,1.4394379390746666,1.6334684555795864,0.4708333333333334,0.3833333333333333
@bq_apparel,2,25.5,25.5,1.316734227789793,1.316734227789793,0.5,0.375
deal,55,24.363636363636363,17,1.2627314106310352,1.255272505103306,0.20761363636363636,0.35390151515151524
@seerescue,2,10.0,10.0,1.0395906230238126,1.0395906230238126,0.875,0.95
get,43,29.511627906976745,19,1.3416725894382215,1.3010299956639813,0.19082745016611294,0.36474252491694353
feedback,3,10.666666666666666,11,1.0643748661181538,1.0791812460476249,0.9166666666666666,0.85
gold,2,11.5,11.5,1.0965622991772308,1.0965622991772308,0.875,0.9
agree,11,20.09090909090909,11,1.1853958328810803,1.0791812460476249,0.0018939393939394024,0.31287878787878787
fans,14,14.0,7.5,1.03193327989181,0.9286662482156343,0.46040603741496605,0.4965986394557823
also,3,19.666666666666668,24,1.276434590943675,1.3979400086720377,0.3263888888888889,0.45694444444444443
like,34,15.558823529411764,12.0,1.1156604386739448,1.1139433523068367,0.28137254901960784,0.36952614379084964
said,5,8.2,7,0.9057627793035399,0.9030899869919435,0.16833333333333336,0.2066666666666667
lori,3,14.0,9,1.111484583716977,1.0,-0.06666666666666667,0.13333333333333333
robert,4,24.5,21.5,1.266144444519849,1.2356458555294694,0.13392857142857142,0.23392857142857143
wooho,1,7.0,7,0.9030899869919435,0.9030899869919435,0.0,0.0
@goverregirls,2,6.5,6.5,0.8740940135031001,0.8740940135031001,0.2708333333333333,0.375
