Name,Count,avgRetweet,medianRetweet,avgLogRetweet,medianLogRetweet,avgPolarSenti,avgSubjSenti
death,7,4298.714285714285,4049,3.311575550624181,3.6074550232146687,0.028571428571428577,0.47857142857142854
spiral,7,4298.714285714285,4049,3.311575550624181,3.6074550232146687,0.028571428571428577,0.47857142857142854
disastrous,1,4049.0,4049,3.6074550232146687,3.6074550232146687,-0.09999999999999998,0.8500000000000001
obamacare,99,3415.2626262626263,284,2.5549615246947175,2.45484486000851,0.13401420408996167,0.47951557421254354
continues,3,1683.6666666666667,605,2.9966035731515475,2.782472624166286,0.13333333333333333,0.5833333333333334
aetna,22,1966.409090909091,530.0,2.8014817700222667,2.72071873341536,0.0035984848484848435,0.37462121212121224
latest,28,425.07142857142856,23.0,1.674996463999377,1.380211241711606,0.45800865800865803,0.8899891774891772
health,15,2560.5333333333333,1005,3.094820041940103,3.0025979807199086,0.22999999999999998,0.4854761904761904
insurer,8,895.875,495.0,2.752953636450093,2.6868347585274406,0.20000000000000004,0.9312500000000001
quit,4,1155.25,247.5,2.523766973144097,2.2977591333356187,0.1,0.4375
#obamacare,22,637.5454545454545,296.0,2.616593404437283,2.4724016697166724,0.11363636363636367,0.30833333333333335
markets,9,3371.777777777778,644,3.0151164886126143,2.8095597146352675,-0.044444444444444446,0.39074074074074067
completely,10,1299.8,588.5,2.817797242042812,2.7590515699794826,0.05458333333333334,0.4575
pull,7,1528.142857142857,722,2.8805594804350214,2.859138297294531,0.042261904761904764,0.4392857142857142
out,12,1137.0,507.0,2.734511779548102,2.6753255523316852,0.044097222222222225,0.3743055555555555
exchanges,11,1041.6363636363637,308,2.621016812200315,2.4899584794248346,0.04053030303030303,0.3795454545454545
///,1,6808.0,6808,3.833083334178343,3.833083334178343,-0.3041666666666667,0.675
final,1,6808.0,6808,3.833083334178343,3.833083334178343,-0.3041666666666667,0.675
failure,1,6808.0,6808,3.833083334178343,3.833083334178343,-0.3041666666666667,0.675
worst,1,6808.0,6808,3.833083334178343,3.833083334178343,-0.3041666666666667,0.675
presidency,1,6808.0,6808,3.833083334178343,3.833083334178343,-0.3041666666666667,0.675
history,1,6808.0,6808,3.833083334178343,3.833083334178343,-0.3041666666666667,0.675
pulls,3,708.3333333333334,323,2.5631816552898226,2.510545010206612,0.03333333333333333,0.15555555555555556
market,1,1715.0,1715,3.2345172835126865,3.2345172835126865,0.1,0.4
simple,1,1061.0,1061,3.0261245167454502,3.0261245167454502,0.1875,0.5535714285714286
gop,18,3287.8333333333335,316.0,2.7461985738022467,2.492589695201014,0.09780242905242904,0.32605218855218854
tossed,1,1061.0,1061,3.0261245167454502,3.0261245167454502,0.1875,0.5535714285714286
aside,1,1061.0,1061,3.0261245167454502,3.0261245167454502,0.1875,0.5535714285714286
all,5,419.0,254,2.4205734237267444,2.406540180433955,0.05750000000000001,0.18738095238095237
principles,1,1061.0,1061,3.0261245167454502,3.0261245167454502,0.1875,0.5535714285714286
support,3,611.0,644,2.648757980559989,2.8095597146352675,0.0625,0.3511904761904762
trump,5,326.8,218,2.2781919754354396,2.3404441148401185,0.06477272727272727,0.2616233766233766
