Name,Count,avgRetweet,medianRetweet,avgLogRetweet,medianLogRetweet,avgPolarSenti,avgSubjSenti
trumpcare,68,4072.735294117647,1210.5,3.01599171599277,3.0796692785089044,-0.024972280578898227,0.22663982259570492
backlash,3,1691.0,1691,3.2284003587030043,3.228400358703005,-0.10000000000000002,0.5
yates,3,1691.0,1691,3.2284003587030043,3.228400358703005,-0.10000000000000002,0.5
testimony,3,1691.0,1691,3.2284003587030043,3.228400358703005,-0.10000000000000002,0.5
comey,4,1531.0,1691.0,3.1768042039816837,3.228400358703005,-0.12708333333333333,0.5638888888888889
firing,4,1531.0,1691.0,3.1768042039816837,3.228400358703005,-0.12708333333333333,0.5638888888888889
spicer,3,1691.0,1691,3.2284003587030043,3.228400358703005,-0.10000000000000002,0.5
bushes,3,1691.0,1691,3.2284003587030043,3.228400358703005,-0.10000000000000002,0.5
subpoena,3,1691.0,1691,3.2284003587030043,3.228400358703005,-0.10000000000000002,0.5
twitter,3,1691.0,1691,3.2284003587030043,3.228400358703005,-0.10000000000000002,0.5
meltdown,3,1691.0,1691,3.2284003587030043,3.228400358703005,-0.10000000000000002,0.5
time,8,1357.5,1367.0,3.117301736200488,3.1360860973840974,-0.1785714285714286,0.42678571428571427
bomb,3,1691.0,1691,3.2284003587030043,3.228400358703005,-0.10000000000000002,0.5
another,3,1691.0,1691,3.2284003587030043,3.228400358703005,-0.10000000000000002,0.5
empty,3,1691.0,1691,3.2284003587030043,3.228400358703005,-0.10000000000000002,0.5
airfield,3,1691.0,1691,3.2284003587030043,3.228400358703005,-0.10000000000000002,0.5
rough,3,607.0,607,2.783903579272735,2.783903579272735,-0.10000000000000002,0.4000000000000001
numbers,6,507.0,507.0,2.6972818711813074,2.697281871181308,-0.15795454545454546,0.6318181818181818
gop,20,2179.75,907.5,3.0091066981128147,2.9436161701799253,-0.0453409090909091,0.28719696969696973
poll,3,607.0,607,2.783903579272735,2.783903579272735,-0.10000000000000002,0.4000000000000001
support,7,568.7142857142857,607,2.7521153100804274,2.783903579272735,-0.042857142857142864,0.4571428571428572
revised,3,607.0,607,2.783903579272735,2.783903579272735,-0.10000000000000002,0.4000000000000001
ahca,67,2531.10447761194,294,2.3154889187744168,2.469822015978163,-0.034109754259008,0.2593867782300618
yes,3,607.0,607,2.783903579272735,2.783903579272735,-0.10000000000000002,0.4000000000000001
approve,9,2623.3333333333335,607,3.0768992972759963,2.783903579272735,-0.1053030303030303,0.6295454545454545
trump,12,846.5833333333334,407.0,2.608784257441735,2.61066016308988,-0.07356060606060606,0.4390638528138528
handling,3,607.0,607,2.783903579272735,2.783903579272735,-0.10000000000000002,0.4000000000000001
watch,4,668.25,678.0,2.825447324206348,2.8318697742805017,0.0,0.0
woman,4,456.75,396.0,2.650637873568308,2.598790506763115,-0.25,0.375
silence,1,639.0,639,2.806179973983887,2.806179973983887,0.0,0.0
congressman,4,727.5,757.0,2.861296897720012,2.8796692056320534,0.07500000000000001,0.1
voted,8,5383.375,4983.0,3.336420191055614,3.387984255699413,0.0,0.0
good,1,1051.0,1051,3.02201573981772,3.02201573981772,-0.2083333333333333,0.7555555555555555
news,3,546.3333333333334,294,2.6538865905913487,2.469822015978163,-0.06944444444444443,0.2518518518518518
swingdistrict,1,1051.0,1051,3.02201573981772,3.02201573981772,-0.2083333333333333,0.7555555555555555
ppl,4,371.0,190.5,2.2472703547242965,2.121394904739338,-0.10208333333333333,0.2638888888888889
preoccupied,1,1051.0,1051,3.02201573981772,3.02201573981772,-0.2083333333333333,0.7555555555555555
forgotten,1,1051.0,1051,3.02201573981772,3.02201573981772,-0.2083333333333333,0.7555555555555555
bad,1,1051.0,1051,3.02201573981772,3.02201573981772,-0.2083333333333333,0.7555555555555555
still,9,3047.5555555555557,1302,3.336974447821102,3.1149444157125847,-0.30168350168350166,0.5147586980920315
mad,1,1051.0,1051,3.02201573981772,3.02201573981772,-0.2083333333333333,0.7555555555555555
hell,1,1051.0,1051,3.02201573981772,3.02201573981772,-0.2083333333333333,0.7555555555555555
constituent,3,757.0,757,2.8796692056320534,2.8796692056320534,0.10000000000000002,0.13333333333333333
now,11,1798.7272727272727,757,2.7891950606832254,2.8796692056320534,0.10330578512396695,0.1818181818181818
telling,7,803.5714285714286,757,2.842385798531147,2.8796692056320534,0.014285714285714287,0.22857142857142856
macarthur,10,655.5,678.0,2.795752172455031,2.8318697742805017,-0.05277777777777777,0.24944444444444444
based,3,757.0,757,2.8796692056320534,2.8796692056320534,0.10000000000000002,0.13333333333333333
public,4,1948.5,757.0,3.0953153217006886,2.8796692056320534,0.11875000000000001,0.17291666666666666
