Name,Count,avgRetweet,medianRetweet,avgLogRetweet,medianLogRetweet,avgPolarSenti,avgSubjSenti
rolling,1,21571.0,21571,4.3338904116161245,4.3338904116161245,0.0,0.0
sleeves,2,11643.0,11643.0,3.7842038475644055,3.7842038475644055,0.0,0.0
again,18,1755.0,528.5,2.8299923847336452,2.723190906111221,0.04624118165784833,0.337037037037037
back,42,12306.880952380952,916.5,3.0772980677079933,2.962559055728353,0.04728535353535354,0.13037968975468975
all,94,4483.287234042553,1031.0,3.1389759581121854,3.0136794934015687,0.19845673682109854,0.35982219612538763
started,3,7615.666666666667,952,3.2749555577444416,2.979092900638326,0.3333333333333333,0.46296296296296297
join,71,1182.2676056338028,675,2.8799453492258125,2.829946695941636,0.1737569355527102,0.31379463650590417
said,4,37562.75,9356.0,3.7089593954517857,3.538375420818917,0.11423611111111112,0.28506944444444443
jimmy,1,131102.0,131102,5.117612629665208,5.117612629665208,-0.020833333333333343,0.3958333333333333
exactly,2,66099.0,66099.0,4.07890962861996,4.07890962861996,0.20208333333333334,0.4854166666666666
fought,7,24494.571428571428,2589,3.6728441917137973,3.413299764081252,0.06462585034013604,0.4574829931972789
hard,22,7762.363636363636,1394.0,3.2300783348460524,3.144570190511695,-0.04386273448773452,0.5663374819624818
aca,1,131102.0,131102,5.117612629665208,5.117612629665208,-0.020833333333333343,0.3958333333333333
need,73,3241.890410958904,1035,3.0885329700393926,3.0153597554092144,0.031300949811223784,0.22377587024847298
protect,29,5831.275862068966,732,3.044497203547261,2.8651039746411278,0.1296903766731353,0.30684990297059267
kids,13,11525.692307692309,1769,3.2916548923664624,3.247973266361807,0.22532051282051282,0.4101495726495727
like,37,5766.972972972973,867,3.077986200136563,2.938519725176492,0.1371541184041184,0.36811096811096805
bil,1,131102.0,131102,5.117612629665208,5.117612629665208,-0.020833333333333343,0.3958333333333333
heart,1,146810.0,146810,5.166758596862927,5.166758596862927,0.0,0.0
goes,4,37285.5,907.5,3.4472404289219205,2.9539366795397606,0.016666666666666663,0.14166666666666666
out,126,2221.753968253968,644.0,2.884906991332336,2.8095466653133716,0.13351108400711573,0.29870005802545496
victims,1,146810.0,146810,5.166758596862927,5.166758596862927,0.0,0.0
families,47,4646.744680851064,763,2.9760327491965066,2.8830933585756897,0.13971055540204474,0.34017032022351174
london,1,146810.0,146810,5.166758596862927,5.166758596862927,0.0,0.0
act,46,4377.95652173913,727.0,2.9856402246136384,2.861372474771691,0.10511410690758514,0.34274585921325046
terror,1,146810.0,146810,5.166758596862927,5.166758596862927,0.0,0.0
can,101,3297.4257425742576,930,3.037096951071713,2.9689496809813427,0.15187668766876686,0.3609420942094211
shake,1,146810.0,146810,5.166758596862927,5.166758596862927,0.0,0.0
strength,5,31455.2,3331,3.7371852801748333,3.52270499273475,0.075,0.21833333333333332
resilience,3,49946.666666666664,1719,3.8400736262700392,3.2355284469075487,0.26666666666666666,0.3333333333333333
british,1,146810.0,146810,5.166758596862927,5.166758596862927,0.0,0.0
ally,1,146810.0,146810,5.166758596862927,5.166758596862927,0.0,0.0
chuck,1,68435.0,68435,4.83528461763273,4.83528461763273,0.7,0.6000000000000001
berry,1,68435.0,68435,4.83528461763273,4.83528461763273,0.7,0.6000000000000001
rolled,2,34516.0,34516.0,3.805992900810571,3.805992900810571,0.36666666666666664,0.4055555555555556
over,45,3356.866666666667,1144,3.1202823636618624,3.0588054866759067,0.11820089786756455,0.2867323232323232
everyone,27,3717.074074074074,1157,3.0555613676151845,3.0637085593914173,0.2824943883277216,0.5445233196159122
came,11,6986.909090909091,765,2.9738529522363293,2.884228769632604,0.29318181818181815,0.42045454545454547
before,59,2380.186440677966,638,2.917596653496968,2.8055008581584002,0.07388766600631008,0.2721961748232935
turned,2,34597.5,34597.5,3.8583346372016516,3.8583346372016516,0.44999999999999996,0.37500000000000006
after,17,5766.529411764706,801,3.1540488014409895,2.9041743682841634,0.1726604278074866,0.35630570409982176
miss,32,3091.25,530.0,2.8897738296208018,2.725082198616888,0.08963068181818182,0.15762310606060606
good,53,2494.396226415094,766,2.9961273604756995,2.884795363948981,0.5201355536497045,0.5353909376786739
international,8,6999.75,487.5,2.9339426085790974,2.6883176728333487,0.05331439393939394,0.11354166666666667
women,56,3000.5,1115.0,3.1628432305658243,3.0474742426568024,0.20382079725829727,0.33573109925788497
day,51,8856.78431372549,1366,3.2251258111130974,3.1357685145678222,0.2187171080553434,0.3892561822708881
@michelleobama,2,155789.5,155789.5,5.06652011291199,5.06652011291199,0.28409090909090906,0.36363636363636365
inspired,6,10823.333333333334,2067.5,3.5070908519054336,3.2779848277123316,0.10757575757575759,0.16969696969696968
embrace,2,26611.5,26611.5,3.8137061986782888,3.8137061986782888,0.0,0.0
power,41,2326.0975609756097,860,3.003703567339064,2.935003151453655,0.24007760532150776,0.476659891598916
drive,4,14439.75,2540.0,3.4288221567558828,3.286289438671209,0.2791666666666667,0.37083333333333335
chang,1,52415.0,52415,4.719463875744306,4.719463875744306,0.0,0.0
humbled,1,18304.0,18304,4.26256973321755,4.26256973321755,0.0,0.0
recognized,3,12022.0,14341,3.9844864855294433,4.156609718165699,0.13333333333333333,0.2111111111111111
family,29,2760.896551724138,1315,3.1520981300778725,3.1192558892779365,0.12311165845648603,0.28413382594417075
legacy,5,4862.4,1265,3.3130003856729076,3.1024337056813365,0.07727272727272727,0.22999999999999998
service,9,2630.0,715,2.931136040357451,2.8549130223078554,0.07222222222222223,0.1111111111111111
#profileincourage,1,18304.0,18304,4.26256973321755,4.26256973321755,0.0,0.0
tell,27,1865.5555555555557,1047,3.0019088112001975,3.0203612826477078,0.2117845117845118,0.405331088664422
asked,2,13847.0,13847.0,3.7483970967310816,3.7483970967310816,0.02500000000000001,0.25
answered,1,26511.0,26511,4.423442491075262,4.423442491075262,0.0,0.0
happy,42,9884.285714285714,2604.5,3.480541190450826,3.4158843521527853,0.6688103397924828,0.8522931268466984
valentine,2,131268.0,131268.0,4.4707963456344375,4.4707963456344375,0.5340909090909091,0.6636363636363636
years,80,7731.5375,1218.5,3.190466639340422,3.086155192199932,0.1256809801887927,0.3393378464706589
always,13,22175.30769230769,695,3.1959550789549818,2.842609239610562,0.28168706293706286,0.38446969696969696
feels,2,131896.5,131896.5,4.5395786705488135,4.5395786705488135,0.20770202020202017,0.5358585858585858
new,98,3867.816326530612,628.5,2.9004636301484052,2.7989890216138926,0.1805185755759736,0.4457614808188784
read,128,981.828125,606.5,2.789292351835261,2.783539074431843,0.21491708378427132,0.3695404942279942
letters,2,18179.5,18179.5,3.555110858555052,3.555110858555052,0.3003246753246753,0.35584415584415585
every,48,3468.0,1729.5,3.29471024708123,3.2381636090124397,0.11065029010341514,0.2620918886283469
single,6,7934.5,3015.0,3.4341045013355473,3.46884147636443,0.16015762786596122,0.3295579805996472
best,22,3516.1363636363635,959.5,3.1326757779029624,2.982433279008421,0.8330184966548603,0.30493900039354577
parts,2,18357.0,18357.0,3.7047141101590473,3.7047141101590473,0.23214285714285715,0.12857142857142856
job,64,1981.8125,1144.0,3.0950941560567844,3.058710061878407,0.16810521509740256,0.2535637626262626
hearing,66,2229.9848484848485,1123.0,3.140908028850995,3.0507601235169117,0.4542089728453363,0.6405248917748914
meantime,1,54484.0,54484,4.7362769552331105,4.7362769552331105,0.0,0.0
want,48,2366.9166666666665,802.0,2.9964597223367044,2.904707126062658,0.1370332040644541,0.34440631513548187
hear,7,8275.714285714286,654,3.0234933221554443,2.816241299991783,0.17142857142857143,0.13571428571428573
thinking,4,14086.0,706.0,3.2647305597423615,2.8351994713665056,0.16458333333333333,0.36874999999999997
road,4,14790.0,1811.5,3.55543039509517,3.2313020071355196,-0.054166666666666675,0.35000000000000003
ahead,16,4306.125,973.0,3.002696851437707,2.986526962421353,0.1589804292929293,0.3190025252525253
share,13,8451.384615384615,1242,3.2995670521655684,3.094471128641645,0.058653846153846154,0.10865384615384616
ideas,5,11514.4,905,3.2453086954275996,2.957128197676813,0.22000000000000003,0.3
everybody,19,25057.736842105263,1820,3.275839646134214,3.26030994579492,0.14694548872180455,0.4788847117794486
original,2,223232.5,223232.5,4.415075935442221,4.415075935442221,0.3360416666666666,0.4912500000000001
handle,1,444946.0,444946,5.648308282939671,5.648308282939671,0.17708333333333331,0.3125
thing,17,27633.529411764706,656,3.115698602580015,2.8175653695597807,0.30537464985994395,0.4349089635854342
still,46,13687.065217391304,1303.5,3.261695916811371,3.1152242052216446,0.1588848500533283,0.3473871740176087
michelle,7,64779.142857142855,1389,3.4667522255265246,3.143014800254095,0.27359693877551017,0.431868858654573
off,23,20501.869565217392,604,3.0199145097745816,2.781755374652469,0.1920583945040467,0.37316566283957586
quick,3,148795.66666666666,1130,3.7319751606278566,3.053462604925455,0.18125,0.3541666666666667
vacation,1,444946.0,444946,5.648308282939671,5.648308282939671,0.17708333333333331,0.3125
get,135,4259.096296296297,724,2.9048989335392883,2.8603380065709936,0.15686953307323673,0.33637726471059803
work,92,6484.695652173913,908.0,3.057898699385807,2.9585573131045972,0.138870165160926,0.35454800332517733
tonight,35,1629.1714285714286,703,2.95276689896028,2.847572659142112,0.004087301587301584,0.21853174603174605
