Name,Count,avgRetweet,medianRetweet,avgLogRetweet,medianLogRetweet,avgPolarSenti,avgSubjSenti
happy,45,29763.68888888889,2769,3.6584532745048217,3.4424797690644486,0.6823711319544654,0.8499180295013627
hanukkah,1,81899.0,81899,4.913283901760418,4.913283901760418,1.0,1.0
everybody,20,27530.0,1916.5,3.3587344811880335,3.281818013656537,0.18959821428571427,0.5049404761904761
obama,1090,1938.9981651376147,787.0,2.967632065312661,2.8965248186649246,0.12908086820586814,0.3252675532079203
family,30,14509.466666666667,1823.5,3.339078417032131,3.2600471309609276,0.20109126984126982,0.32119047619047625
chag,4,21997.0,2557.0,3.678566373690054,3.405765887666554,0.25,0.25
sameach,4,21997.0,2557.0,3.678566373690054,3.405765887666554,0.25,0.25
just,79,2543.759493670886,1039,3.055283813029758,3.0170333392987803,0.20584454399327815,0.32880963797103036
got,28,3782.4285714285716,661.5,2.8774652608931803,2.8210818372778688,0.09982413419913419,0.43046536796536783
off,24,22943.625,757.0,3.0976915508799814,2.8729821699276714,0.18839623917748918,0.3793184824434824
call,27,7690.444444444444,609,2.9864484143119743,2.785329835010767,0.06471661054994388,0.1881172839506173
thank,7,50064.28571428572,2707,3.8190116684489355,3.4326486600131068,0.20952380952380953,0.42499999999999993
folks,8,11729.5,1013.0,3.2084312227926266,3.001037003749513,0.10156249999999999,0.2828125
working,58,2598.4827586206898,721.5,2.942381532164478,2.858835251501131,0.15997086007861872,0.33379811041448976
hard,23,11193.521739130434,1385,3.3030831276532964,3.141763230275788,-0.03742667356797794,0.5643590407177361
help,93,3270.1290322580644,725,2.9454992566604123,2.8609366207000937,0.1496499945693494,0.33940666263246905
more,216,4803.958333333333,852.5,3.009946692158682,2.9312016623808708,0.3552978612180001,0.4617811074813389
americans,142,9813.133802816901,837.0,3.0624564901500766,2.9232288663669017,0.1529387181675914,0.3312610511554173
across,40,3395.15,936.0,3.0208622500340714,2.971559213111962,0.035729166666666666,0.21788194444444442
country,77,12762.09090909091,1013,3.1954757007813765,3.0060379549973173,0.11168971720919774,0.3017817319765373
sign,45,5864.066666666667,781,2.9786030741203833,2.893206753059848,0.22330808080808082,0.39303310886644227
healt,1,86738.0,86738,4.938214410930274,4.938214410930274,0.10416666666666666,0.5208333333333333
michelle,11,132476.18181818182,65925,4.302401095284696,4.8190567261209605,0.21645486247758974,0.3274886308977218
delighted,1,115651.0,115651,5.063153147538574,5.063153147538574,0.7,0.7
congratulate,2,57995.0,57995.0,3.7973160322904143,3.7973160322904143,0.6,0.6625
prince,3,69799.33333333333,75903,4.731644787614129,4.880264663012131,0.6259259259259259,0.6814814814814815
harry,2,95777.0,95777.0,4.971708905275353,4.971708905275353,0.7,0.65
meghan,1,115651.0,115651,5.063153147538574,5.063153147538574,0.7,0.7
markle,1,115651.0,115651,5.063153147538574,5.063153147538574,0.7,0.7
engagement,2,58096.5,58096.5,3.8989764885637106,3.8989764885637106,0.41818181818181815,0.6
wish,13,67736.07692307692,3431,3.8723073327621296,3.535547279176668,0.6527777777777779,0.7700854700854701
life,11,35095.0,1995,3.444928763145386,3.3001605369513523,0.24192493112947655,0.5449494949494951
thanksgiving,5,44176.6,665,3.357802336347249,2.823474229170301,0.44454545454545447,0.6166666666666667
full,27,11902.592592592593,1063,3.2151232799123943,3.0269416279590295,0.27518237934904594,0.5192043895747601
joy,1,217334.0,217334,5.337129671478643,5.337129671478643,0.65,0.5833333333333334
gratitude,2,108838.0,108838.0,3.9362118957607066,3.9362118957607066,0.325,0.2916666666666667
joe,7,82466.0,932,3.6095837435892055,2.9698816437465,0.3695238095238095,0.4304761904761904
halfway,1,510649.0,510649,5.708123336243728,5.708123336243728,1.0,1.0
speech,3,170458.66666666666,411,3.608026604831538,2.6148972160331345,0.4666666666666666,0.6666666666666666
gonna,1,510649.0,510649,5.708123336243728,5.708123336243728,1.0,1.0
birth,1,510649.0,510649,5.708123336243728,5.708123336243728,1.0,1.0
biden,25,21219.36,610,2.9346580592010385,2.786041210242554,0.17763030303030303,0.3524242424242424
birthday,30,19692.933333333334,2039.0,3.3998495655965906,3.30927903351622,0.4616113516113517,0.5703138528138527
happens,6,14051.333333333334,2305.5,3.526188462328108,3.362213800166999,0.08333333333333333,0.25
people,96,14173.4375,993.0,3.1597827681589212,2.9970166252156316,0.16390559238215485,0.3267869230499438
vote,46,4691.152173913043,1047.5,3.2137558782488496,3.020567200279749,0.29830604178430253,0.45186335403726696
congrats,3,25408.333333333332,1191,3.6415458756185046,3.076276255404218,0.09523809523809523,0.17857142857142858
@ralphnortham,1,74083.0,74083,4.869724423066821,4.869724423066821,0.0,0.0
@philmurphynj,1,74083.0,74083,4.869724423066821,4.869724423066821,0.0,0.0
congratulations,6,30363.833333333332,5233.5,3.940156523427514,3.7188225573658844,0.225,0.1527777777777778
all,104,22715.60576923077,1256.0,3.3499380732050037,3.099256103170209,0.1954400634088134,0.3464979464979464
every,50,5106.5,1752.5,3.3436491413054887,3.2438264997065964,0.11322427849927852,0.2655526575276575
election,3,20462.333333333332,1437,3.684283408449577,3.1577588860468637,0.0,0.041666666666666664
matters,18,4100.111111111111,759.5,2.971259275974481,2.8810833549093777,0.21666666666666667,0.31219135802469133
show,43,4044.0232558139537,805,2.997480710537966,2.906335041805091,0.08823953823953823,0.27527182120205373
determine,3,20741.666666666668,2791,3.709943055528433,3.4459154139511234,0.20555555555555557,0.3138888888888889
future,40,3981.475,1262.0,3.1950435215677095,3.1012965999310524,0.12985660173160174,0.260495205026455
tomorrow,17,4264.235294117647,628,2.9577641567302404,2.798650645445269,0.07669977081741786,0.22914084825849534
god,3,40717.0,2831,3.8388194097880386,3.4520932490177314,0.18333333333333335,0.5666666666666668
also,8,15480.25,795.5,3.146226902568879,2.895638251863369,0.16875,0.5052083333333334
grant,1,118341.0,118341,5.073138904653889,5.073138904653889,0.15000000000000002,0.30000000000000004
wisdom,2,59733.0,59733.0,4.062338647584609,4.062338647584609,0.07500000000000001,0.525
ask,1,118341.0,118341,5.073138904653889,5.073138904653889,0.15000000000000002,0.30000000000000004
concrete,1,118341.0,118341,5.073138904653889,5.073138904653889,0.15000000000000002,0.30000000000000004
steps,25,5887.84,935,3.0446315647803908,2.971275848738105,0.05793939393939395,0.3074242424242425
can,105,10662.114285714286,933,3.113798528378902,2.9703468762300935,0.14736075036075033,0.3640702260702261
take,67,2767.805970149254,699,2.9196157952563286,2.845098040014257,0.09015636105188345,0.2537046908315565
reduce,11,11931.727272727272,921,3.1703128499656357,2.9647309210536292,0.1556473829201102,0.2365013774104683
violence,40,6727.075,1589.5,3.2748493169121202,3.2014902128686904,0.07662932900432899,0.1754424603174603
weaponry,1,118341.0,118341,5.073138904653889,5.073138904653889,0.15000000000000002,0.30000000000000004
midst,2,59412.0,59412.0,3.8789921331491506,3.8789921331491506,0.07500000000000001,0.15000000000000002
grieve,1,98009.0,98009,4.9912703891951,4.9912703891951,0.0,0.0
families,50,20798.94,796.5,3.117222248195359,2.9017203634340873,0.13132792207792207,0.31976010101010105
sutherland,1,98009.0,98009,4.9912703891951,4.9912703891951,0.0,0.0
