Name,Count,avgRetweet,medianRetweet,avgLogRetweet,medianLogRetweet,avgPolarSenti,avgSubjSenti
trump,230,371.90434782608696,180.5,2.3131848775762553,2.2588749814271294,0.034172211242863425,0.2709759552042163
warns,12,174.08333333333334,166.0,2.1917871184455335,2.2195794706423375,-0.0625,0.3854166666666667
comey,146,437.7054794520548,224.5,2.4111041537819786,2.353136937763643,0.05431511791100835,0.2537771817223872
says,101,379.35643564356434,188,2.344667338235566,2.2764618041732443,0.07301230123012303,0.19894893335487396
former,26,450.15384615384613,217.5,2.3177719495948867,2.338054030195298,0.02360764235764236,0.17513736263736263
fbi,53,208.0566037735849,150,2.2238499550728754,2.1789769472931693,0.03746766859974407,0.16674153938304878
boss,4,151.25,165.0,2.1478231162464754,2.2193186330843058,0.0,0.0
will,117,402.02564102564105,283,2.4294628895868673,2.4533183400470375,0.13368500840723066,0.31643551921329693
regret,1,67.0,67,1.8325089127062364,1.8325089127062364,0.0,0.0
leaks,3,77.0,80,1.8901376190997263,1.9084850188786497,0.004377104377104374,0.2750841750841751
tapes,1,67.0,67,1.8325089127062364,1.8325089127062364,0.0,0.0
president,164,383.9817073170732,258.5,2.4352396931787763,2.4141301066507554,0.08996544275507687,0.2986562928940977
#donaldtrump,5,348.0,398,2.4367027243705945,2.6009728956867484,0.0,0.0
took,10,272.9,170.5,2.2898738361876907,2.233107473664994,0.07452380952380952,0.17476190476190476
media,78,601.3333333333334,384.0,2.5266848653351386,2.5854607295085006,-0.03570249195249196,0.3893696581196581
james,30,600.1666666666666,331.0,2.6115213535537687,2.5206943685043126,0.046638047138047124,0.17864814814814817
string,1,67.0,67,1.8325089127062364,1.8325089127062364,0.0,0.0
fiery,1,67.0,67,1.8325089127062364,1.8325089127062364,0.0,0.0
tweets,9,188.88888888888889,149,2.197623241044781,2.1760912590556813,0.03425925925925926,0.31234567901234567
friday,9,205.33333333333334,67,1.9675319474095252,1.8325089127062364,0.06604938271604938,0.33007856341189673
morning,26,209.76923076923077,183.5,2.2374873141242704,2.2651510872426357,0.06371475746475747,0.34857781107781116
breaking,45,735.4888888888889,403,2.6541694839207617,2.606381365110605,-0.046851851851851846,0.1985185185185185
news,158,289.56962025316454,122.0,2.1743745236301044,2.089890757918492,0.06665878952271358,0.2519204248634628
reports,25,377.08,242,2.4055042899868395,2.385606273598312,0.004333333333333338,0.1691666666666667
active,3,279.6666666666667,272,2.440224935410383,2.436162647040756,-0.1111111111111111,0.5
shooter,3,250.66666666666666,218,2.384675034469437,2.3404441148401185,-0.08888888888888889,0.39999999999999997
situation,3,285.3333333333333,298,2.4473195091362085,2.4756711883244296,-0.02361111111111111,0.7000000000000001
kirkersville,1,349.0,349,2.5440680443502757,2.5440680443502757,-0.13333333333333333,0.6
ohio,12,255.16666666666666,214.0,2.3286609581587525,2.3324384599156054,0.02013888888888889,0.3263888888888889
russian,13,259.84615384615387,187,2.243208961753387,2.27415784926368,0.059615384615384626,0.13333333333333333
fighter,5,469.6,254,2.5507942494924207,2.406540180433955,-0.07,0.18
jet,2,164.5,164.5,2.1436768863573734,2.1436768863573734,0.0,0.28125
comes,8,150.125,154.0,2.0963599905619854,2.1885529086345263,0.12380050505050505,0.29646464646464643
feet,2,317.5,317.5,2.494301771672832,2.494301771672832,0.0,0.0
navy,14,368.0,225.5,2.4517500468479527,2.3542954225751718,-0.12857142857142856,0.32142857142857145
aircraft,4,362.0,372.0,2.5041657840357314,2.548810836278462,0.0,0.125
official,13,150.3846153846154,143,2.020831897407361,2.1583624920952498,-0.002564102564102568,0.05897435897435897
sessions,17,381.4117647058824,282,2.4905446978567016,2.45178643552429,0.051050420168067226,0.1745798319327731
office,28,275.67857142857144,224.0,2.348730495859158,2.351662888159649,-0.008035714285714288,0.1464285714285714
releases,2,600.5,600.5,2.762988607220534,2.762988607220534,0.0,0.0
memo,2,245.0,245.0,2.179728010060493,2.179728010060493,-0.25,0.5
all,52,307.3076923076923,197.5,2.330416642249199,2.297593738216836,-0.012070221445221444,0.24852127039627037
attorneys,1,439.0,439,2.6434526764861874,2.6434526764861874,0.0,0.0
calling,10,407.0,248.0,2.460743696778718,2.3958488325146945,0.03144444444444445,0.2438888888888889
reversal,1,439.0,439,2.6434526764861874,2.6434526764861874,0.0,0.0
holderera,1,439.0,439,2.6434526764861874,2.6434526764861874,0.0,0.0
policy,14,327.2857142857143,300.0,2.4137082301725203,2.4775069515190253,0.010629251700680274,0.22325680272108842
buzz,3,148.0,165,2.160520430260622,2.220108088040055,-0.13333333333333333,0.9666666666666667
eyerolling,3,142.66666666666666,149,2.1458481539324974,2.1760912590556813,0.10000000000000002,1.0
coverage,23,206.30434782608697,126,2.152227046757217,2.103803720955957,0.006027667984189725,0.4945652173913045
goes,19,108.26315789473684,74,1.908441497216878,1.8750612633917,0.057894736842105256,0.3740430622009568
far,10,209.8,142.5,2.2198530198397552,2.156405913106044,0.1431666666666667,0.9366666666666668
north,117,228.5982905982906,183,2.278378088700923,2.2648178230095364,0.012503807920474582,0.3084946380779715
korea,99,236.2828282828283,190,2.299632054168975,2.2810333672477277,0.028145761365458325,0.24621144708265913
sends,5,140.0,89,2.0608169127146443,1.954242509439325,-0.22000000000000003,0.5
letter,6,535.3333333333334,477.5,2.6211014321195165,2.66282965490082,0.013541666666666665,0.09583333333333333
congress,30,145.7,114.5,2.0784281248279317,2.0625453565413174,0.023480639730639727,0.15441077441077444
protesting,2,127.0,127.0,2.106559569405728,2.106559569405728,0.0,0.0
sanctions,6,519.1666666666666,306.5,2.5064281448996306,2.487775640251799,-0.11363636363636365,0.3434343434343434
raids,3,261.3333333333333,190,2.282372383805241,2.2810333672477277,-0.26666666666666666,0.3333333333333333
gop,33,278.6363636363636,148,2.2737752814174854,2.173186268412274,-0.015395294940749505,0.3184890025799116
consultant,1,69.0,69,1.845098040014257,1.845098040014257,0.0,0.0
over,84,239.21428571428572,166.5,2.243727623745951,2.2239664327960904,0.007803159142444856,0.19961691747406032
virginia,4,105.0,96.0,2.0040158615812746,1.9834227118274583,-0.030000000000000002,0.18416666666666665
governor,12,556.3333333333334,284.5,2.525210983130455,2.4555894616417606,0.04583333333333334,0.07916666666666666
race,8,319.875,177.5,2.231086429188229,2.249774812952574,0.056249999999999994,0.33333333333333337
alan,2,40.0,40.0,1.6122665313030429,1.6122665313030429,0.25,0.8500000000000001
dershowitz,2,40.0,40.0,1.6122665313030429,1.6122665313030429,0.25,0.8500000000000001
firing,52,308.2307692307692,221.0,2.3212243534838657,2.3463353495781845,0.02323926073926074,0.29363636363636364
puts,2,40.0,40.0,1.6122665313030429,1.6122665313030429,0.25,0.8500000000000001
rod,3,166.33333333333334,42,1.9492607843346619,1.6334684555795864,0.12666666666666668,0.7733333333333334
rosenstein,6,169.33333333333334,143.5,2.059109835817892,2.0716323410056106,0.11318452380952382,0.6521428571428571
hot,2,40.0,40.0,1.6122665313030429,1.6122665313030429,0.25,0.8500000000000001
spot,4,348.5,159.5,2.1711938030091504,2.038756625748831,0.0,0.7750000000000001
california,33,320.6666666666667,204,2.362708224857988,2.311753861055754,0.03217237308146399,0.27181195067558706
withholds,1,169.0,169,2.230448921378274,2.230448921378274,0.0,0.0
million,3,561.0,682,2.661838208822198,2.8344207036815328,0.0,0.0
university,25,340.56,169,2.3011437174567786,2.230448921378274,-0.017999999999999988,0.33733333333333343
audit,3,368.6666666666667,169,2.392133262683277,2.230448921378274,0.0,0.0
report,23,194.04347826086956,169,2.167991089484078,2.230448921378274,0.04192546583850931,0.16780538302277434
icymi,4,237.0,148.5,2.2256597898810404,2.1572285613673388,0.0125,0.0375
calls,18,257.55555555555554,155.5,2.2675207520706153,2.194494392562357,0.07261904761904761,0.35458553791887126
director,71,376.1830985915493,235,2.394050203898784,2.3729120029701067,0.06969696969696972,0.24961994187346298
grandstander,3,103.0,107,2.007906067205129,2.03342375548695,0.0,0.0
showboat,3,103.0,107,2.007906067205129,2.03342375548695,0.0,0.0
spur,4,341.5,218.0,2.4043323497643736,2.306772925663684,0.09318181818181817,0.25227272727272726
new,106,241.24528301886792,145.5,2.1806024483315727,2.165713648260372,0.13896722163231606,0.43338585767830995
review,10,346.9,271.5,2.41541304952863,2.4328066082777315,0.01727272727272727,0.20090909090909087
clinton,45,733.0222222222222,272,2.499604412406168,2.436162647040756,0.031875420875420876,0.2651301167967835
case,19,326.36842105263156,236,2.3263435611321,2.374748346010104,0.01259968102073365,0.09960127591706538
immunity,2,553.5,553.5,2.69344023883961,2.69344023883961,0.13636363636363635,0.45454545454545453
deals,7,412.14285714285717,301,2.5309463731978497,2.4800069429571505,0.15188620902906616,0.42612863327149036
exagent,2,553.5,553.5,2.69344023883961,2.69344023883961,0.13636363636363635,0.45454545454545453
judge,14,640.6428571428571,335.5,2.5502632795506464,2.5267735374294062,-0.003571428571428575,0.12193877551020409
orders,13,214.23076923076923,152,2.2301407934021906,2.184691430817599,-0.041483516483516496,0.286080586080586
prosecutors,3,564.3333333333334,111,2.3271764679720177,2.0492180226701815,-0.13333333333333333,0.26666666666666666
charge,7,132.0,67,2.001666045181486,1.8325089127062364,0.05714285714285715,0.3428571428571429
amtrak,2,83.0,83.0,1.8987030248381909,1.8987030248381909,-0.2,0.4
engineer,2,83.0,83.0,1.8987030248381909,1.8987030248381909,-0.2,0.4
deadly,9,142.44444444444446,92,2.0473570110308272,1.968482948553935,-0.16203703703703703,0.4703703703703704
crash,13,472.0,130,2.3394916559406576,2.1172712956557644,-0.16104536489151872,0.5207100591715976
texas,38,502.8157894736842,201.0,2.3877239511131547,2.3051597031596187,0.05055555555555555,0.3418421052631578
high,7,121.42857142857143,117,2.060937903402469,2.0718820073061255,0.1461224489795918,0.4625510204081632
school,22,161.0909090909091,128.5,2.129876174648129,2.1121110930423246,0.1022038567493113,0.3290633608815426
requiring,2,113.5,113.5,2.04862865484671,2.04862865484671,0.08,0.77
breathalyzer,1,89.0,89,1.954242509439325,1.954242509439325,0.16,0.5399999999999999
tests,2,124.0,124.0,2.0791812460476247,2.0791812460476247,0.08,0.26999999999999996
entry,5,223.2,99,2.2229830168025297,2.0,0.09866666666666665,0.17466666666666664
prom,8,111.25,90.0,2.009220760598603,1.9590151683924402,-0.09875000000000002,0.16333333333333333
via,230,183.11739130434782,113.5,2.109129030883997,2.0588013458450423,0.004609119141727836,0.2394152864044168
@fox,5,66.2,69,1.8121558960084638,1.845098040014257,-0.06799999999999999,0.26799999999999996
man,25,245.56,178,2.2748834008968823,2.2528530309798933,0.007175757575757569,0.278430303030303
indicted,5,358.0,246,2.4676682550204854,2.392696953259666,-0.058333333333333334,0.16833333333333333
trying,21,297.23809523809524,213,2.292654493818236,2.330413773349191,0.011947278911564626,0.23910147392290254
join,10,100.2,59.0,1.8984553067108263,1.7779098415305956,0.07863636363636363,0.335
isis,29,270.44827586206895,213,2.376858802503852,2.330413773349191,-0.058803552769070004,0.12659352142110764
@brookefoxnews,40,288.2,192.5,2.2835749698038987,2.286644719302102,-0.04625,0.27697916666666667
#foxnewsus,86,205.77906976744185,129.0,2.12939425382196,2.1139305029775066,-0.03094961240310079,0.26515503875968993
surrenders,2,130.5,130.5,2.023247582167354,2.023247582167354,0.0,0.3125
control,10,444.1,288.5,2.497798616323451,2.4614146098333247,0.14625,0.35000000000000003
key,6,147.0,146.0,2.1430044772979513,2.1666732492121934,0.0,0.9375
syrian,3,761.6666666666666,209,2.614145162354992,2.322219294733919,0.03333333333333333,0.3416666666666666
city,30,494.7,206.5,2.427096298118688,2.316986577894837,0.09859848484848485,0.31984848484848494
tabqah,1,209.0,209,2.322219294733919,2.322219294733919,0.0,0.625
central,1,209.0,209,2.322219294733919,2.322219294733919,0.0,0.625
command,1,209.0,209,2.322219294733919,2.322219294733919,0.0,0.625
arizona,2,164.5,164.5,2.0702225941739374,2.0702225941739374,0.2,0.4
hiker,2,50.5,50.5,1.711294919925741,1.711294919925741,0.4,0.8
seeking,6,419.0,123.0,2.233210706422675,2.033256138928298,0.19166666666666665,0.3583333333333334
free,29,375.86206896551727,238,2.284894634660887,2.3783979009481375,0.2961001642036126,0.6625752599890532
pizza,3,115.0,53,1.9372519747386716,1.7323937598229686,0.3,0.6666666666666666
ends,8,177.25,129.0,2.142567979581753,2.1138276809615215,0.04375000000000002,0.42291666666666666
needing,2,50.5,50.5,1.711294919925741,1.711294919925741,0.4,0.8
rescued,4,88.25,89.0,1.9075425886542283,1.9163821524702658,0.3590909090909091,0.6386363636363637
cliven,1,39.0,39,1.6020599913279623,1.6020599913279623,0.0,0.2
bundy,3,84.33333333333333,69,1.8705036290422188,1.845098040014257,-0.016666666666666666,0.11666666666666665
supporters,6,271.1666666666667,296.0,2.329738913887761,2.4677133234188395,0.23214285714285712,0.32103174603174606
build,8,430.375,328.5,2.443250331101433,2.5048316583396897,0.07954545454545454,0.38578643578643573
mock,1,39.0,39,1.6020599913279623,1.6020599913279623,0.0,0.2
jail,3,248.66666666666666,304,2.2309137319284513,2.484299839346786,-0.06666666666666667,0.11666666666666665
cell,1,39.0,39,1.6020599913279623,1.6020599913279623,0.0,0.2
near,10,308.4,188.5,2.301774952869882,2.276151554669177,0.057499999999999996,0.35558333333333336
prison,6,659.6666666666666,514.5,2.622636405310348,2.7104545791420724,0.0,0.03333333333333333
chickfila,2,146.0,146.0,2.1632600960517703,2.1632600960517703,0.4285714285714286,0.5357142857142857
encounter,5,400.6,199,2.437559530805257,2.3010299956639813,0.27142857142857146,0.3142857142857143
moves,18,139.38888888888889,86.5,2.013999670377658,1.9416603391914875,0.25446588904922235,0.46481481481481474
mom,5,186.0,166,2.247083358280434,2.2227164711475833,0.07142857142857144,0.3142857142857143
son,15,899.6,126,2.418275461853976,2.103803720955957,-0.14285714285714285,0.3180952380952381
special,21,285.85714285714283,126,2.200611293431237,2.103803720955957,0.33975468975468964,0.5328231292517005
needs,9,252.22222222222223,126,2.0796224652350714,2.103803720955957,0.23043981481481485,0.3365740740740741
post,3,316.0,166,2.3813618538877734,2.2227164711475833,0.4751082251082251,0.4829004329004329
touching,2,146.0,146.0,2.1632600960517703,2.1632600960517703,0.4285714285714286,0.5357142857142857
thank,11,378.90909090909093,208,2.401031403432023,2.3201462861110542,0.1509018759018759,0.2842712842712843
note,6,176.66666666666666,146.0,2.195266512184057,2.1632600960517703,0.04841269841269843,0.4702380952380952
sharks,1,68.0,68,1.8388490907372552,1.8388490907372552,0.0,0.0
spotted,4,1385.75,316.5,2.617296469104784,2.4726111583176706,0.19375,0.255625
off,30,245.8,125.0,2.196785885820364,2.1003158274050517,-0.005515151515151514,0.24792171717171715
southern,7,353.2857142857143,415,2.3955218419784297,2.6190933306267428,-0.014285714285714285,0.09761904761904762
coast,4,122.25,125.0,2.0572460192321067,2.0773032696418112,0.20833333333333331,0.625
prompt,1,68.0,68,1.8388490907372552,1.8388490907372552,0.0,0.0
warning,8,266.75,220.0,2.3287924676733236,2.3429469694306753,0.03125,0.19375
beachgoers,1,68.0,68,1.8388490907372552,1.8388490907372552,0.0,0.0
senator,10,406.7,109.5,2.2737767823561286,2.0197070595880686,0.05626984126984127,0.13547619047619047
wants,14,226.64285714285714,111.0,2.1449367949643285,2.0428771221048496,0.14178571428571426,0.15531746031746033
mandated,2,49.0,49.0,1.698622290505193,1.698622290505193,0.2,0.1
diversity,5,268.2,88,2.075697443810186,1.9493900066449128,0.019999999999999997,0.3
congressional,2,49.0,49.0,1.698622290505193,1.698622290505193,0.2,0.1
staff,7,92.28571428571429,51,1.8701348191711027,1.7160033436347992,0.10357142857142858,0.34071428571428575
@foxnewspolitics,24,199.54166666666666,136.0,2.1299347124529553,2.136708997385727,0.10255681818181818,0.18925189393939393
jersey,7,225.14285714285714,217,2.2411203968115685,2.3384564936046046,-0.0142857142857143,0.34285714285714286
boy,18,451.44444444444446,204.0,2.449341518081275,2.310878861154077,-0.1257996632996633,0.29764309764309754
donates,2,198.0,198.0,2.2968644993539553,2.2968644993539553,-0.2545454545454546,0.5181818181818182
thousands,13,502.0,137,2.260265824081674,2.1398790864012365,-0.03243006993006993,0.17918609168609168
comics,6,345.0,225.0,2.415971910775508,2.353836175507374,-0.018181818181818195,0.39772727272727276
military,33,295.90909090909093,232,2.4106497881166997,2.367355921026019,-0.12314049586776862,0.2286730945821853
base,11,325.0,201,2.357182850500889,2.305351369446624,-0.38112947658402213,0.7548209366391184
soldiers,6,303.8333333333333,224.0,2.4075344870969073,2.3519722392477522,-0.23484848484848486,0.2643939393939394
ice,11,575.5454545454545,251,2.5554716534927526,2.401400540781544,-0.10909090909090911,0.1606060606060606
arrests,8,578.75,424.0,2.5919268084010683,2.628291530069627,0.05,0.225
suspected,6,660.0,391.0,2.630772509859647,2.5907788869313935,-0.05000000000000001,0.07222222222222223
gang,8,725.25,528.0,2.795286511992461,2.723448688224394,0.0003314393939393913,0.13947285353535355
members,9,763.7777777777778,531,2.8282983168958276,2.7259116322950483,-0.02512626262626263,0.1386223344556678
largest,5,792.8,440,2.7771001874696113,2.6444385894678386,-0.014285714285714285,0.04285714285714286
sweep,3,1110.6666666666667,1294,2.9851683462908145,3.1122697684172707,0.0,0.0
date,3,1110.6666666666667,1294,2.9851683462908145,3.1122697684172707,0.0,0.0
end,21,427.95238095238096,269,2.478802671405315,2.4313637641589874,0.06591080876795165,0.3619551524313429
physical,2,119.5,119.5,2.0718196176372716,2.0718196176372716,0.0,0.14285714285714285
currency,1,95.0,95,1.9822712330395684,1.9822712330395684,0.0,0.14285714285714285
coming,20,314.35,154.5,2.237476589912292,2.1903226595954624,0.08840277777777777,0.177281746031746
@foxbusiness,16,317.25,127.5,2.1805828499142432,2.1001789727708173,-0.015151515151515152,0.26423160173160176
famous,2,39.0,39.0,1.5971183743619146,1.5971183743619146,0.14545454545454545,0.6181818181818182
york,15,238.46666666666667,200,2.246776356760791,2.303196057420489,0.12393939393939396,0.4238720538720539
law,22,476.3636363636364,225.0,2.395475684310012,2.353955332856553,0.12120720188902007,0.3954922602649875
firm,5,297.0,112,2.174226978975642,2.0530784434834195,-0.06181818181818183,0.4872727272727272
cellino,2,39.0,39.0,1.5971183743619146,1.5971183743619146,0.14545454545454545,0.6181818181818182
barnes,2,39.0,39.0,1.5971183743619146,1.5971183743619146,0.14545454545454545,0.6181818181818182
dissolve,2,39.0,39.0,1.5971183743619146,1.5971183743619146,0.14545454545454545,0.6181818181818182
@nypost,4,64.5,61.0,1.801009364716089,1.7887458999186128,0.07045454545454545,0.2681818181818182
scorpion,1,63.0,63,1.806179973983887,1.806179973983887,0.0,0.0
scare,2,99.0,99.0,1.9698594411770523,1.9698594411770523,0.0,0.0
causes,1,63.0,63,1.806179973983887,1.806179973983887,0.0,0.0
delay,1,63.0,63,1.806179973983887,1.806179973983887,0.0,0.0
united,33,426.57575757575756,224,2.3803647100883873,2.3521825181113627,0.03519283746556473,0.19116161616161614
flight,15,139.66666666666666,115,2.0838350624103628,2.0644579892269186,-0.03777777777777778,0.24712962962962962
out,84,428.4166666666667,227.0,2.368755573239321,2.357897249001754,-0.002167562100597815,0.313181560502989
houston,1,63.0,63,1.806179973983887,1.806179973983887,0.0,0.0
@edemarche,5,116.4,99,2.036128472229672,2.0,0.22000000000000003,0.45999999999999996
mormon,2,119.0,119.0,2.078213996159025,2.078213996159025,0.0,0.0
church,6,116.5,111.5,2.0089599804919813,2.0511482330768005,0.16071428571428573,0.19285714285714284
pull,7,442.42857142857144,165,2.4409892127198156,2.220108088040055,-0.04285714285714285,0.3
teens,5,219.6,242,2.3016351997310793,2.385606273598312,0.0,0.0
scouts,2,119.0,119.0,2.078213996159025,2.078213996159025,0.0,0.0
america,46,667.2391304347826,401.5,2.5525118286259825,2.604762868865394,0.16019355041094172,0.3278032655750047
snake,6,297.0,138.0,2.2024959593661317,2.1014756225201214,-0.025000000000000005,0.3333333333333333
hunter,2,52.5,52.5,1.7278791015520683,1.7278791015520683,0.3,0.5
gets,18,260.94444444444446,109.0,2.151483322346602,2.041231110584315,-0.03754629629629629,0.22368312757201647
big,12,208.66666666666666,185.0,2.217247950124946,2.2692051699938336,0.061904761904761886,0.269404761904762
paycheck,2,52.5,52.5,1.7278791015520683,1.7278791015520683,0.3,0.5
after,134,271.8059701492537,176.0,2.2695668368267397,2.247945539833094,-0.009180827464409552,0.23577862850250908
catching,2,52.5,52.5,1.7278791015520683,1.7278791015520683,0.3,0.5
longest,2,52.5,52.5,1.7278791015520683,1.7278791015520683,0.3,0.5
season,5,163.6,217,2.117006896197743,2.3384564936046046,0.12,0.2
@foxnews,14,103.28571428571429,90.5,1.9702459049039616,1.96136272899663,0.12048933209647496,0.39138321995464853
@jessebwatters,22,999.8181818181819,733.0,2.875611613717185,2.862694429127155,0.09054834054834054,0.1908369408369408
think,69,317.95652173913044,214,2.340063719178892,2.3324384599156054,0.0906929282472761,0.390612229960056
appoint,2,1394.0,1394.0,3.144573203342103,3.144573203342103,0.35714285714285715,0.5714285714285714
prosecutor,9,514.3333333333334,176,2.4557079378703626,2.247973266361807,0.29285714285714287,0.45793650793650786
investigate,9,510.0,198,2.406763186509888,2.298853076409707,0.1505291005291005,0.29047619047619044
@thedemocrats,14,498.5,297.5,2.5267797883081005,2.474870601981432,0.18191964285714285,0.4061082766439909
