Name,Count,avgRetweet,medianRetweet,avgLogRetweet,medianLogRetweet,avgPolarSenti,avgSubjSenti
trump,1169,159.83147989734817,98,1.9886390000253156,1.99563519459755,0.021380967193627604,0.2607020112526957
tells,15,226.86666666666667,200,2.1713351672552776,2.303196057420489,-0.0667550505050505,0.30714840714840713
lester,3,52.0,55,1.5043703372186963,1.7481880270062005,0.1706349206349206,0.49801587301587297
holt,3,52.0,55,1.5043703372186963,1.7481880270062005,0.1706349206349206,0.49801587301587297
fighting,3,43.666666666666664,29,1.4154995269319335,1.4771212547196624,-0.09722222222222222,0.2638888888888889
hard,9,240.66666666666666,88,2.075341153925581,1.9493900066449128,-0.19706790123456797,0.508179012345679
legitimacy,1,5.0,5,0.7781512503836436,0.7781512503836436,-0.2916666666666667,0.5416666666666666
divided,4,42.75,47.5,1.4965298387684665,1.6753178041294772,-0.03882575757575758,0.24905303030303028
country,10,118.6,84.5,1.8704883361524793,1.9149090937194388,-0.08809523809523809,0.47023809523809523
maddow,44,260.0681818181818,213.5,2.3197435037135734,2.3313977973886404,-0.09860365013774103,0.2690926308539945
exclusive,25,263.6,155,2.2021992928028085,2.1931245983544616,0.045031746031746034,0.18253968253968253
doj,10,258.0,169.5,2.29300479598881,2.231498306014028,0.01,0.135
say,39,123.48717948717949,133,1.9663595363296837,2.1271047983648077,0.013532763532763531,0.44099002849002844
sessions,63,189.26984126984127,125,2.0833728498918673,2.100370545117563,-0.006704230513754331,0.25408621361002315
recused,1,143.0,143,2.1583624920952498,2.1583624920952498,0.0,0.0
manafort,11,293.6363636363636,194,2.355845994232672,2.290034611362518,-0.014979338842975209,0.14514462809917356
ari,1,200.0,200,2.303196057420489,2.303196057420489,0.0,0.0
melber,2,154.5,154.5,2.172294371289357,2.172294371289357,0.06818181818181818,0.22727272727272727
just,66,174.36363636363637,82.5,1.9803222458412653,1.9216163890490048,0.027561737504919324,0.1667281582054309
press,34,276.3235294117647,91.0,2.0541433236207234,1.9635568059668804,0.023031788472964942,0.344281045751634
problem,9,176.77777777777777,155,2.1618282820067307,2.1931245983544616,-0.02962962962962963,0.1740740740740741
gov,10,93.5,67.5,1.802115548405817,1.8356790017217457,-0.04607142857142857,0.16035714285714286
lying,4,144.0,146.5,2.140351504469757,2.1669653371983286,0.075,0.225
comey,63,243.984126984127,145,2.1551445448170843,2.164352855784437,0.038298289012574725,0.21323919466776606
fired,15,293.8,205,2.2738299535329753,2.3138672203691533,0.025,0.10666666666666667
rough,2,81.0,81.0,1.8581269129480185,1.8581269129480185,-0.1,0.4
welcomes,3,25.666666666666668,18,1.3891648538785735,1.2787536009528289,0.0,0.13333333333333333
gop,165,134.5878787878788,80,1.9323429296799872,1.9084850188786497,0.012058354103808655,0.28270202020202023
rep,166,195.18072289156626,118.5,2.0938533441076195,2.0773641037200776,-0.0008335289208783224,0.24371816269406638
betsy,2,35.5,35.5,1.5552948551496244,1.5552948551496244,-0.15000000000000002,0.4
devos,8,208.25,101.0,1.9925573589259662,2.008412246833744,-0.020138888888888894,0.1923611111111111
nyt,3,375.6666666666667,317,2.5188946203272273,2.5024271199844326,0.0,0.0
asked,12,281.9166666666667,172.0,2.283287614731417,2.2377847510637383,0.03750000000000001,0.2708333333333333
pledge,2,272.0,272.0,2.4087595476159915,2.4087595476159915,0.0,0.0
loyalty,5,119.8,122,2.049524154251137,2.089905111439398,0.0,0.0
carter,10,164.7,127.5,2.1388401370800336,2.108873536631397,0.013636363636363636,0.060839160839160834
page,11,145.8181818181818,114,2.091310527176326,2.060697840353612,0.0396694214876033,0.06763350286077559
regularly,2,172.5,172.5,2.1988831280632253,2.1988831280632253,0.0,0.07692307692307693
briefed,5,239.8,244,2.2982511413909776,2.3891660843645326,0.0,0.23076923076923075
cia,21,251.57142857142858,175,2.2221052326061317,2.24551266781415,0.08849206349206347,0.22081807081807084
fbi,57,218.91228070175438,164,2.2048897778822694,2.2174839442139063,0.031224272803220165,0.163152841310736
extrump,1,244.0,244,2.3891660843645326,2.3891660843645326,0.0,0.07692307692307693
advisor,13,145.07692307692307,95,2.0583100392959115,1.9822712330395684,0.027991452991452996,0.1445923734385273
paige,1,244.0,244,2.3891660843645326,2.3891660843645326,0.0,0.07692307692307693
@chrislhayes,4,113.25,83.0,1.9565149734570961,1.8967205664888316,0.0875,0.15673076923076923
russia,143,254.92307692307693,172,2.2394077126382896,2.2380461031287955,0.05096759301304756,0.1925813599764649
chris,35,216.97142857142856,145,2.1896226426959835,2.164352855784437,-0.05392857142857142,0.16314625850340134
matthews,27,194.55555555555554,123,2.1444288982012587,2.093421685162235,-0.05566378066378063,0.20744348244348249
trashed,1,197.0,197,2.296665190261531,2.296665190261531,0.0,0.0
everyone,5,342.4,197,2.3049883949210295,2.296665190261531,-0.034285714285714294,0.20964285714285716
pres,29,161.31034482758622,98,2.0132534320307673,1.99563519459755,0.06323611733094492,0.3131474846992088
discussed,2,97.0,97.0,1.9912034644318974,1.9912034644318974,0.25,0.25
more,43,133.48837209302326,84,1.9294756205051273,1.9294189257142926,0.3317749756703245,0.47367529111715156
interview,21,96.23809523809524,62,1.7997193467467083,1.7993405494535817,0.09223341693579791,0.3040822052726814
fact,7,248.14285714285714,165,2.2737085132426644,2.220108088040055,0.10714285714285714,0.13333333333333333
checked,1,96.0,96,1.9867717342662448,1.9867717342662448,0.5,0.5
claims,23,251.91304347826087,222,2.2418389564196444,2.3483048630481607,0.04050324675324675,0.2749435347261434
rosie,1,92.0,92,1.968482948553935,1.968482948553935,0.0,0.0
donnell,1,92.0,92,1.968482948553935,1.968482948553935,0.0,0.0
responds,8,136.875,115.5,2.0069016957506953,2.0573054921160865,0.042187499999999996,0.25156249999999997
newest,1,92.0,92,1.968482948553935,1.968482948553935,0.0,0.0
tweet,65,31.03076923076923,26,1.4344246476092124,1.4313637641589874,0.10053613053613057,0.748881118881119
president,299,165.91973244147158,64,1.9009736422816383,1.8129133566428555,0.062083610833610796,0.266142438479395
backs,3,135.33333333333334,121,1.9867925115123117,2.0863598306747484,0.14924242424242423,0.3946969696969697
full,15,80.93333333333334,33,1.5510688844675646,1.5314789170422551,0.29136363636363627,0.4529629629629629
investigation,60,238.65,179.0,2.2241089478642055,2.255272505103306,0.00545845358345358,0.21233285233285232
russian,51,221.80392156862746,154,2.22843349446564,2.1903316981702914,0.004569575304869422,0.1411364343717285
interference,8,250.125,124.0,2.1284381595979682,2.0968544161976777,0.006944444444444441,0.1482638888888889
election,44,154.79545454545453,124.5,2.0391991282872017,2.0985575405436334,0.12706004853732125,0.26941402662993563
john,19,569.2631578947369,252,2.4268151563056186,2.403120521175818,0.06307814992025518,0.4387844611528822
heilemann,1,151.0,151,2.1818435879447726,2.1818435879447726,0.0,0.0
covering,1,151.0,151,2.1818435879447726,2.1818435879447726,0.0,0.0
heart,3,95.66666666666667,69,1.9531501802217555,1.845098040014257,0.0,0.16666666666666666
probe,35,260.14285714285717,155,2.231713188545168,2.1931245983544616,0.008188002473716753,0.2614904143475572
white,151,160.31788079470198,102,2.005708810434164,2.012837224705172,0.007086438212266025,0.11316261920566552
house,221,159.6787330316742,102,2.0198012350033996,2.012837224705172,0.030292639738341093,0.17025254785435776
asking,5,204.0,158,2.1331138690032168,2.2013971243204513,0.05714285714285714,0.10714285714285714
inappropriate,2,79.0,79.0,1.8904825148041584,1.8904825148041584,0.0,0.0
acting,9,274.77777777777777,205,2.3431508310322844,2.3138672203691533,0.040446127946127945,0.17478956228956227
director,25,204.12,145,2.1750056726483815,2.164352855784437,0.059703463203463196,0.26932900432900436
mccabe,6,243.5,231.5,2.28792898018165,2.362898664616479,0.014835858585858586,0.16635101010101008
serious,5,181.8,183,2.168182562229896,2.2648178230095364,-0.25666666666666665,0.6633333333333333
conflict,6,198.83333333333334,159.5,2.123026655267532,2.2007691950829713,-0.012720959595959596,0.4244949494949495
interest,9,278.44444444444446,250,2.270571863382292,2.399673721481038,-0.02685185185185188,0.5509259259259259
strategiest,1,354.0,354,2.550228353055094,2.550228353055094,0.0,0.9
says,132,171.1969696969697,95.5,2.001770040447874,1.9843815240986242,0.004654417552144825,0.290719451003542
firing,18,312.3888888888889,182.0,2.2907222189677743,2.2528801379600427,0.03479136604136604,0.24717712842712844
enormous,1,354.0,354,2.550228353055094,2.550228353055094,0.0,0.9
abuse,2,804.0,804.0,2.8244360394360757,2.8244360394360757,0.2,0.95
power,14,182.35714285714286,87.5,1.9777928339624438,1.9468808810289717,0.04039502164502164,0.24645562770562773
tonight,36,166.91666666666666,49.0,1.8760688255549287,1.6989700043360187,0.08459545855379187,0.3293264991181657
@lesterholtnbc,1,55.0,55,1.7481880270062005,1.7481880270062005,-0.07777777777777779,0.14444444444444446
sits,2,35.0,35.0,1.4761540048310626,1.4761540048310626,-0.02314814814814816,0.17592592592592593
down,36,112.86111111111111,84.0,1.9047334379957332,1.9293888686527247,-0.0967206790123457,0.33119855967078193
oneonone,3,149.66666666666666,77,2.0475699165603714,1.8920946026904804,0.0324074074074074,0.13981481481481484
@realdonaldtrump,3,168.33333333333334,63,2.0477332421947647,1.806179973983887,-0.025925925925925932,0.048148148148148155
watch,122,170.6639344262295,79.5,1.9166533676451893,1.905720471837079,0.04208101211174983,0.27908756771461696
senators,3,164.0,92,2.0785280817046345,1.968482948553935,0.0,0.0
react,10,276.8,133.0,2.0912001516094803,2.1235814045196655,-0.029166666666666664,0.14333333333333334
admitting,1,348.0,348,2.5428254269591797,2.5428254269591797,0.0,0.0
under,25,222.84,166,2.2083633009621746,2.2227164711475833,0.07909090909090909,0.21663636363636363
chuck,18,272.72222222222223,304.0,2.2244340851755595,2.484241474276968,-0.04482323232323233,0.2417929292929293
todd,16,277.6875,304.0,2.2419278054128315,2.484241474276968,-0.05042613636363637,0.27201704545454547
starts,2,183.0,183.0,2.2637311682768733,2.2637311682768733,0.0,0.0
lose,9,215.66666666666666,174,2.2562302990372602,2.2430380486862944,0.11515151515151516,0.18383838383838386
sway,2,140.0,140.0,2.139159544589406,2.139159544589406,0.0,0.0
fellow,1,170.0,170,2.2329961103921536,2.2329961103921536,0.0,0.0
republicans,43,170.06976744186048,110,2.060897610824723,2.0453229787866576,0.030028692237994564,0.23724957213329304
dep,1,250.0,250,2.399673721481038,2.399673721481038,-0.1,0.6
sec,18,136.55555555555554,54.5,1.8340156071104394,1.743851931581863,-0.0878875561167228,0.571678591470258
consider,4,261.25,266.5,2.3557347972929294,2.4264960307640377,0.021875,0.33437500000000003
calling,6,290.1666666666667,168.0,2.152424753556229,2.1695964870498283,-0.15,0.325
ask,11,179.63636363636363,92,2.1093702707616586,1.968482948553935,0.09237012987012987,0.2274350649350649
joe,49,179.08163265306123,126,2.0399574807469865,2.103803720955957,-0.00031539888682744784,0.22158936301793447
scarborough,6,290.6666666666667,138.5,2.174133824283769,2.128286719061862,-0.19999999999999998,0.5666666666666667
outraged,2,555.5,555.5,2.4197453086103557,2.4197453086103557,-0.6035714285714286,0.8839285714285714
lynch,1,1046.0,1046,3.0199466816788423,3.0199466816788423,-0.9,1.0
meeting,18,236.83333333333334,133.5,2.1471754840615622,2.128479076280466,-0.05867283950617283,0.19709876543209873
bill,120,124.83333333333333,77.0,1.908862834882565,1.8920946026904804,0.017951839826839823,0.3160664682539683
clinton,25,175.28,83,2.002167701907572,1.9242792860618816,-0.05600000000000001,0.19733333333333333
intimidated,3,394.0,137,2.3085690021323675,2.1398790864012365,0.04444444444444443,0.19444444444444442
expert,3,303.6666666666667,137,2.1433045659212517,2.1398790864012365,-0.13095238095238096,0.24285714285714288
reveals,2,229.0,229.0,2.3577467918739936,2.3577467918739936,0.0,0.0
former,49,187.9795918367347,122,2.1034055214483405,2.089905111439398,0.01131173248520187,0.11258540212621845
whether,3,229.33333333333334,260,2.250203813594372,2.416640507338281,0.0,0.0
special,46,154.43478260869566,87.5,1.948245330239282,1.9469363393975407,0.2871370929794844,0.49558041596085106
report,32,161.0625,90.0,1.9591761121943734,1.9590151683924402,0.10154947916666668,0.2682717803030303
speaks,16,83.125,66.5,1.7932765336844998,1.828719161351481,0.07195616883116883,0.1560515873015873
first,79,83.25316455696202,45,1.7213605169136348,1.662757831681574,0.20389229851255172,0.38289008225717075
since,10,180.9,166.0,2.1201058121099208,2.2222175865033726,0.06589165464165464,0.34310004810004807
dir,2,227.5,227.5,2.1756661998131914,2.1756661998131914,0.2167857142857143,0.5861904761904762
sen,122,265.7295081967213,146.0,2.1630715331940467,2.1673072855896973,0.019920058311451754,0.25583108603600413
angus,3,105.66666666666667,69,1.870106468773079,1.845098040014257,-0.14444444444444446,0.2888888888888889
king,13,106.46153846153847,69,1.8954380367047547,1.845098040014257,0.04125874125874126,0.2695804195804196
admin,27,187.40740740740742,101,2.071153807222,2.0086001717619175,-0.025198813532146876,0.1867388167388167
think,79,42.08860759493671,23,1.4493807293919343,1.380211241711606,0.0673730980693006,0.7339310829817158
sort,1,223.0,223,2.3502480183341627,2.3502480183341627,0.0,0.0
spiraling,1,223.0,223,2.3502480183341627,2.3502480183341627,0.0,0.0
out,39,161.53846153846155,113,2.0301023552934074,2.0569048513364727,0.033489658489658486,0.1914992414992415
control,5,141.8,118,2.0924496411534523,2.0755469613925306,0.05714285714285714,0.23214285714285712
highly,5,230.2,182,2.242838548553389,2.2624510897304293,-0.17286363636363636,0.5269545454545455
significant,3,234.0,241,2.1901819139242473,2.383815365980431,0.13740530303030304,0.5107954545454546
praises,3,662.3333333333334,354,2.577418254449379,2.550228353055094,0.0,0.03333333333333333
pushes,7,123.0,95,1.8814276855176928,1.9822712330395684,-0.21428571428571427,0.42857142857142855
back,22,146.22727272727272,95.0,1.9807848196083429,1.9788515207744157,0.006914108618654074,0.02361521054702873
reports,11,160.72727272727272,109,2.1132792712681083,2.041392685158225,0.02576905417814508,0.21548438934802572
agents,1,354.0,354,2.550228353055094,2.550228353055094,0.0,0.0
lost,6,177.0,170.5,2.141158054022725,2.209316343677033,0.04074074074074074,0.2828703703703704
faith,3,227.0,238,2.294289587814186,2.3783979009481375,0.0,0.016666666666666666
establish,1,30.0,30,1.4913616938342726,1.4913616938342726,0.0,0.0
voter,9,152.55555555555554,112,2.0819277270872467,2.0530784434834195,-0.007070707070707073,0.13383838383838384
fraud,8,125.25,97.5,2.0089502021814,1.9886788647726505,0.0,0.0
commission,2,53.5,53.5,1.6917281482623765,1.6917281482623765,0.125,0.16666666666666666
andrew,4,150.25,152.5,2.0747832923247564,2.1622646886059966,0.017045454545454544,0.056818181818181816
will,117,131.65811965811966,63,1.858406714103149,1.806179973983887,0.02756306193806194,0.19895359270359272
update,3,170.0,195,2.150306684056822,2.292256071356476,-0.03333333333333333,0.0
status,1,261.0,261,2.4183012913197452,2.4183012913197452,0.0,0.0
top,31,82.7741935483871,48,1.6107443124884335,1.6901960800285136,0.44688940092165896,0.4992703533026114
intel,43,181.3953488372093,155,2.156605343137241,2.1931245983544616,0.011531007751937985,0.1196705426356589
democrat,17,167.41176470588235,101,2.0148571759376175,2.0086001717619175,0.17156862745098042,0.34509803921568627
discusses,6,63.0,49.5,1.7679683551469372,1.702245808879343,0.05000000000000001,0.13333333333333333
following,8,175.625,178.5,2.175597448556785,2.2489069667008454,0.048899711399711394,0.17349837662337664
money,9,79.11111111111111,57,1.8374155442916142,1.7634279935629373,0.06944444444444445,0.29444444444444445
trail,1,99.0,99,2.0,2.0,0.25,0.3
stop,11,149.27272727272728,122,2.119830768978779,2.089905111439398,-0.18181818181818182,0.22727272727272727
agency,3,167.66666666666666,202,2.0932329587640925,2.307496037913213,0.0,0.0
doing,8,216.875,121.0,2.0829745635249517,2.0785015984162625,0.0125,0.1875
job,17,193.05882352941177,104,2.0569460215434074,2.0211892990699383,0.056639928698752236,0.19108734402852048
allow,1,185.0,185,2.2695129442179165,2.2695129442179165,0.0,0.0
unchecked,2,112.0,112.0,1.9357864677729393,1.9357864677729393,0.0,0.0
swept,1,185.0,185,2.2695129442179165,2.2695129442179165,0.0,0.0
aside,3,243.0,230,2.377145159299887,2.3636119798921444,0.0,0.0
leaders,13,149.84615384615384,113,2.025884141592543,2.0569048513364727,0.02645687645687646,0.19988344988344986
unanimously,1,587.0,587,2.7693773260761385,2.7693773260761385,0.0,0.0
agree,5,149.6,34,1.7730766131582503,1.5440680443502757,-0.05500000000000001,0.5
meddled,1,587.0,587,2.7693773260761385,2.7693773260761385,0.0,0.0
read,7,160.57142857142858,110,2.0385947591464553,2.0453229787866576,0.14693877551020407,0.3051020408163266
james,9,202.33333333333334,144,2.099689016132279,2.161368002234975,0.09814814814814815,0.1962962962962963
farewell,1,44.0,44,1.6532125137753437,1.6532125137753437,0.0,0.0
letter,5,282.6,150,2.2226632996979268,2.1789769472931693,0.0,0.0
warner,3,214.66666666666666,221,2.125866603561105,2.346352974450639,-0.04861111111111111,0.15694444444444444
avoid,6,125.83333333333333,89.0,1.9368707246029935,1.9481252812308192,-0.1076388888888889,0.24513888888888888
conclusion,1,397.0,397,2.5998830720736876,2.5998830720736876,-0.14583333333333334,0.4708333333333333
related,3,301.3333333333333,273,2.469567165721937,2.437750562820388,-0.04861111111111111,0.42361111111111116
fmr,30,161.26666666666668,130.5,2.06362112256873,2.11695472674389,0.023989898989898988,0.0707070707070707
representative,1,342.0,342,2.5352941200427703,2.5352941200427703,0.0,0.0
embarrassing,3,294.0,323,2.4614318746179955,2.510545010206612,0.0,0.03333333333333333
time,45,100.66666666666667,53,1.770024630896349,1.7323937598229686,0.08421236171236175,0.6292881192881193
republican,18,131.44444444444446,85.0,1.9316976899225047,1.9344690891664555,0.08442760942760943,0.23636363636363633
committee,30,201.0,125.0,2.0871395828374286,2.1003568669820067,0.0564520202020202,0.23140151515151516
wants,11,117.45454545454545,101,1.9482606857028673,2.0086001717619175,0.20847107438016532,0.16611570247933885
hear,10,148.3,81.0,1.8998431418568231,1.9132965269670241,0.1114935064935065,0.2119047619047619
lawrence,32,157.65625,118.0,2.0888936141231578,2.0755469613925306,-0.14391814782439785,0.2685138646076146
mike,17,129.23529411764707,93,1.9134782086874593,1.9731278535996986,0.021549528902470073,0.4436974789915966
flynn,87,190.7471264367816,124,2.1487104449305154,2.0969100130080562,-0.03961370685508617,0.25143740359257605
worst,6,128.0,92.5,2.030133146825168,1.9655254233886956,-0.9166666666666666,0.9166666666666666
day,26,131.19230769230768,66.0,1.869160516480957,1.825639006999072,-0.12182400932400933,0.34183177933177944
life,6,95.83333333333333,111.5,1.8440293606684441,2.050804808616556,-0.08750000000000001,0.3458333333333334
senate,58,160.39655172413794,98.0,1.9965228763678864,1.99563519459755,-0.010953127332437676,0.18905806836841316
subpoenas,1,84.0,84,1.9294189257142926,1.9294189257142926,0.0,0.0
michael,25,180.4,148,2.1514966330636245,2.173186268412274,0.010020202020202018,0.15282828282828284
maddowblog,166,196.07831325301206,162.5,2.213331389343598,2.2134669820359525,-0.03996168657313238,0.2865583546306439
sean,12,112.66666666666667,69.0,1.8965480860586326,1.8449207045687523,0.0022095959595959578,0.4101851851851852
spicer,38,106.13157894736842,83.0,1.917954395190084,1.923508548967677,-0.09186071238702818,0.4359429824561404
spent,2,121.5,121.5,2.0319292744265356,2.0319292744265356,-0.09444444444444444,0.12222222222222223
several,2,101.0,101.0,1.8097032054433888,1.8097032054433888,0.04484126984126984,0.2150793650793651
minutes,1,180.0,180,2.2576785748691846,2.2576785748691846,-0.08888888888888889,0.14444444444444446
hidden,1,180.0,180,2.2576785748691846,2.2576785748691846,-0.08888888888888889,0.14444444444444446
bushes,1,180.0,180,2.2576785748691846,2.2576785748691846,-0.08888888888888889,0.14444444444444446
constitutional,3,263.0,102,2.1552832052755426,2.012837224705172,0.04545454545454545,0.15151515151515152
crisis,17,152.58823529411765,102,2.0581934489821263,2.012837224705172,0.11537433155080212,0.2767379679144385
reporter,7,321.85714285714283,182,2.3557917463200733,2.2624510897304293,0.036525974025974024,0.27056277056277056
arrested,1,158.0,158,2.2013971243204513,2.2013971243204513,0.0,0.0
hhs,6,161.66666666666666,99.0,1.938232347951801,1.9070904905200934,0.05418244949494949,0.3620896464646464
secretary,40,128.525,61.5,1.8681750047436387,1.7955323035132496,-0.006969696969696978,0.17420454545454547
tom,19,109.78947368421052,71,1.9072213458675675,1.8573324964312685,0.1046327941064783,0.2855756816283132
price,8,146.75,99.0,1.9045793239428186,1.9070904905200934,0.1381368371212121,0.39656723484848483
question,30,103.1,28.5,1.5822419737182511,1.4697596263093091,0.03791666666666667,0.18888888888888886
hayes,10,153.2,78.0,2.001378541286574,1.897069677883887,0.07946428571428572,0.18589285714285714
takes,12,125.16666666666667,127.0,2.0294947822222036,2.105880546853681,0.05188341750841751,0.2872579966329966
look,17,168.7058823529412,109,1.993401309217715,2.041392685158225,-0.07573529411764704,0.3095588235294117
