Name,Count,avgRetweet,medianRetweet,avgLogRetweet,medianLogRetweet,avgPolarSenti,avgSubjSenti
glad,1,3354.0,3354,3.525692524505011,3.525692524505011,0.25,0.5
back,29,7427.0,520,2.8992248454961564,2.7168377232995247,0.18963122605363983,0.26463806787082644
#phasummit,1,3354.0,3354,3.525692524505011,3.525692524505011,0.25,0.5
play,3,1181.0,118,2.48619066077627,2.0755469613925306,0.25416666666666665,0.4444444444444444
politics,1,3354.0,3354,3.525692524505011,3.525692524505011,0.25,0.5
kids,22,835.1818181818181,331.5,2.663601141755196,2.517686848285609,0.24220328282828285,0.35580808080808074
health,6,724.3333333333334,228.5,2.466901897643122,2.353205255285349,-0.011111111111111108,0.24999999999999997
owe,2,2050.5,2050.5,3.199797061184736,3.199797061184736,0.375,0.6944444444444444
let,18,2879.6666666666665,1403.0,3.029029697235719,3.1445995359322163,0.18977899029982362,0.3306161816578483
make,53,658.0943396226415,408,2.599016354002164,2.611723308007342,0.20528363146287676,0.42221462150707434
thank,25,3044.48,248,2.6358191339764585,2.3961993470957363,0.36654101731601735,0.4971776334776335
@nickcannon,1,1764.0,1764,3.2467447097238415,3.2467447097238415,0.65,0.75
&amp,3,8413.666666666666,2158,3.6365948508042023,3.334252642334231,0.33055555555555555,0.6222222222222222
many,7,552.1428571428571,371,2.521902368004665,2.5705429398818973,0.4503661616161616,0.6206457431457431
others,2,1177.0,1177.0,3.0091660953025485,3.0091660953025485,0.325,0.375
supported,1,1764.0,1764,3.2467447097238415,3.2467447097238415,0.65,0.75
#collegesigningday,4,1997.5,1961.0,3.292053566165773,3.2904986760290362,0.275,0.4475
proud,10,2584.4,1047.5,3.0079972657959417,2.883941396713939,0.5606481481481481,0.7626851851851851
every,23,3377.8695652173915,475,2.907921742388095,2.677606952720493,0.19360766045548655,0.37223084886128355
student,5,1463.8,506,2.97304742671036,2.705007959333336,0.366,0.3906666666666666
aiming,1,1764.0,1764,3.2467447097238415,3.2467447097238415,0.65,0.75
#bettermakeroom,2,2034.0,2034.0,3.2936084563025094,3.2936084563025094,0.1,0.26999999999999996
@bettermakeroom,1,1509.0,1509,3.1789769472931693,3.1789769472931693,0.0,0.0
inspired,3,8726.333333333334,2158,3.288197831776644,3.334252642334231,0.28750000000000003,0.611111111111111
over,8,444.625,205.0,2.333866011808965,2.3138621032563362,0.23664434523809524,0.37529761904761905
schools,3,2423.0,2158,2.9181641077592726,3.334252642334231,0.25,0.3666666666666667
communities,2,1932.0,1932.0,3.283243081724482,3.283243081724482,0.125,0.25
all,47,2182.021276595745,408,2.7662546486817186,2.611723308007342,0.18335706993951678,0.3647515044057596
states,6,731.0,495.0,2.640382207534994,2.6061896988236,0.10416666666666669,0.5833333333333334
shining,1,2158.0,2158,3.334252642334231,3.334252642334231,0.25,0.5
spotlight,1,2158.0,2158,3.334252642334231,3.334252642334231,0.25,0.5
higher,3,1310.3333333333333,1095,3.0686443235876943,3.0398105541483504,0.3333333333333333,0.5
education,9,9377.333333333334,1137,3.255348929458397,3.056142262059052,0.23425925925925922,0.3907407407407407
nyc,2,1371.0,1371.0,2.836528894160693,2.836528894160693,0.5,0.47
can,46,585.8695652173913,293.5,2.5255525656796904,2.4690696503828153,0.18050689346885,0.3142545015371102
wait,6,1496.3333333333333,1307.5,2.9635589742351356,2.992997341083281,0.17285353535353534,0.31962962962962965
celebrate,9,1514.5555555555557,374,2.6238211350806435,2.574031267727719,0.12916666666666668,0.2507407407407407
today,94,1612.1382978723404,326.5,2.6630632188469874,2.514440095645659,0.22333447506984744,0.3926098881418031
collegebound,1,2559.0,2559,3.4082399653118496,3.4082399653118496,0.2,0.5399999999999999
high,3,1048.0,471,2.71429326809985,2.673941998634088,0.19666666666666666,0.4666666666666666
school,4,906.0,467.0,2.717318468926667,2.6702299895944845,0.23571969696969697,0.4236489898989899
seniors,1,2559.0,2559,3.4082399653118496,3.4082399653118496,0.2,0.5399999999999999
excited,16,2504.75,1353.0,3.1583695896665454,3.1316186643491255,0.25906723484848493,0.5303109217171719
potential,1,21319.0,21319,4.328787200354535,4.328787200354535,0.09166666666666667,0.6166666666666667
obama,71,1530.8309859154929,406,2.650496550542443,2.60959440922522,0.22019846350832273,0.363618580167876
pres,1,21319.0,21319,4.328787200354535,4.328787200354535,0.09166666666666667,0.6166666666666667
center,1,21319.0,21319,4.328787200354535,4.328787200354535,0.09166666666666667,0.6166666666666667
barack,41,2137.7804878048782,603,2.8618568869180163,2.7810369386211318,0.1650595238095238,0.26013743708865655
will,27,5888.592592592592,301,2.6680977653383473,2.4800069429571505,0.16837889476778364,0.32644767783656664
continue,3,7691.666666666667,1320,3.3633904849798277,3.1209028176145273,0.36388888888888893,0.6037037037037037
champion,1,21319.0,21319,4.328787200354535,4.328787200354535,0.09166666666666667,0.6166666666666667
issues,6,3829.6666666666665,369.5,2.8124043753536476,2.5670056329909716,0.04305555555555555,0.18611111111111112
close,3,8899.0,5250,3.38653964298028,3.720242018287057,0.2701388888888889,0.44722222222222224
hey,2,6139.0,6139.0,3.7342120688049403,3.7342120688049403,0.3125,0.3
