Name,Count,avgRetweet,medianRetweet,avgLogRetweet,medianLogRetweet,avgPolarSenti,avgSubjSenti
police,186,14.225806451612904,7.0,0.9752229734026403,0.9030899869919435,-0.11126572464274065,0.14591489976570646
hampton,1,4.0,4,0.6989700043360189,0.6989700043360189,0.0,0.0
virginia,14,10.0,5.5,0.8929112412272244,0.8010299956639813,-0.13072916666666665,0.09107142857142858
issued,82,19.548780487804876,11.0,1.0785791141935885,1.077668018732531,-0.12158975424981516,0.1094065656565657
#amberalert,238,48.95378151260504,27.0,1.378042709178161,1.4471580313422192,-0.10118141953751186,0.153633574641978
thursday,11,18.636363636363637,20,1.1253874746019419,1.3222192947339193,-0.12272727272727274,0.1858585858585859
night,6,24.0,13.0,1.1875883433486976,1.127636252551653,-0.15555555555555556,0.07361111111111111
monthold,20,9.4,5.5,0.8879931992026178,0.8116246451989502,-0.15114583333333337,0.13013888888888886
girl,372,31.327956989247312,25.0,1.3435225861943485,1.414973347970818,-0.09413425247094623,0.12233002063647193
mother,47,17.170212765957448,19,1.1118774218305074,1.3010299956639813,-0.13750537287771333,0.19156995486782719
locate,133,19.142857142857142,19,1.2498760117088414,1.3010299956639813,-0.13533999365296334,0.0937295077520643
missing,378,17.841269841269842,12.0,1.040997312556189,1.1139433523068367,-0.12909429446582274,0.12478052062575838
#findsheilakhalili,1,14.0,14,1.1760912590556813,1.1760912590556813,-0.05,0.225
sheila,1,14.0,14,1.1760912590556813,1.1760912590556813,-0.05,0.225
khalili,1,14.0,14,1.1760912590556813,1.1760912590556813,-0.05,0.225
age,905,26.935911602209945,25,1.357485999682467,1.414973347970818,-0.10419451559796931,0.09712140186394252
#schaumburg,2,26.0,26.0,1.3835779330410902,1.3835779330410902,-0.125,0.1375
#illinois,50,48.26,27.5,1.4534513349608715,1.4547780146205875,-0.1421628787878789,0.12587373737373725
disappeared,53,24.11320754716981,22,1.329130863340866,1.3617278360175928,-0.14573184676958265,0.11025443110348768
near,45,28.11111111111111,25,1.3514861807868277,1.414973347970818,-0.017424579124579124,0.21045881032547709
olivet,1,14.0,14,1.1760912590556813,1.1760912590556813,-0.05,0.225
plover,1,15.0,15,1.2041199826559248,1.2041199826559248,-0.25,0.05
wisconsin,9,7.222222222222222,6,0.8733320037671717,0.8450980400142568,-0.21666666666666665,0.1416666666666667
woman,80,21.475,21.0,1.1922256633258046,1.3424226808222062,-0.10174873737373738,0.15227272727272728
still,109,29.94495412844037,25,1.3307334476493253,1.414973347970818,-0.1470962740114114,0.15046242238902802
#tx,92,39.33695652173913,29.5,1.4267294948351665,1.4842414742769674,-0.12290458937198057,0.09890096618357491
amanda,8,22.0,21.5,1.193129972007011,1.3494850021680094,-0.1375,0.05902777777777778
brown,18,24.11111111111111,25.0,1.24872462749884,1.4146518864155126,-0.09404040404040406,0.06474186307519642
#sherman,1,24.0,24,1.3979400086720377,1.3979400086720377,-0.1,0.025
#texas,143,42.27972027972028,29,1.414623772849469,1.4771212547196624,-0.12685968072331685,0.09702108497563053
left,34,26.0,24.0,1.3306393544500985,1.3979400086720377,-0.0675245098039216,0.06865196078431371
home,82,23.670731707317074,24.0,1.2608100306322225,1.3979400086720377,-0.0701738035846268,0.13405210643015522
dorado,1,24.0,24,1.3979400086720377,1.3979400086720377,-0.1,0.025
mobile,2,15.5,15.5,1.1505149978319906,1.1505149978319906,-0.425,0.5125
park,18,31.77777777777778,16.5,1.170494542129833,1.2341736652060786,-0.1261574074074074,0.17368827160493827
repost,28,30.785714285714285,25.5,1.4340121901935348,1.4231685560649026,-0.17800888347763347,0.21605339105339103
yearold,149,17.93288590604027,8,1.020534988976062,0.9542425094393249,-0.08761499159863241,0.17291168153248707
south,24,19.208333333333332,14.0,1.1242916418279025,1.1760912590556813,-0.09035984848484847,0.11231902356902357
carolina,21,14.714285714285714,8,1.0472195260585468,0.9542425094393249,-0.133982683982684,0.11727994227994223
bennettsville,1,35.0,35,1.5563025007672873,1.5563025007672873,-0.25,0.05
marlboro,1,35.0,35,1.5563025007672873,1.5563025007672873,-0.25,0.05
county,121,16.39669421487603,11,1.0513377808290074,1.0791812460476249,-0.11091597796143238,0.1349632690541783
sheriff,33,16.333333333333332,14,1.1036885092246727,1.1760912590556813,-0.12780934343434347,0.0691919191919192
office,22,14.727272727272727,9.5,1.048603668284176,1.0206963425791127,-0.12466856060606063,0.07575757575757576
arrested,14,22.214285714285715,16.0,1.1109001331359971,1.227422430004255,0.03125,0.3464285714285714
#candicemcdaniel,1,64.0,64,1.8129133566428555,1.8129133566428555,-0.2,0.05
#missing,1939,32.979370809695716,24,1.299375995697792,1.3979400086720377,-0.13938296915965462,0.09464070659442135
north,33,12.545454545454545,7,0.9729332467542389,0.9030899869919435,-0.15172635445362723,0.10561753902662983
#newark,1,64.0,64,1.8129133566428555,1.8129133566428555,-0.2,0.05
#nj,16,47.625,29.5,1.419518558805498,1.483773988109431,-0.09730113636363635,0.09172190656565658
#newjersey,17,44.529411764705884,28,1.4880201926554284,1.462397997898956,-0.057058823529411766,0.13369281045751633
since,216,8.074074074074074,5.0,0.808123226854791,0.7781512503836436,-0.1508482476885252,0.1116675351397577
please,368,12.883152173913043,6.0,0.8915152943981914,0.8450980400142568,-0.14481126531228491,0.1317140053485157
call,13,22.615384615384617,6,1.0359541279648377,0.8450980400142568,-0.17622863247863246,0.21794871794871792
nwktips,1,64.0,64,1.8129133566428555,1.8129133566428555,-0.2,0.05
update,69,11.681159420289855,10,0.9591986330982056,1.0413926851582251,0.10990274117991511,0.4688592446201143
great,16,15.9375,16.5,1.1062393448714007,1.241436791804377,0.6025020032051283,0.5706570512820512
news,23,13.73913043478261,15,1.0511240810810976,1.2041199826559248,0.23181612318840578,0.5864734299516908
family,54,20.51851851851852,18.5,1.1473081060672194,1.289891798308405,-0.06234066859066861,0.22353962909518477
yukon,1,12.0,12,1.1139433523068367,1.1139433523068367,0.175,0.31250000000000006
teenager,5,6.8,6,0.8678505268065398,0.8450980400142568,-0.085,0.14361111111111113
young,44,23.977272727272727,23.0,1.3076551724184204,1.380211241711606,0.00920282369146006,0.28064451331496787
daughter,33,43.93939393939394,31,1.4809458931460253,1.505149978319906,-0.09835858585858591,0.20484006734006735
days,7,8.142857142857142,4,0.7757019568233935,0.6989700043360189,0.07976190476190477,0.23750000000000002
emergency,92,17.554347826086957,10.0,1.0826464981727895,1.0413926851582251,-0.13589721947738242,0.19136308739569616
forsyth,1,24.0,24,1.3979400086720377,1.3979400086720377,-0.390625,0.05
searching,51,24.92156862745098,21,1.1956478756092714,1.3424226808222062,-0.10217272515066637,0.11277586792292671
phantom,1,19.0,19,1.3010299956639813,1.3010299956639813,0.0,0.0
serial,3,19.0,19,1.2682735595737207,1.3010299956639813,-0.07111111111111111,0.1785185185185185
killer,8,24.625,20.0,1.35867664108295,1.3222192947339193,-0.075625,0.17996527777777777
children,21,20.142857142857142,21,1.1900269981051583,1.3424226808222062,-0.08907377344877346,0.25259139009139003
out,26,17.807692307692307,17.5,1.0868725399613288,1.2657394585211277,-0.04932723526473527,0.23416028416028417
prison,2,23.5,23.5,1.3817139967814687,1.3817139967814687,-0.10666666666666667,0.2677777777777777
living,3,26.0,20,1.4084364272419545,1.3222192947339193,-0.00833333333333334,0.17500000000000002
tucson,8,13.75,12.0,1.0531330573724174,1.1020599913279625,-0.1625,0.17534722222222224
arizona,18,9.5,7.0,0.8739177230475247,0.8996702747267908,-0.16547138047138052,0.16491021324354652
sunday,11,21.90909090909091,22,1.3164965169277896,1.3617278360175928,-0.10303030303030304,0.09823232323232324
april,43,23.651162790697676,22,1.319692153389965,1.3617278360175928,-0.07646243291592131,0.10178841184655135
#bringaubreyhome,1,17.0,17,1.255272505103306,1.255272505103306,-0.1,0.058333333333333334
aubrey,2,10.5,10.5,0.9771212547196624,0.9771212547196624,-0.15000000000000002,0.05416666666666667
jayce,3,17.666666666666668,17,1.2118279156049707,1.255272505103306,-0.06666666666666667,0.03888888888888889
carroll,6,18.833333333333332,22.5,1.1829802907856448,1.358835251501131,-0.09166666666666667,0.08750000000000001
#spaldingcounty,1,17.0,17,1.255272505103306,1.255272505103306,-0.1,0.058333333333333334
#ga,43,36.13953488372093,29,1.482132548929429,1.4771212547196624,-0.12019102990033227,0.11591269841269831
last,740,27.914864864864864,25.0,1.359461102739535,1.414973347970818,-0.07361579087204159,0.08913365898365816
seen,713,27.401122019635345,25,1.3596712011907144,1.414973347970818,-0.07509908466552997,0.08842314246451612
manhunt,11,35.36363636363637,30,1.3410642639398824,1.4913616938342726,-0.041253443526170795,0.29511019283746553
daniel,6,11.333333333333334,11.0,1.0422230008876845,1.073064017839119,-0.15000000000000002,0.061111111111111116
clark,6,17.666666666666668,17.5,1.2511585997338146,1.263169638694922,-0.14097222222222225,0.08009259259259259
&amp,185,26.767567567567568,15,1.181363419249158,1.2041199826559248,-0.06682571370071369,0.20103301353301353
trinity,4,18.25,19.5,1.2774317495688698,1.3105881408875175,-0.2,0.05
quinn,4,19.75,18.0,1.2987492328545422,1.2787536009528289,0.05374999999999999,0.19104166666666667
now,31,32.70967741935484,25,1.3192763539213788,1.414973347970818,-0.09950044802867385,0.11198924731182792
wanted,67,32.1044776119403,27,1.2976660095998018,1.4471580313422192,0.012671867933061957,0.24289876375697272
nashville,1,13.0,13,1.146128035678238,1.146128035678238,-0.2,0.05
murder,14,21.142857142857142,19.5,1.2222519268354317,1.3116246451989504,-0.009821428571428575,0.12142857142857144
gas,3,6.0,5,0.6414264286872938,0.7781512503836436,-0.06666666666666667,0.016666666666666666
clerk,3,11.0,12,1.0714379658081332,1.1139433523068367,-0.13333333333333333,0.03333333333333333
#locatetrinity,1,18.0,18,1.2787536009528289,1.2787536009528289,-0.2,0.05
endangered,44,34.36363636363637,23.0,1.2879101765108385,1.380211241711606,-0.14559659090909094,0.07383207070707067
child,120,27.358333333333334,23.5,1.2415545621814912,1.389075625191822,-0.06224702380952384,0.2189302248677249
alert,90,18.244444444444444,11.0,1.0721402347312017,1.077668018732531,-0.10011198292448288,0.14579866121532803
faith,8,26.75,22.5,1.4205896752967253,1.3661968799114843,-0.08083333333333333,0.10340277777777779
#findjesika,1,21.0,21,1.3424226808222062,1.3424226808222062,0.0,0.0
missing/endangered,6,26.0,25.5,1.4261062165983154,1.4231685560649026,-0.11371527777777778,0.028703703703703703
#oklahoma,33,42.72727272727273,31,1.5533845350834858,1.505149978319906,0.042929292929292914,0.18207070707070705
jesika,1,21.0,21,1.3424226808222062,1.3424226808222062,0.0,0.0
cheyenne,7,26.857142857142858,26,1.430030061790681,1.4313637641589874,-0.027380952380952377,0.08035714285714286
skinner,1,21.0,21,1.3424226808222062,1.3424226808222062,0.0,0.0
#az,28,31.785714285714285,24.0,1.3632927937460946,1.3979400086720377,-0.13586309523809528,0.16736111111111104
teen,132,25.62878787878788,23.0,1.2996056144589836,1.380211241711606,-0.05933527236652234,0.0881599025974026
#findlianna,1,23.0,23,1.380211241711606,1.380211241711606,-0.06666666666666667,0.03888888888888889
lianna,1,23.0,23,1.380211241711606,1.380211241711606,-0.06666666666666667,0.03888888888888889
lefler,1,23.0,23,1.380211241711606,1.380211241711606,-0.06666666666666667,0.03888888888888889
gibson,1,23.0,23,1.380211241711606,1.380211241711606,-0.06666666666666667,0.03888888888888889
leaving,43,26.302325581395348,25,1.3963803248328497,1.414973347970818,-0.08179586563307499,0.07814599483204127
help,285,13.063157894736841,7,0.925911248906388,0.9030899869919435,-0.13670402648034238,0.13871427938533168
kristie,1,96.0,96,1.9867717342662448,1.9867717342662448,-0.475,0.525
davis,7,37.857142857142854,24,1.360987007241913,1.3979400086720377,-0.19642857142857142,0.13373015873015875
find,185,8.843243243243244,5,0.8368666534586445,0.7781512503836436,-0.15519817382317352,0.1327765395265399
alyssa,13,39.15384615384615,30,1.5300903717571157,1.4913616938342726,-0.08783216783216782,0.14891414141414144
nicole,23,23.47826086956522,18,1.289983340435112,1.2787536009528289,-0.1422595520421608,0.11638120333772506
ross,7,52.285714285714285,37,1.6661928542793871,1.5797835966168101,-0.14166666666666666,0.15555555555555559
granddaughter,2,55.5,55.5,1.5954458584610847,1.5954458584610847,-0.2875,0.275
urgent,40,22.05,21.5,1.2185933275683236,1.3520752584198994,-0.11956026785714291,0.12566964285714283
#pa,40,51.575,27.0,1.424072368398735,1.4471580313422192,-0.13570312500000006,0.09097222222222211
#findnoelle,1,26.0,26,1.4313637641589874,1.4313637641589874,-0.390625,0.05
noelle,1,26.0,26,1.4313637641589874,1.4313637641589874,-0.390625,0.05
millero,1,26.0,26,1.4313637641589874,1.4313637641589874,-0.390625,0.05
#teenmom,9,52.333333333333336,28,1.4900879981056283,1.462397997898956,-0.09375,0.1259259259259259
#baby,29,42.689655172413794,19,1.2212568874524674,1.3010299956639813,-0.15675287356321846,0.09798850574712642
#findalyssaandadalyn,4,57.25,54.0,1.6510966942796852,1.685441508388803,-0.13593750000000002,0.1375
adalyn,2,63.5,63.5,1.7948631281271186,1.7948631281271186,-0.2,0.05
#okc,10,54.5,56.0,1.6878670808482112,1.7541975165665264,0.015000000000000003,0.22555555555555556
#oklahomacity,6,57.333333333333336,58.0,1.6859143479919745,1.763169638694922,-0.09166666666666667,0.11342592592592593
#yukon,4,75.5,74.5,1.8660520184884257,1.8767915294464532,-0.11250000000000002,0.10625000000000001
@karenhoward,1,0.0,0,0.0,0.0,-0.75,1.0
works,1,0.0,0,0.0,0.0,-0.75,1.0
found,148,34.33783783783784,14.0,1.1709046365071039,1.1760912590556813,0.03934483895421396,0.3162876594126593
@kaillowry,7,7.285714285714286,3,0.5964851187705758,0.6020599913279624,-0.05714285714285715,0.06071428571428572
#alyssaross,3,56.0,47,1.6382483325722408,1.6812412373755872,-0.20000000000000004,0.05000000000000001
#adalyn,2,60.5,60.5,1.6167518801705674,1.6167518801705674,-0.2,0.05
see,7,3.2857142857142856,1,0.413473723240634,0.3010299956639812,-0.13639455782312923,0.2536848072562358
link,9,20.22222222222222,11,1.0343773667507972,1.0791812460476249,-0.19444444444444442,0.1416666666666667
baby,31,23.64516129032258,17,1.159043401097093,1.255272505103306,-0.14371639784946236,0.25259856630824373
@catelynnlowell,3,5.666666666666667,7,0.7781512503836435,0.9030899869919435,0.1111111111111111,0.16666666666666666
@fabraham,1,8.0,8,0.9542425094393249,0.9542425094393249,0.0,0.0
@kaleylynnh,1,8.0,8,0.9542425094393249,0.9542425094393249,0.0,0.0
@heathermcdonald,3,19.666666666666668,8,1.1701816700688707,0.9542425094393249,0.03333333333333333,0.05000000000000001
@reneegraziano,3,2.6666666666666665,0,0.318080836479775,0.0,0.0,0.0
@mchammer,4,37.75,30.0,1.4596291584574055,1.479997419164208,-0.15000000000000002,0.05625
@teganmariemusic,1,8.0,8,0.9542425094393249,0.9542425094393249,0.0,0.0
#endangered,91,34.934065934065934,25,1.3979319811541828,1.414973347970818,-0.11928696303696296,0.10674186924186932
pregnant,9,20.555555555555557,4,0.9550012953488329,0.6989700043360189,0.23159371492704825,0.39924242424242423
#aiken,1,23.0,23,1.380211241711606,1.380211241711606,-0.016666666666666677,0.15
#sc,28,40.357142857142854,23.0,1.3970449232969426,1.380211241711606,-0.10661848072562362,0.09189342403628116
headed,17,25.58823529411765,26,1.3904889515937344,1.4313637641589874,-0.13664215686274514,0.07450980392156864
#mexico,7,21.142857142857142,23,1.2469784843376883,1.380211241711606,-0.1261904761904762,0.10476190476190475
#okla,6,57.0,55.5,1.7155720679193036,1.7470772970092212,0.05659722222222222,0.25416666666666665
#findamelia,1,31.0,31,1.505149978319906,1.505149978319906,-0.25625,0.05
#in,12,31.25,21.5,1.3396812309087072,1.3494850021680094,-0.15746527777777777,0.05023148148148149
#oh,53,59.16981132075472,35,1.5729037297272568,1.5563025007672873,-0.13502358490566047,0.08736897274633117
#mn,48,37.458333333333336,27.5,1.4419457155754527,1.4547780146205875,-0.12413194444444446,0.11299189814814814
taken,16,19.5625,16.5,1.1980874718035393,1.2281830165645213,-0.090625,0.2857638888888889
#stlouis,7,46.285714285714285,45,1.6202263149627112,1.662757831681574,-0.05238095238095238,0.04484126984126984
#mo,33,51.696969696969695,29,1.5453194722131713,1.4771212547196624,-0.06297979797979798,0.1418097643097643
paige,14,30.785714285714285,24.5,1.3680758200400212,1.4064566783214278,-0.13663419913419914,0.06280663780663782
overby,2,26.0,26.0,1.423786329571056,1.423786329571056,-0.08333333333333334,0.04861111111111111
#mora,1,21.0,21,1.3424226808222062,1.3424226808222062,-0.06666666666666667,0.03888888888888889
click,9,39.333333333333336,11,1.0935809356744643,1.0791812460476249,-0.05972222222222223,0.2361111111111111
save,18,46.77777777777778,33.0,1.4222261039302966,1.5307262395435965,-0.08263888888888887,0.2125
#reillyscarbrough,1,94.0,94,1.9777236052888478,1.9777236052888478,-0.2,0.05
life,11,53.54545454545455,49,1.4890557276699488,1.6989700043360187,-0.13856749311294764,0.2584366391184573
#findreillyscarbrough,2,53.0,53.0,1.5458334787978423,1.5458334787978423,-0.25625,0.05
#mena,2,53.0,53.0,1.5458334787978423,1.5458334787978423,-0.25625,0.05
#arkansas,32,44.0625,34.5,1.4765130110249964,1.5491487682473488,-0.13146306818181824,0.08010574494949495
boy,65,38.246153846153845,23,1.3112065729993032,1.380211241711606,-0.15735897435897428,0.1645811965811967
sister/mom,1,94.0,94,1.9777236052888478,1.9777236052888478,-0.2,0.05
emergecny,1,12.0,12,1.1139433523068367,1.1139433523068367,-0.3125,0.05
#sooners,1,47.0,47,1.6812412373755872,1.6812412373755872,-0.2,0.05
mom,65,59.6,33,1.5102465346019243,1.5314789170422551,-0.10416880341880347,0.15900854700854702
area,40,21.475,21.5,1.2200826262564441,1.3520752584198994,-0.08554166666666671,0.1199861111111111
#ok,28,42.964285714285715,30.5,1.5876566268688135,1.4982558360770892,0.14358630952380952,0.2747420634920636
under,24,23.291666666666668,22.0,1.281295854120936,1.3617278360175928,-0.08335700757575758,0.16357849326599325
mysterious,4,40.25,30.5,1.5775666665036017,1.4969384574706055,-0.004687500000000001,0.3774305555555556
raping,14,38.5,35.0,1.4598727537067198,1.5563025007672873,0.05350765306122449,0.2312074829931973
elementary,2,19.0,19.0,1.3004864478433742,1.3004864478433742,0.35,0.8
student,57,79.6842105263158,40,1.550995109584533,1.6127838567197355,-0.15206804891015419,0.10937356016303375
#fl,51,36.431372549019606,29,1.4296148138677207,1.4771212547196624,-0.13506944444444444,0.10427559912854023
schroeder,1,17.0,17,1.255272505103306,1.255272505103306,0.0,0.06666666666666667
#tampa,6,50.5,33.0,1.6225156017998084,1.5312909921140816,-0.07777777777777779,0.08564814814814815
#florida,114,35.36842105263158,26.0,1.3980399390569844,1.4313637641589874,-0.14089801524012027,0.10631866914761667
march,41,22.634146341463413,25,1.2921564975075273,1.414973347970818,-0.10894308943089435,0.06714092140921404
#findme,1,15.0,15,1.2041199826559248,1.2041199826559248,-0.2,0.05
mary,3,13.0,15,1.075103093908621,1.2041199826559248,-0.13333333333333333,0.04444444444444445
elizabeth,22,24.227272727272727,20.0,1.2083581948327835,1.320240718485211,-0.09507575757575758,0.10101010101010098
beeson,1,15.0,15,1.2041199826559248,1.2041199826559248,-0.2,0.05
#benton,2,10.5,10.5,1.0246090113350907,1.0246090113350907,-0.1,0.025
#louisiana,24,25.041666666666668,18.0,1.1601632649352,1.2763341080560966,-0.11993371212121216,0.154040404040404
reported,29,20.586206896551722,22,1.2047076799041787,1.3617278360175928,-0.1594130964820621,0.10749912922326715
#indiana,39,53.46153846153846,40,1.5814224762016227,1.6127838567197355,-0.14273504273504278,0.07571225071225066
#newyork,35,50.2,27,1.469065004393179,1.4471580313422192,-0.12485714285714292,0.06984126984126982
#findmckenziewireman,1,13.0,13,1.146128035678238,1.146128035678238,-0.2,0.05
mckenzie,3,24.666666666666668,23,1.372467961472114,1.380211241711606,-0.08333333333333333,0.13518518518518516
wireman,1,13.0,13,1.146128035678238,1.146128035678238,-0.2,0.05
dead,20,41.45,27.0,1.419157131928153,1.4426806100157559,-0.13375000000000004,0.27291666666666664
body,22,18.681818181818183,15.5,1.0823242808444749,1.2156818820794937,-0.15378787878787878,0.3765151515151516
nearby,1,17.0,17,1.255272505103306,1.255272505103306,-0.21666666666666667,0.16666666666666666
authorities,23,13.391304347826088,13,1.029338846295393,1.146128035678238,-0.023108413325804624,0.1836689880168141
#virginia,75,45.413333333333334,28,1.3990770389758425,1.462397997898956,-0.16055555555555542,0.06335185185185176
#findtaitum,1,16.0,16,1.2304489213782739,1.2304489213782739,-0.1,0.058333333333333334
taitum,1,16.0,16,1.2304489213782739,1.2304489213782739,-0.1,0.058333333333333334
catherine,6,25.166666666666668,21.0,1.322170269049418,1.3383468048124332,-0.10625,0.04583333333333334
seay,1,16.0,16,1.2304489213782739,1.2304489213782739,-0.1,0.058333333333333334
#spotsylvania,2,25.5,25.5,1.3933757110727805,1.3933757110727805,-0.15000000000000002,0.05416666666666667
#va,49,51.63265306122449,35,1.5639084225955162,1.5563025007672873,-0.13812925170068033,0.07228458049886614
reward,62,36.62903225806452,27.0,1.3767745670947749,1.4471580313422192,-0.08460401829353445,0.1618236512591351
#bringpapawhome,6,25.166666666666668,18.0,1.3477644572747673,1.2689095475366372,-0.20416666666666664,0.041666666666666664
retired,7,24.142857142857142,18,1.3379057635144904,1.2787536009528289,-0.18928571428571428,0.04404761904761905
