Name,Count,avgRetweet,medianRetweet,avgLogRetweet,medianLogRetweet,avgPolarSenti,avgSubjSenti
kosher,2,162.0,162.0,2.195758653424724,2.195758653424724,0.3,0.45
dill,1,118.0,118,2.0755469613925306,2.0755469613925306,0.0,0.0
dude,1,118.0,118,2.0755469613925306,2.0755469613925306,0.0,0.0
emoji,12,1073.5833333333333,603.5,2.8761143461960668,2.780603182614918,0.18876488095238095,0.4337648809523809
serve,2,5193.0,5193.0,3.0435375576250348,3.0435375576250348,0.0,0.0
pregnancy,1,118.0,118,2.0755469613925306,2.0755469613925306,0.0,0.0
cravings,1,118.0,118,2.0755469613925306,2.0755469613925306,0.0,0.0
@andylassner,33,1012.1818181818181,702,2.832802135147843,2.846955325019824,0.30765173378809746,0.46509029690847875
big,64,864.625,371.5,2.690479974564346,2.5706997996492915,0.1261233428030303,0.2699460988230519
surprises,6,265.1666666666667,242.5,2.39959801035256,2.3864980499685204,0.40754419191919194,0.5859111952861953
pregnant,7,947.8571428571429,542,2.800599555376679,2.734799829588847,0.2634176587301587,0.45714285714285713
moms,5,275.0,240,2.414355907271599,2.3820170425748683,0.22754734848484848,0.43106060606060603
thankfully,1,205.0,205,2.3138672203691533,2.3138672203691533,0.16666666666666666,0.3
none,5,2957.2,384,2.9143498226024196,2.5854607295085006,0.10833333333333332,0.335
@amyschumer,9,475.44444444444446,303,2.6008905567172738,2.482873583608754,0.3244949494949495,0.5249999999999999
@goldiehawn,2,250.0,250.0,2.3992562665156756,2.3992562665156756,0.25,0.5625
told,59,1253.5593220338983,450,2.7479578061438072,2.6541765418779604,0.11681066109032211,0.36975291657495046
amy,2,382.0,382.0,2.5603659138826353,2.5603659138826353,0.75,1.0
met,23,981.6086956521739,503,2.7928999950935287,2.7024305364455254,0.3,0.5710144927536231
kurt,1,261.0,261,2.4183012913197452,2.4183012913197452,0.5,1.0
russell,1,261.0,261,2.4183012913197452,2.4183012913197452,0.5,1.0
seems,4,400.0,419.0,2.5875651143201543,2.6156277244079265,0.22380050505050506,0.5422979797979798
like,114,2082.745614035088,772.5,2.9285497340739197,2.88845296839556,0.2698802561960457,0.39167812470992297
wasn,4,1028.0,752.0,2.8638718530184426,2.8332440140892245,0.3375,0.58125
memorable,2,11257.0,11257.0,3.3828546875159997,3.3828546875159997,0.4083333333333333,0.8166666666666667
great,53,1565.2075471698113,552,2.8492879215655096,2.7427251313046983,0.6462677652536142,0.702807216368537
news,24,5080.625,950.5,3.120972178195455,2.9784039356396868,0.26082867364117357,0.4943060064935066
honor,17,999.1176470588235,681,2.8615835461595083,2.833784374656479,0.47766265597147956,0.5829768270944742
#mothersday,1,269.0,269,2.4313637641589874,2.4313637641589874,0.4458333333333333,0.65
app,19,288.05263157894734,220,2.4084400642177166,2.3443922736851106,0.3034966678058783,0.5911106680843524
ellen,51,774.3725490196078,391,2.695182418034915,2.593286067020457,0.21182430042724162,0.3745953937130408
@emojiexploji,1,269.0,269,2.4313637641589874,2.4313637641589874,0.4458333333333333,0.65
free,23,921.1304347826087,342,2.7388437275842716,2.5352941200427703,0.37784391534391526,0.6415809231026622
all,170,1989.4235294117648,694.0,2.9339695908040397,2.8419848045901137,0.31345694957275827,0.4266411736411736
weekend,28,977.4285714285714,406.0,2.777520426739787,2.605139189924567,0.23330676020408156,0.3830215419501134
long,24,2886.1666666666665,621.5,2.999813986840573,2.7752890472536165,0.15605444324194326,0.4825296115921116
got,99,1448.4040404040404,422,2.7586594913759246,2.6263403673750423,0.26058270748611656,0.39709927558412395
goodies,3,298.3333333333333,305,2.457802076161831,2.48572142648158,0.016493055555555552,0.16666666666666666
need,39,4311.025641025641,589,2.9159130384903733,2.7708520116421442,0.21888469169719174,0.4128113861447194
little,43,2017.046511627907,742,2.9497478500358283,2.8709888137605755,0.06080943362193362,0.5173461497589404
ones,10,3807.4,494.0,2.945880695531847,2.6945165583604624,0.36428774350649357,0.6233549783549784
