Name,Count,avgRetweet,medianRetweet,avgLogRetweet,medianLogRetweet,avgPolarSenti,avgSubjSenti
@spurs,4,5.5,5.0,0.7341284356197233,0.7781512503836436,0.325,0.225
many,4,26821.0,66.5,2.2610400899991716,1.5845431787435116,0.3375,0.5
retweets,3,35845.666666666664,381,2.8970735238182463,2.582063362911709,0.4000000000000001,0.7166666666666667
spurs,2,7.0,7.0,0.8406206186877936,0.8406206186877936,0.04999999999999999,0.45
warriors,2,6.0,6.0,0.6901056208558031,0.6901056208558031,0.25,0.25
tickets,1,11.0,11,1.0791812460476249,1.0791812460476249,0.5,0.5
#gospursgo,2,8.0,8.0,0.9286662482156343,0.9286662482156343,0.65,0.45
@nickrmckenzie,1,8.0,8,0.9542425094393249,0.9542425094393249,-0.22499999999999992,0.8333333333333333
@addmattcon,1,8.0,8,0.9542425094393249,0.9542425094393249,-0.22499999999999992,0.8333333333333333
@usatodayhss,1,8.0,8,0.9542425094393249,0.9542425094393249,-0.22499999999999992,0.8333333333333333
@bishopmanogue,1,8.0,8,0.9542425094393249,0.9542425094393249,-0.22499999999999992,0.8333333333333333
@hurdleprodigy,1,8.0,8,0.9542425094393249,0.9542425094393249,-0.22499999999999992,0.8333333333333333
know,16,1.4375,1.0,0.33404710673692145,0.3010299956639812,0.31093750000000003,0.7333333333333335
pretty,2,16.5,16.5,1.1846079287050715,1.1846079287050715,-0.2958333333333333,0.8416666666666666
bad,1,8.0,8,0.9542425094393249,0.9542425094393249,-0.22499999999999992,0.8333333333333333
just,5,55.0,4,0.994255169747621,0.6989700043360189,0.04500000000000002,0.3133333333333333
run,3,6.0,7,0.8197974959197437,0.9030899869919435,0.08095238095238098,0.5503968253968253
only,2,1249.5,1249.5,1.6989700043360187,1.6989700043360187,0.125,0.875
wanted,1,2499.0,2499,3.3979400086720375,3.3979400086720375,0.25,0.75
nuggets,11,10196.454545454546,302,2.4726646580173477,2.481442628502305,-0.10143939393939393,0.6412121212121212
now,4,1482.5,1253.0,2.1093424980492563,2.1505149978319906,0.08337053571428571,0.6200892857142857
most,1,2499.0,2499,3.3979400086720375,3.3979400086720375,0.25,0.75
retweeted,2,1257.0,1257.0,2.3010299956639813,2.3010299956639813,0.125,0.375
tweet,1,2499.0,2499,3.3979400086720375,3.3979400086720375,0.25,0.75
ever,3,843.0,30,1.6297672341687701,1.4913616938342726,0.09583333333333333,0.41250000000000003
@dolandark,1,18.0,18,1.2787536009528289,1.2787536009528289,0.4,1.0
@wendys,24,5105.416666666667,44.0,1.9004658934211653,1.6311068527382084,0.020063131313131314,0.32401830808080806
@dtfa,8,1219.0,541.5,2.2146953926070534,2.1532554028216913,-0.026442279237689388,0.5633049242424242
important,1,18.0,18,1.2787536009528289,1.2787536009528289,0.4,1.0
questions,1,18.0,18,1.2787536009528289,1.2787536009528289,0.4,1.0
guys,8,1038.875,433.5,2.191539777674981,2.429172334906062,0.12236328125,0.1390625
thanks,9,721.0,329,2.0145179677881604,2.5185139398778875,0.3700448495370371,0.24305555555555555
help,2,1793572.5,1793572.5,5.044307340769917,5.044307340769917,0.2453125,0.20625
support,5,1115.0,329,2.2934785940768285,2.5185139398778875,0.3178515625,0.1625
able,2,1718.0,1718.0,2.3691999939305033,2.3691999939305033,0.34531249999999997,0.39791666666666664
raise,1,3421.0,3421,3.5342800052050816,3.5342800052050816,0.490625,0.4125
beat,5,1175.2,259,2.230587764811561,2.4149733479708178,0.060625,0.20250000000000004
@theellenshow,20,956.25,256.0,2.2676703046497324,2.409903532295378,0.02865160392992424,0.28032196969696976
record,7,1173.142857142857,1065,2.6405080508806917,3.0277572046905536,-0.016857328869047616,0.3363095238095238
let,9,950.2222222222222,329,2.107638456857344,2.5185139398778875,0.10470558449074074,0.2074074074074074
get,16,543.125,16.0,1.6677897595590518,1.2296962438796153,0.21069578140500994,0.269890873015873
mil,3,1769.3333333333333,1803,2.9066451547084324,3.256236533205923,0.3263020833333333,0.2041666666666667
hey,10,239.1,36.5,1.692950814905527,1.4874859971490344,-0.1325,0.33999999999999997
sorry,4,384.75,217.5,1.720697368381264,1.619273943840664,-0.484375,0.95
can,9,242.22222222222223,14,1.4136514555615478,1.1760912590556813,-0.14039765211640212,0.3197751322751323
still,2,550.5,550.5,1.521090797257883,1.521090797257883,-0.25,0.5
keep,2,938.0,938.0,2.9660216578869774,2.9660216578869774,-0.25,0.5
underwear,1,1101.0,1101,3.042181594515766,3.042181594515766,-0.5,1.0
@gwr,1,5.0,5,0.7781512503836436,0.7781512503836436,-0.4,0.4
soon,3,374.0,5,1.2755310179780162,0.7781512503836436,0.033333333333333326,0.3
broken,1,5.0,5,0.7781512503836436,0.7781512503836436,-0.4,0.4
@drpepper,1,92.0,92,1.968482948553935,1.968482948553935,0.0,0.0
making,4,125.75,47.0,1.3395893767362301,1.2228021016367987,0.0375,0.2
hungry,2,175.5,175.5,2.1917281482623765,2.1917281482623765,0.0,0.0
nuggs,6,597327.1666666666,53.5,2.211252887341511,1.58630146560493,0.15555555555555559,0.41944444444444445
@shaq,1,6.0,6,0.8450980400142568,0.8450980400142568,0.5,0.5
eat,3,1536.6666666666667,30,1.9989502774169992,1.4913616938342726,0.2791666666666667,0.47361111111111115
shaq,1,6.0,6,0.8450980400142568,0.8450980400142568,0.5,0.5
hurting,1,6.0,6,0.8450980400142568,0.8450980400142568,0.5,0.5
throat,1,6.0,6,0.8450980400142568,0.8450980400142568,0.5,0.5
smh,2,3.0,3.0,0.4225490200071284,0.4225490200071284,0.25,0.25
less,2,534.0,534.0,1.814908598009258,1.814908598009258,-0.09875759548611104,0.2777777777777778
away,2,532.5,532.5,1.5138786023452768,1.5138786023452768,-0.15431315104166662,0.13333333333333333
spot,1,1065.0,1065,3.0277572046905536,3.0277572046905536,-0.5086263020833333,0.06666666666666667
donation,2,536.0,536.0,1.9654235958412487,1.9654235958412487,-0.2078845796130952,0.19226190476190474
#nuggsforcarter,16,590.5625,285.5,2.3419143070412245,2.452292862144352,0.144610595703125,0.3289930555555555
close,3,859.3333333333334,775,2.048699418154704,2.8898617212581885,0.3294270833333333,0.36296296296296293
spreading,1,775.0,775,2.8898617212581885,2.8898617212581885,0.0,0.0
word,2,1289.0,1289.0,3.0730491272320557,3.0730491272320557,0.244140625,0.1
tag,1,775.0,775,2.8898617212581885,2.8898617212581885,0.0,0.0
anyone,2,387.5,387.5,1.4449308606290943,1.4449308606290943,0.0,0.0
everyone,2,458.0,458.0,2.5210750328206224,2.5210750328206224,-0.10999999999999999,0.37249999999999994
#everybody,1,117.0,117,2.0718820073061255,2.0718820073061255,0.0,0.0
@blakei,1,1.0,1,0.3010299956639812,0.3010299956639812,0.7,0.6000000000000001
@sarahcolleenc,13,4.153846153846154,0,0.20146871774051867,0.0,0.07692307692307693,0.2587606837606838
@godaddy,1,1.0,1,0.3010299956639812,0.3010299956639812,0.7,0.6000000000000001
looking,2,2.0,2.0,0.45154499349597177,0.45154499349597177,0.09999999999999998,0.8
good,7,93.71428571428571,3,1.0671824757211403,0.6020599913279624,0.5089285714285714,0.6285714285714287
blake,1,1.0,1,0.3010299956639812,0.3010299956639812,0.7,0.6000000000000001
like,8,95.375,45.5,1.1906918371130464,1.1300356939925373,0.02447916666666667,0.44583333333333336
style,1,1.0,1,0.3010299956639812,0.3010299956639812,0.7,0.6000000000000001
gotten,1,381.0,381,2.582063362911709,2.582063362911709,0.6000000000000001,0.9
million,3,1108.6666666666667,381,2.586571758203321,2.582063362911709,0.20000000000000004,0.3
made,2,251.5,251.5,2.3359842371755537,2.3359842371755537,0.42500000000000004,0.575
exception,1,381.0,381,2.582063362911709,2.582063362911709,0.6000000000000001,0.9
prom,1,381.0,381,2.582063362911709,2.582063362911709,0.6000000000000001,0.9
amazing,2,343.5,343.5,2.5346008691944477,2.5346008691944477,0.5229166666666667,0.8583333333333334
@skrawlins,1,1.0,1,0.3010299956639812,0.3010299956639812,0.0,0.0
@kyliewornardt,1,1.0,1,0.3010299956639812,0.3010299956639812,0.0,0.0
bless,1,1.0,1,0.3010299956639812,0.3010299956639812,0.0,0.0
@billratchet,3,24.333333333333332,3,0.9726767789282934,0.6020599913279624,0.0,0.0
saut,1,68.0,68,1.8388490907372552,1.8388490907372552,0.0,0.0
xan,1,68.0,68,1.8388490907372552,1.8388490907372552,0.0,0.0
man,6,597299.8333333334,3.5,1.6157022937893315,0.6505149978319906,0.2935185185185185,0.32037037037037036
@ayyjqce,2,13.0,13.0,1.030348920176806,1.030348920176806,0.25,0.25
better,4,1149.0,11.0,1.255529733605015,0.6808639180087964,0.45,0.48333333333333334
@ijustine,1,15.0,15,1.2041199826559248,1.2041199826559248,0.0,0.0
