Name,Count,avgRetweet,medianRetweet,avgLogRetweet,medianLogRetweet,avgPolarSenti,avgSubjSenti
detective,1,4.0,4,0.6989700043360189,0.6989700043360189,-0.1,0.8
film,46,8.978260869565217,8.5,0.9286305053574893,0.9771212547196624,0.133264163372859,0.2967621870882741
swaps,2,4.5,4.5,0.7385606273598313,0.7385606273598313,-0.05,0.4
exposition,1,4.0,4,0.6989700043360189,0.6989700043360189,-0.1,0.8
backstory,1,4.0,4,0.6989700043360189,0.6989700043360189,-0.1,0.8
arbitrary,1,4.0,4,0.6989700043360189,0.6989700043360189,-0.1,0.8
sounds,5,4.6,5,0.7021090020413224,0.7781512503836436,0.07333333333333332,0.2533333333333333
curious,6,13.666666666666666,11.0,1.0886223848794252,1.065166884247503,0.05606060606060606,0.7840909090909092
ephemera,2,4.0,4.0,0.6989700043360189,0.6989700043360189,-0.05,0.4
meet,53,11.547169811320755,10,1.0175930961652133,1.0413926851582251,0.12723345312967954,0.43144204851752016
group,6,11.833333333333334,11.5,1.096132728695929,1.0965622991772308,0.04722222222222222,0.1361111111111111
skateboarders,1,13.0,13,1.146128035678238,1.146128035678238,0.0,0.0
serving,2,8.0,8.0,0.8740940135031001,0.8740940135031001,0.0,0.0
nutrition,1,13.0,13,1.146128035678238,1.146128035678238,0.0,0.0
education,10,13.3,13.0,1.1022867307876578,1.146128035678238,0.22909902597402598,0.33756222943722947
south,13,8.153846153846153,7,0.9121421702768688,0.9030899869919435,0.11421911421911421,0.15022824397824397
via,163,13.625766871165645,8,1.0092502769562113,0.9542425094393249,0.13005316088138175,0.33954548774334053
inside,25,8.24,7,0.8918142389850775,0.9030899869919435,0.1085959595959596,0.40117171717171723
@atmosgames,3,7.0,7,0.900810178815175,0.9030899869919435,0.7333333333333334,1.0
captivating,3,7.333333333333333,8,0.8484357054886079,0.9542425094393249,0.4666666666666666,0.8666666666666667
horrorfable,1,8.0,8,0.9542425094393249,0.9542425094393249,0.5,1.0
pinstripe,3,7.0,7,0.900810178815175,0.9030899869919435,0.7333333333333334,1.0
#linkswelike,123,14.227642276422765,9,1.0254058192638111,1.0,0.14151936026936032,0.32916307382770793
@washingtonpost,1,8.0,8,0.9542425094393249,0.9542425094393249,0.5,1.0
ending,69,10.08695652173913,8,0.9548074058403755,0.9542425094393249,0.11434819206558337,0.31088420436246517
soon,69,10.08695652173913,8,0.9548074058403755,0.9542425094393249,0.11434819206558337,0.31088420436246517
strips,2,8.5,8.5,0.7657394585211276,0.7657394585211276,0.0,0.0
romance,4,7.5,6.5,0.8159681692163059,0.8661968799114843,0.018308080808080808,0.19065656565656566
robots,11,9.0,8,0.8914047200738003,0.9542425094393249,0.22196969696969698,0.32727272727272727
twenties,3,6.333333333333333,2,0.6695333905873059,0.47712125471966244,0.022222222222222223,0.2111111111111111
comics,30,23.3,11.5,1.1898250291789583,1.0965622991772308,0.20685448810448812,0.42246767121767126
artist,32,8.84375,7.0,0.9087968614608622,0.9030899869919435,0.11528566919191917,0.30778093434343434
@jephjacques,3,6.333333333333333,2,0.6695333905873059,0.47712125471966244,0.022222222222222223,0.2111111111111111
essays,7,7.428571428571429,5,0.8918483957185116,0.7781512503836436,0.014285714285714287,0.1
working,16,11.5625,8.5,1.013329748406098,0.9771212547196624,0.1590029761904762,0.361228354978355
class,4,10.75,7.0,0.8138181262758265,0.8890756251918218,0.225,0.35625
written,3,9.333333333333334,6,0.9595072651670687,0.8450980400142568,0.0,0.09999999999999999
wrote,3,3.0,3,0.5927170834612147,0.6020599913279624,0.2333333333333333,0.7999999999999999
pans,1,3.0,3,0.6020599913279624,0.6020599913279624,0.1,0.4
embolden,1,3.0,3,0.6020599913279624,0.6020599913279624,0.1,0.4
young,14,14.571428571428571,14.0,1.1338094373852947,1.1721961368425553,0.1222454133168419,0.442962791177077
women,71,14.661971830985916,11,1.0924031114205368,1.0791812460476249,0.17168782899416704,0.27345220311769614
unapologetic,1,3.0,3,0.6020599913279624,0.6020599913279624,0.1,0.4
art,73,9.205479452054794,7,0.9210581846694659,0.9030899869919435,0.1393489691434897,0.29740852754551383
awareness,3,10.333333333333334,4,0.8996566681120063,0.6989700043360189,0.03333333333333333,0.13333333333333333
rebellion,1,3.0,3,0.6020599913279624,0.6020599913279624,0.1,0.4
makes,17,11.882352941176471,11,0.9691023512467396,1.0791812460476249,0.2075757575757576,0.4917557932263814
perfect,8,12.125,13.0,1.072773925507785,1.1450173056812591,0.625,0.6625
movie,2,10.0,10.0,0.9286662482156343,0.9286662482156343,0.5,0.5666666666666667
riff,1,17.0,17,1.255272505103306,1.255272505103306,1.0,1.0
@mstk,7,8.714285714285714,7,0.9065144445609612,0.9030899869919435,0.21926406926406924,0.3646103896103896
@joelghodgson,1,17.0,17,1.255272505103306,1.255272505103306,1.0,1.0
answer,2,11.0,11.0,1.0167118777434747,1.0167118777434747,0.5681818181818181,0.75
saturday,4,9.5,9.0,0.9330984399557422,0.93753063169585,0.375,0.4375
happening,23,6.0,6,0.800662724748677,0.8450980400142568,0.20042819499341236,0.3572244180939833
newsletter,9,6.888888888888889,6,0.8194330943904009,0.8450980400142568,0.16666666666666666,0.19166666666666668
sign,22,6.545454545454546,5.5,0.8180614742542338,0.8116246451989502,0.14001623376623376,0.183008658008658
bright,9,8.444444444444445,7,0.9067797810631697,0.9030899869919435,0.5720899470899472,0.7033068783068782
ideas,24,10.833333333333334,9.5,1.006037279230363,1.0206963425791127,0.18361216329966332,0.4037510521885522
building,11,12.727272727272727,9,1.0275301468860876,1.0,0.1485996326905418,0.22605601469237832
community,69,12.043478260869565,8,0.9636895982438738,0.9542425094393249,0.17206485141267752,0.3163775435514566
kickstarter,129,14.488372093023257,10,1.042338235634665,1.0413926851582251,0.2116758671991231,0.3888102369207018
seasoned,4,5.75,4.0,0.7508651330273766,0.690105620855803,0.03333333333333333,0.4805555555555555
food,29,8.862068965517242,7,0.8938560167078872,0.9030899869919435,0.029209583519928348,0.2602963128825198
