Name,Count,avgRetweet,medianRetweet,avgLogRetweet,medianLogRetweet,avgPolarSenti,avgSubjSenti
writing,7,2.2857142857142856,0,0.2748970408659831,0.0,0.38295454545454544,0.47889610389610393
book,41,1.9024390243902438,1,0.3171595651658101,0.3010299956639812,0.3396007447836715,0.48120417861271514
market,6,4.833333333333333,2.0,0.5272929206636593,0.47712125471966244,0.20092592592592587,0.48796296296296293
successfully,1,2.0,2,0.47712125471966244,0.47712125471966244,0.75,0.95
tips,21,4.428571428571429,4,0.6493246926494056,0.6989700043360189,0.19114357864357862,0.33522727272727276
bestselling,2,7.5,7.5,0.8116246451989502,0.8116246451989502,0.4590909090909091,0.6386363636363637
author,2,7.5,7.5,0.8116246451989502,0.8116246451989502,0.4590909090909091,0.6386363636363637
@ryanholiday,12,3.25,0.0,0.354303185037351,0.0,0.1931818181818182,0.35643939393939394
mac,5,2.4,2,0.3964542466079137,0.47712125471966244,0.05,0.05
gmail,6,3.5,2.5,0.48201576711508015,0.5395906230238124,0.09861111111111111,0.17500000000000002
optimize,6,1.1666666666666667,1.0,0.25938375012788123,0.23856062735983122,0.06439393939393939,0.11742424242424243
time,50,3.16,0.0,0.28526116637536447,0.0,0.16593929773929772,0.3136126503126503
@prestondmiller,2,0.0,0.0,0.0,0.0,0.25,0.5
email,159,2.0377358490566038,0,0.2479154177240335,0.0,0.26652769836732093,0.3587868804849934
noah,42,1.3095238095238095,0.0,0.21242833608080178,0.0,0.09695767195767195,0.25092592592592594
sumo,16,1.125,0.0,0.17077460998893554,0.0,0.084375,0.109375
holler,13,0.0,0,0.0,0.0,0.11153846153846152,0.20064102564102565
boss,20,0.05,0.0,0.01505149978319906,0.0,0.15541666666666665,0.1936111111111111
remarketing,1,1.0,1,0.3010299956639812,0.3010299956639812,1.0,0.3
best,81,1.8888888888888888,0,0.27225192004416526,0.0,0.8279969173487693,0.38278482491445465
online,19,1.5789473684210527,1,0.28881164270313026,0.3010299956639812,0.1854807473228526,0.3695222905749221
advertising,1,1.0,1,0.3010299956639812,0.3010299956639812,1.0,0.3
methods,1,1.0,1,0.3010299956639812,0.3010299956639812,1.0,0.3
seen,6,3.0,1.0,0.41475845275007406,0.3010299956639812,0.6,0.65
roi,3,3.6666666666666665,1,0.44747422694073546,0.3010299956639812,0.10000000000000005,0.3222222222222222
stepbystep,6,4.0,4.0,0.5795202091199437,0.6989700043360189,0.20000000000000004,0.2333333333333333
guide,24,3.2083333333333335,2.5,0.4988915845864729,0.5395906230238124,0.21319444444444444,0.41875
@davelocity,1,0.0,0,0.0,0.0,0.0,0.0
yes,35,0.4,0,0.06669867860431232,0.0,0.05301497113997115,0.10258297258297258
matters,3,4.0,4,0.673729766356646,0.6989700043360189,0.13095238095238096,0.1726190476190476
doesn,2,1.5,1.5,0.3890756251918218,0.3890756251918218,0.125,0.16666666666666666
getting,27,2.7777777777777777,2,0.42826753944393703,0.47712125471966244,0.015200617283950616,0.3232657260435039
press,6,1.6666666666666667,2.0,0.38907562519182187,0.47712125471966244,0.05833333333333333,0.5666666666666667
startup,19,4.7894736842105265,4,0.6963162571553115,0.6989700043360189,0.10263157894736842,0.387719298245614
@gillianim,1,2.0,2,0.47712125471966244,0.47712125471966244,0.0,0.0
@pubcastww,1,0.0,0,0.0,0.0,0.0,0.0
@ferrazzi,2,4.5,4.5,0.5,0.5,0.125,0.5
hell,27,0.07407407407407407,0,0.022298518197331942,0.0,0.06666666666666667,0.17170781893004114
yea,78,0.10256410256410256,0.0,0.027015512431382928,0.0,0.06656491656491655,0.2872083163749829
@nomadicmatt,2,0.0,0.0,0.0,0.0,0.3125,0.5
thx,43,0.023255813953488372,0,0.007000697573580958,0.0,0.08374833607391748,0.1754306632213609
brother,46,0.21739130434782608,0.0,0.05174372264590449,0.0,0.2375,0.3084541062801932
cause,6,0.16666666666666666,0.0,0.050171665943996864,0.0,0.1625,0.7416666666666667
ryan,3,0.6666666666666666,0,0.1590404182398875,0.0,0.375,0.6666666666666666
handsome,1,0.0,0,0.0,0.0,0.625,1.0
@chrisaljoudi,1,0.0,0,0.0,0.0,0.3333333333333333,0.5
hey,74,0.05405405405405406,0.0,0.016271891657512496,0.0,0.4156753344253345,0.35989625989625995
shot,12,0.0,0.0,0.0,0.0,0.28703703703703703,0.5074074074074074
quick,9,0.0,0,0.0,0.0,0.44135802469135793,0.5364197530864199
make,54,2.3333333333333335,0.0,0.289052807713037,0.0,0.14637612901501793,0.4004718703792777
@nickgraynews,9,0.0,0,0.0,0.0,0.09814814814814812,0.29814814814814816
@usiegj,1,0.0,0,0.0,0.0,0.5,0.8
already,8,5.125,0.5,0.4212910009724388,0.1505149978319906,0.22874053030303032,0.4636837121212122
coordinating,1,0.0,0,0.0,0.0,0.5,0.8
love,87,0.5172413793103449,0,0.09167048884887989,0.0,0.44627468237382023,0.5770627042178772
siegel,1,0.0,0,0.0,0.0,0.5,0.8
don,6,10.166666666666666,8.5,0.8930196115581208,0.9722413360750843,-0.2833333333333333,0.5333333333333333
like,65,1.7538461538461538,0,0.1843477851055719,0.0,0.09730047730047729,0.3646341479033788
change,18,3.888888888888889,1.5,0.44679329552684244,0.3890756251918218,0.08946759259259258,0.4170634920634921
