Name,Count,avgRetweet,medianRetweet,avgLogRetweet,medianLogRetweet,avgPolarSenti,avgSubjSenti
unique,10,44.5,45.5,1.6136455646124244,1.6600731430555271,0.38083333333333336,0.8474999999999999
love,103,111.2135922330097,61,1.8421202426205272,1.792391689498254,0.4373000958498532,0.5794445962164411
story,58,86.48275862068965,55.5,1.746828682895229,1.752031441339346,0.22516522988505744,0.4725718390804598
involves,1,14.0,14,1.1760912590556813,1.1760912590556813,0.4375,0.8
matchmaking,3,23.333333333333332,17,1.3444745851623165,1.255272505103306,0.4791666666666667,0.6666666666666666
penchant,1,17.0,17,1.255272505103306,1.255272505103306,0.5,0.6
meddling,1,17.0,17,1.255272505103306,1.255272505103306,0.5,0.6
earned,2,36.0,36.0,1.5017302660547531,1.5017302660547531,0.3,0.5
reputation,3,87.33333333333333,88,1.8011065329008804,1.9493900066449128,0.037037037037037035,0.4777777777777778
bit,9,57.22222222222222,47,1.6844955121894598,1.6812412373755872,0.3114583333333333,0.3990740740740741
cupid,3,25.333333333333332,22,1.3989279792459028,1.3617278360175928,0.39999999999999997,0.45
strikes,1,22.0,22,1.3617278360175928,1.3617278360175928,0.0,0.0
again,16,116.4375,65.0,1.7713323860460999,1.8194940796718408,0.2579940025252525,0.28911773989898987
just,60,162.56666666666666,118.0,1.974837203690837,2.0755469613925306,0.21491229256854258,0.37453884078884075
can,168,139.71428571428572,100.5,1.9684985696488633,2.00646077277228,0.1782994771982868,0.41934981905219987
help,55,156.45454545454547,80,1.8862611517489263,1.9084850188786497,0.2162009160872797,0.4123071625344352
position,1,22.0,22,1.3617278360175928,1.3617278360175928,0.0,0.0
bow,1,22.0,22,1.3617278360175928,1.3617278360175928,0.0,0.0
arrow,1,22.0,22,1.3617278360175928,1.3617278360175928,0.0,0.0
thrilled,10,22.7,18.0,1.046880396805781,1.190105620855803,0.511,0.602
@eharmony,1,29.0,29,1.4771212547196624,1.4771212547196624,0.8,0.725
data,1,29.0,29,1.4771212547196624,1.4771212547196624,0.8,0.725
shows,6,189.16666666666666,189.5,2.1764811055417046,2.273875049385545,0.3724747474747474,0.5281565656565657
always,56,171.83928571428572,87.5,1.8390160746914213,1.9468808810289717,0.34650426458462175,0.44190083230261806
hoped,1,29.0,29,1.4771212547196624,1.4771212547196624,0.8,0.725
great,195,127.6923076923077,73,1.8019083035324004,1.8692317197309762,0.6021120253203585,0.6497611462611462
matchmaker,1,29.0,29,1.4771212547196624,1.4771212547196624,0.8,0.725
loved,14,209.5,62.0,1.9002907699659326,1.7762732739778302,0.6081439393939395,0.7322059884559886
watching,10,70.7,58.0,1.801800854534655,1.7707896219732904,0.22145833333333337,0.31416666666666665
little,22,114.45454545454545,49.5,1.8451108450129816,1.7030997118316564,0.006939183501683496,0.5103565416065415
richard,13,64.61538461538461,57,1.7375916352102765,1.7634279935629373,0.20187645687645686,0.533006993006993
got,33,161.9090909090909,55,1.8808499168609873,1.7481880270062005,0.10508269928724473,0.35114532773623675
@waltdisneyworld,5,47.4,47,1.6755097377524648,1.6812412373755872,0.15916666666666668,0.44666666666666666
florida,4,137.5,127.0,1.9880968540626087,1.9996522861691743,0.3140625,0.35
@virginholidays,8,53.625,39.5,1.4242882700991113,1.6017883874889862,0.42909970238095235,0.6294642857142857
ireland,1,73.0,73,1.8692317197309762,1.8692317197309762,0.0,0.0
launch,7,63.0,63,1.7872592118672916,1.806179973983887,0.2571428571428572,0.30357142857142855
supervised,2,136.5,136.5,2.086213888575733,2.086213888575733,0.0625,0.08333333333333333
drug,18,102.16666666666667,91.5,1.9583398235854774,1.9658306198422406,-0.009667508417508418,0.31600168350168345
injection,5,100.0,73,1.951054978211456,1.8692317197309762,0.125,0.13333333333333333
sites,3,69.66666666666667,73,1.8445305314273723,1.8692317197309762,0.3194444444444444,0.38888888888888884
sensible,1,73.0,73,1.8692317197309762,1.8692317197309762,0.0,0.0
policy,12,89.25,80.5,1.8991027323613199,1.9093108631879445,-0.03333333333333333,0.15
looks,10,73.7,30.0,1.197816769166209,1.263169638694922,0.41715277777777776,0.5533333333333333
like,96,151.26041666666666,79.5,1.884227862058163,1.9057875029352966,0.17152182790203627,0.3259353204665704
part,23,85.6086956521739,55,1.7660195205326508,1.7481880270062005,0.29357809461070333,0.431677959721438
