ID,RetweetCt,Polarity,Subjectivity,CreatedTime,CreatedDay,TextLength,WordCt,AccountAgeMo,UserFollowersCt,Keywords,HasLinks
"""863022223178825728""",0,0.0,0.0,14:25,Fri,51,8,4,156,"['states', 'expanded', 'medicaid', 'doing']",True
"""863022209438187525""",0,0.1,0.4,10:25,Fri,82,10,82,617,"['aetna', 'completely', 'exits', 'obamacare', '#obamacare', '#aetna', '@cristinaalesci', 'via', '@youtube']",True
"""863022206430916610""",0,0.0,0.0,15:25,Fri,76,12,2,10,"['@tuckercarlson', '@foxnews', '#maga', '#trump', '#obamacare']",True
"""863022197794893825""",0,0.0,0.0,10:25,Fri,77,12,99,168,"['poll', 'just', 'percent', 'approve', 'house', 'obamacare', 'repeal', 'bill', 'via', '@politico']",True
"""863022168891904001""",0,0.0,0.0,14:24,Fri,115,21,5,34,"['rick', 'wilson', 'tells', 'like', 'repeal', 'affordable', 'care', 'act', 'will', 'hurt', 'trumpcare', 'means', 'west', 'virginia']",True
"""863022086163492864""",0,0.0,0.4,10:24,Fri,116,18,96,439,"['exit', 'delaware/nebraska', 'remaining', 'states', 'premium', 'rates', 'individual', 'insurance', 'market', 'went', 'year']",True
"""863022062109175808""",0,-0.1,0.0,07:24,Fri,91,13,37,46932,"['trump', 'administration', 'making', 'life', 'harder', 'obamacare', 'freeloaders', 'via', '@dcexaminer']",True
"""863022026726014977""",2,0.5,0.9,14:24,Fri,56,9,37,38914,"['aetna', 'latest', 'health', 'insurer', 'quit', 'obamacare', 'markets']",True
"""863022011400036352""",0,0.25,0.25,10:24,Fri,104,16,65,34,"['more', 'white', 'pro', 'people', 'censored', 'donald', 'trump', 'accuses', 'twitter', 'censorship', 'over', 'obamacare', 'tweet']",True
"""863021986456514564""",0,0.0,0.0,10:24,Fri,56,8,81,458,"['rand', 'paul', 'introduced', 'obamacare', 'repeal', 'alternative']",True
"""863021985781207040""",0,0.0,0.0,10:24,Fri,75,11,66,1367,"['death', 'spiral', 'aetna', 'exits', 'obamacare', 'exchanges', 'citing', 'million', 'losses']",True
"""863021979141496833""",0,0.0,0.0,14:24,Fri,68,10,100,9957,"['senate', 'task', 'force', 'considers', 'ways', 'unravel', 'obamacare', 'coverage', 'rules']",True
"""863021978021769217""",0,-0.5,1.0,09:24,Fri,111,17,98,352,"['faced', 'angry', 'voters', 'house', 'republicans', 'get', 'cover', 'airwaves', 'obamacare', 'repeal', 'bill', 'via', '@melissaquinn']",True
"""863021790213402624""",0,0.0,0.0,14:23,Fri,87,13,92,128,"['death', 'spiral', 'aetna', 'exits', 'obamacare', 'exchanges', 'citing', 'million', 'losses', 'breitbart']",True
"""863021693295525890""",0,0.55,0.7,14:23,Fri,74,11,5,110,"['aetna', 'completely', 'pull', 'out', 'obamacare', 'exchanges', 'excellent', 'interview']",True
"""863021658285715460""",0,0.0,0.0,10:22,Fri,116,19,84,146,"['aetna', 'says', 'sayonara', 'obamacare', 'exchanges', 'lose', 'another', 'insurer', 'democrats', 'will', 'admit', 'via', '@wsjopin']",True
"""863021478899589120""",0,0.0,0.0,07:22,Fri,89,13,2,220,"['republicans', 'already', 'vulnerable', 'now', 'just', 'voted', 'repeal', 'obamacare']",True
"""863021471131725824""",0,0.03125,0.5625,14:22,Fri,125,19,48,221,"['major', 'insurance', 'company', 'aetna', 'decided', 'entirely', 'withdraw', 'all', 'obamacare', 'health', 'exchanges']",False
"""863021452026458112""",0,0.0,0.0,14:22,Fri,85,14,4,48,"['hey', '@speakerryan', 'cancel', 'affordable', 'care', 'act', 'yet', '#obamacare', '#trump', '#maga']",True
"""863021447329050627""",0,0.0,0.0,10:22,Fri,67,10,78,793,"['tax', 'credits', 'provide', 'rallying', 'point', 'senate', '#obamacare', 'repeal']",True
"""863021423689945088""",0,0.0,0.0,09:21,Fri,88,10,98,352,"['aetna', 'withdrawal', 'exchanges', 'highlights', 'obamacare', 'inherent', 'problems', '@dailysignal']",True
"""863021382308724736""",0,0.0,0.0,08:21,Fri,52,8,103,69,"['trump', 'threatens', 'stop', 'obamacare', 'payments', 'thehill']",True
"""863021334271594496""",1,0.0,0.06666666666666667,14:21,Fri,112,20,21,2300,"['check', 'out', 'post', 'health', 'care', 'reform', 'vibe', 'aetna', 'drops', 'last', 'state', 'markets', 'under', 'affordable', 'act']",True
"""863021200532008960""",0,0.375,1.0,14:21,Fri,112,17,4,70,"['hey', '@seanspicer', 'pantone', 'colour', 'code', 'trumps', 'unique', 'shade', 'orange', '#spicerfacts', '#maga', '#obamacare']",True
"""863021189236748291""",0,0.0,0.0,07:21,Fri,67,12,92,916,"['facts', 'matter', 'causes', 'affordable', 'care', 'act', 'troubles', 'axios']",True
"""863021149713715200""",0,0.0,0.1,07:20,Fri,46,9,50,1571,"['fix', 'obamacare', 'human', 'events']",True
"""863021002426658816""",0,0.0,0.0,09:20,Fri,81,13,39,710,"['tax', 'credits', 'provide', 'rallying', 'point', 'senate', 'obamacare', 'repeal', 'via', '@politico']",True
"""863020956477829121""",0,0.0,0.0,09:20,Fri,43,7,95,481,"['icymi', 'aetna', 'obamacare', 'outta']",True
"""863020953181323264""",0,0.0,0.0,14:20,Fri,71,11,4,51,"['@potus', 'passed', 'kates', 'law', 'yet', '#daypromises', '#obamacare', '#maga']",True
"""863020917278089216""",0,0.1,0.4,09:19,Fri,76,13,92,1477,"['health', 'insurance', 'company', 'aetna', 'decided', 'completely', 'pull', 'out']",True
"""863020599341441025""",0,0.0,0.05,09:18,Fri,115,18,92,4308,"['donald', 'trump', 'accuses', 'twitter', 'censorship', 'over', 'obamacare', 'tweet', 'just', 'pinned', 'domestic', 'global', 'news', 'twi']",True
"""863020593440051200""",0,0.0,0.05,09:18,Fri,115,18,92,4308,"['donald', 'trump', 'accuses', 'twitter', 'censorship', 'over', 'obamacare', 'tweet', 'just', 'pinned', 'domestic', 'global', 'news', 'twi']",True
"""863020587828097025""",0,0.0,0.0,09:18,Fri,115,17,92,4308,"['donald', 'trump', 'accuses', 'twitter', 'censorship', 'over', 'obamacare', 'tweet', 'censorsh']",True
"""863020563819835393""",0,-0.08333333333333333,0.65,14:18,Fri,91,14,24,613,"['house', 'repeal', 'obamacare', 'hands', 'health', 'care', 'hot', 'potato', 'wary', 'senate', 'related', 'articles']",True
"""863020438959640576""",3,0.0,0.0,07:18,Fri,94,15,59,57796,"['way', '#obamacare', 'aetna', 'dumps', 'exchanges', '#healthcare', 'dying', 'america', '#tcot', '#tlot']",True
"""863020382663708672""",0,0.5,0.9,10:17,Fri,69,10,72,2268,"['voters', 'think', '@realdonaldtrump', 'latest', 'obamacare', 'repeal', 'plan']",True
"""863020231308062720""",0,0.0,0.0,10:17,Fri,101,17,97,2013,"['wasn', 'insurance', 'wouldn', 'obamacare', 'end', 'worsen', 'opioid', 'crisis']",True
"""863020077360304128""",0,0.0,0.0,07:16,Fri,85,14,89,18735,"['tax', 'credits', 'provide', 'rallying', 'point', 'senate', 'obamacare', 'repeal', '#tax', '#taxes', '#irs']",True
"""863020004081631232""",0,0.0,0.0,10:16,Fri,115,17,55,3926,"['diamondandsilk', 'media', 'distracting', 'russia', 'obamacare', 'turning', 'americans', 'care']",True
"""863019986645786624""",0,-0.15,0.575,07:16,Fri,74,12,94,8260,"['least', 'obamacare', 'repeal/replace', 'tax', 'reform', 'totally', 'track']",False
"""863019965347012608""",0,0.875,0.6000000000000001,14:16,Fri,58,9,40,86,"['health', 'care', 'coverage', 'access', 'makes', 'good', 'business', 'sense']",True
"""863019949371076611""",1,0.0,0.0,07:16,Fri,52,9,73,3853,"['gop', 'senator', 'let', 'work', 'dems', 'fix', 'obamacare']",True
"""863019947387215872""",0,-0.1,0.2,14:16,Fri,34,4,25,331,"['regrets', 'over', 'repealing', 'obamacare']",True
"""863019858954506241""",0,0.4,0.9,10:15,Fri,114,18,79,1480,"['can', '#ahca', 'help', '#obamacare', 'crushing', 'cost', 'families', 'percent', 'price', 'hike', 'since', 'premiums']",True
"""863019850653990913""",0,0.0,0.0,14:15,Fri,65,11,18,1583,"['#breaking', 'byebye', 'aetna', 'obamacare', 'getting', 'out']",True
"""863019767799713792""",0,-0.15000000000000002,0.8,10:15,Fri,129,17,60,306,"['seems', '@realdonaldtrump', 'presidency', 'far', 'worse', 'death', 'spiral', 'obamacare', '#comeyfiring', '#trumprussiainvestigation']",False
"""863019755342512129""",0,0.13636363636363635,0.45454545454545453,14:15,Fri,86,12,36,24,"['new', 'blog', 'post', 'understanding', 'affordable', 'care', 'act', 'valuebased', 'purchasing', 'program']",True
"""863019747386032129""",4,0.0,0.1,14:15,Fri,116,23,55,51779,"['trump', 'admits', 'repealing', '#obamacare', 'will', 'use', 'billions', 'health', 'care', 'cuts', 'pay', 'big', 'tax', 'cut']",True
"""863019738309419009""",0,-0.2,0.0,14:15,Fri,108,15,36,238,"['biggest', 'roadblocks', 'prevent', 'senate', 'republicans', 'destroying', 'obamacare', '@alternet']",True
"""863019688330186752""",2,0.0,0.0,10:15,Fri,94,15,65,48533,"['way', '#obamacare', 'aetna', 'dumps', 'exchanges', '#healthcare', 'dying', 'america', '#tcot', '#tlot']",True
"""863019636635447296""",0,0.0,0.0,14:14,Fri,84,13,15,5854,"['donald', 'trump', 'accuses', 'twitter', 'censorship', 'over', 'obamacare', 'tweet', 'via', '@mashable']",True
"""863019622601240577""",0,0.0,0.0,10:14,Fri,30,5,99,7069,"['doomcare', 'ted', 'rall', 'rallblog']",True
"""863019593735995393""",0,0.35,0.55,10:14,Fri,89,14,93,2686,"['amnesty', 'still', 'effect', 'wall', 'spending', 'cuts', 'obamacare', 'regulations', 'full']",False
"""863019591768752128""",0,0.0,0.0,07:14,Fri,91,15,107,8390,"['#hdtalk', 'byebye', 'aetna', 'obamacare', 'getting', 'out', '#amupdate', '#politics', '#trump']",True
"""863019590372249601""",2,0.0,0.0,09:14,Fri,87,13,95,95292,"['death', 'spiral', 'aetna', 'exits', 'obamacare', 'exchanges', 'citing', 'million', 'losses', 'breitbart']",True
"""863019580494561280""",0,0.0,0.0,14:14,Fri,72,11,25,73,"['kaiser', 'permanente', 'chief', 'pledges', 'remain', 'affordable', 'care', 'act', 'markets']",True
"""863019457131683842""",0,0.0,0.0,10:14,Fri,60,10,78,127,"['gop', 'rep', 'rod', 'blum', 'healthcare', 'bill', 'just', 'obamacare', 'tweak']",True
"""863019454489391104""",0,0.0,0.0,17:14,Fri,80,12,59,1136,"['trump', 'can', 'end', 'obamacare', 'health', 'insurer', 'subsidies', 'anytime', 'want', '#restaurant']",True
"""863019382540296193""",0,0.0,0.0,09:13,Fri,106,19,95,203,"['dswtf', 'doing', 'trusting', 'trump', 'read', 'scorpion', 'frog']",True
"""863019370859171840""",0,0.0,0.75,10:13,Fri,115,21,91,109,"['another', 'sycotic', 'democrat', 'must', 'stopped', 'lifetime', 'total', 'disgrace', 'party', 'dead']",True
"""863019369626034176""",0,0.0,0.0,14:13,Fri,72,10,46,674,"['aetna', 'pulling', 'out', 'delaware', 'obamacare', 'marketplace', 'via', '@delawareonline']",True
"""863019358708273154""",0,0.024999999999999994,0.7,07:13,Fri,69,13,3,17,"['funny', 'affordable', 'care', 'act', 'obamacare', 'dead', 'get']",False
"""863019237350264833""",0,0.05,0.7,10:13,Fri,81,11,84,2302,"['aetna', 'completely', 'exits', 'obamacare', 'exchanges', 'cites', 'massive', 'losses', 'via', '@dcexaminer']",True
"""863019233155960832""",0,0.0,0.0,09:13,Fri,115,17,99,59688,"['diamondandsilk', 'media', 'distracting', 'russia', 'obamacare', 'turning', 'americans', 'care']",True
"""863019230387720194""",1,0.0,0.0,14:13,Fri,84,13,59,4398,"['donald', 'trump', 'accuses', 'twitter', 'censorship', 'over', 'obamacare', 'tweet', 'via', '@mashable']",True
"""863019093976272896""",0,0.0,0.0,08:12,Fri,59,9,97,1440,"['housepassed', 'bill', 'obamacare', 'trumpcare', 'via', '@newsmax']",True
"""863019055221010433""",5,0.0,0.0,08:12,Fri,84,13,68,83583,"['donald', 'trump', 'accuses', 'twitter', 'censorship', 'over', 'obamacare', 'tweet', 'via', '@mashable']",True
"""863019042692411392""",0,0.0,0.7,07:12,Fri,92,15,99,331,"['heartless', '#republican', 'just', 'lost', 'claim', 'moderate', 'moran', '#obamacare']",True
"""863018989626081281""",0,0.0,0.0,14:12,Fri,72,11,84,1328,"['death', 'spiral', 'aetna', 'exits', 'obamacare', 'exchanges', 'citing', 'million', 'losses']",True
"""863018962157617152""",0,0.0,0.0,09:12,Fri,43,7,99,15937,"['icymi', 'aetna', 'obamacare', 'outta']",True
"""863018930142552065""",1,0.125,0.4,07:12,Fri,53,7,11,5809,"['#aetna', 'completely', 'pulls', 'out', '#obamacare', 'exchanges']",True
"""863018801624907777""",140,0.0,0.0,10:11,Fri,99,16,29,303208,"['media', 'distracting', 'russia', 'obamacare', 'turning', 'americans', 'care']",True
"""863018641092161536""",0,-0.2943452380952381,0.5523809523809524,14:10,Fri,117,18,31,2077,"['hey', 'shit', 'head', '@senschumer', '&amp', 'just', 'plain', 'dumb', 'ass', '@nancypelosi', '#obamacare', 'working', '@senategop']",True
"""863018558233726976""",1,0.0,0.0,07:10,Fri,58,10,93,194082,"['fastest', 'way', 'lose', 'congress', 'repealing', 'obamacare']",True
"""863018474658045952""",0,0.0,0.0,10:10,Fri,51,9,69,739,"['aetna', 'obamacare', 'outta', 'via', '@cnnmoney']",True
"""863018433214009344""",0,0.0,0.0,14:10,Fri,84,13,42,213,"['donald', 'trump', 'accuses', 'twitter', 'censorship', 'over', 'obamacare', 'tweet', 'via', '@mashable']",True
"""863018297872326656""",1,0.2,0.6,14:09,Fri,116,20,4,1035,"['want', 'focus', 'rather', 'obama', 'clinton', 'holder', 'loretta', 'lynch', 'huma', 'podesta', 'pizzagate', 'fast', 'furio']",True
"""863018113100644352""",0,0.0,0.0,14:08,Fri,103,18,65,875,"['will', 'press', 'ever', 'ask', 'obama', 'aetna', 'withdrawing', 'all', 'obamacare', 'exchanges', 'guess', '#tcot']",False
