ID,RetweetCt,Polarity,Subjectivity,CreatedTime,CreatedDay,TextLength,WordCt,AccountAgeMo,UserFollowersCt,Keywords,HasLinks
"""862812104298037249""",22,0.008333333333333331,0.6416666666666666,17:30,Thu,106,16,105,1438666,"['detained', 'activists', 'behind', 'petition', 'fighting', 'protect', 'gay', 'men', '#chechnya', 'ask', 'signers', 'support']",True
"""862804557763674113""",25,0.02500000000000001,0.25,17:00,Thu,116,17,105,1438666,"['russian', 'police', 'detained', 'activists', 'delivering', 'signatures', 'prosecutor', 'general', 'moscow', '#chechnya']",True
"""862795718431473666""",7,0.0,0.0,16:25,Thu,117,17,105,1438666,"['terrance', 'calling', '@bcupreseoj', 'resign', 'after', 'inviting', '@betsydevos', 'speak', '#bcu', 'graduation', '#stopdevosbcu']",True
"""862760532822163464""",5,0.0,0.0,14:05,Thu,98,20,105,1438666,"['blake', 'explains', 'title', 'net', 'neutrality', 'affect']",True
"""862744439634178048""",6,0.0,0.0,13:01,Thu,116,17,105,1438666,"['louisiana', 'residents', 'calling', 'removal', 'confederateera', 'monuments', 'others', 'seek', 'preserve']",True
"""862736697976553474""",12,0.0,0.0,12:30,Thu,116,18,105,1438666,"['think', 'commission', 'needed', 'investigate', 'electoral', 'interference', 'can', 'sign', 'petition', '#comeyfiring']",True
"""862719006062632960""",20,0.11904761904761905,0.2238095238095238,11:20,Thu,115,16,105,1438666,"['jill', 'calling', 'special', 'prosecutor', 'investigate', 'russian', 'involvement', 'election', 'following', '#comeyfiring']",True
"""862420757267218432""",8,0.0,0.0,15:35,Wed,102,12,105,1438666,"['morning', 'students', '&amp', 'residents', 'protested', '@betsydevos', 'commencement', 'speech', '#bcu', 'graduation']",True
"""862411994493853696""",52,0.35714285714285715,0.5714285714285714,15:00,Wed,117,15,105,1438666,"['molly', 'urging', '@agschneiderman', 'appoint', '@preetbharara', 'special', 'prosecutor', 'russia', 'investigation', '#comeyfiring']",True
"""862401880214958082""",26,0.0,0.0,14:20,Wed,81,14,105,1438666,"['can', 'join', 'thousands', 'ppl', 'demand', 'gover', 'investigations', 'russia']",True
"""862384899579191296""",2,0.0,0.0,13:12,Wed,106,11,105,1438666,"['@cnnvalencia', '@bethunecookman', 'dominik', 'petition', 'acquired', 'over', 'signatures', 'across', 'multiple', 'platforms']",True
"""862383014927532032""",30,0.0,0.1,13:05,Wed,115,17,105,1438666,"['@potus', 'retained', 'lawyer', 'handle', 'russia', 'probe', 'following', 'allegations', 'business', 'involvement']",True
"""862367946382999557""",5,0.0,0.0,12:05,Wed,115,18,105,1438666,"['petitions', 'calling', 'head', 'gear', 'rule', 'change', 'gained', 'support', 'thousands', 'resulting', '@fiba', 'changing']",True
"""862356624383627264""",15,0.4166666666666667,0.5833333333333334,11:20,Wed,115,19,105,1438666,"['chechen', 'officials', 'still', 'deny', 'gay', 'people', 'even', 'exist', 'republic', 'amid', 'reports', 'arrests', 'torture', '#chechnya']",True
"""862064697536897024""",6,0.16,0.5399999999999999,16:00,Tue,110,18,105,1438666,"['texas', 'signed', 'law', 'high', 'school', 'students', 'jassary', '&amp', 'chris', 'fear', 'parents', 'deported']",True
"""862040762061656069""",29,0.0,0.0,14:25,Tue,114,15,105,1438666,"['#bcu', 'graduating', 'seniors', 'honor', 'legacy', 'school', 'founder', '#nationalteachersday', 'opposing', '@betsydevos']",True
"""862034691251163136""",23,0.0,0.0,14:01,Tue,114,18,105,1438666,"['woman', 'tennessee', 'fined', 'practicing', 'african', 'hair', 'braiding', 'without', 'license', 'fighting', 'back']",True
"""861990465763246084""",22,0.0,0.0,11:05,Tue,121,17,105,1438666,"['graduating', '&amp', '@betsydevos', 'commencement', 'speaker', 'skip', 'graduation', 'jennifer', 'evans', '#stopdevosbcu']",True
"""861703525272891400""",7,0.0,0.0,16:05,Mon,116,17,105,1438666,"['@betsydevos', 'invitation', '#bcu', 'graduation', 'causing', 'ppl', 'take', 'sides', 'read', 'students', 'support', 'visit']",True
"""861683395172106240""",4,0.0,0.0,14:45,Mon,114,16,105,1438666,"['former', '@bcu_sga', 'leaders', 'authored', 'letter', '@bcupreseoj', '#stopdevos', 'speaking', 'graduation', '#stopdevosbcu']",True
"""861656603434651648""",15,0.0,0.0,12:58,Mon,98,15,105,1438666,"['@repzoelofgren', 'just', 'responded', 'nancy', 'petition', 'calling', '@potus', 'release', 'tax', 'returns']",True
"""861265686382997505""",31,0.0,0.0,11:05,Sun,105,14,105,1438666,"['students', 'petitioning', 'bcu', '#stopdevos', 'speaking', 'graduation', 'commencement', 'wednesday']",True
"""860908278720716800""",5,0.2,0.2,11:25,Sat,110,16,105,1438666,"['thanks', 'blair', 'transgender', 'youth', 'across', 'can', 'see', '@generationsmov', 'opening', 'weekend', '#generations']",True
"""860670463374241792""",6,0.2,0.2,19:40,Fri,110,16,105,1438666,"['@generationsmov', 'released', 'today', 'thanks', 'blair', 'trans', 'youth', 'across', 'nation', 'can', 'see', '#generations']",True
"""860618877851643907""",13,0.0,0.0,16:15,Fri,113,19,105,1438666,"['congress', 'just', 'saved', 'health', 'care', 'retired', 'coal', 'miners', 'signed', 'john', 'petition', 'help', 'make', 'happen']",True
"""860218745482039297""",9,0.0,0.25,13:45,Thu,116,17,105,1438666,"['@fiba', 'approved', 'rule', 'change', 'permanently', 'give', 'players', 'ability', 'wear', 'religious', 'headwear', 'competition']",True
"""860187285261778944""",12,0.11363636363636363,0.7727272727272727,11:40,Thu,113,19,105,1438666,"['@fiba', 'making', 'final', 'decision', 'approve', 'hijab', 'shows', '[have]', 'taken', 'positive', 'step', 'inclusivity']",True
"""860178563709927425""",8,0.0,0.06666666666666667,11:05,Thu,90,17,105,1438666,"['last', 'week', 'petition', 'starter', 'jassary', 'stopped', 'office', 'talk', 'texas', '#sb']",True
"""859941388493889536""",10,0.0,0.0,19:22,Wed,116,20,105,1438666,"['number', 'hours', '@fiba', 'will', 'determine', 'whether', 'women', 'can', 'wear', 'headcoverings', 'basketball', 'weig']",True
"""859916755296190468""",26,0.0,0.0,17:45,Wed,91,13,105,1438666,"['people', 'petitioned', 'release', 'journalist', 'jason', 'rezaian', 'iranian', 'custody']",True
"""859861027432742912""",14,0.0,0.0,14:03,Wed,113,18,105,1438666,"['think', '@fiba', 'allow', 'women', 'wear', 'headcoverings', 'basketball', 'will', 'convene', 'tomorrow', 'decide']",True
"""859815167118516226""",8,0.0,1.0,11:01,Wed,117,17,105,1438666,"['women', 'petitioning', 'allow', 'headcoverings', 'basketball', 'tomorrow', '@fiba', 'makes', 'final', 'decision', '#fibaallowhijab']",True
"""859520487340355584""",19,0.0,0.0,15:30,Tue,120,16,105,1438666,"['yesterday', 'immigrants', 'workers', '&amp', 'allies', 'across', 'took', 'streets', 'recognition', '#internationalworkersday']",True
"""859515366476853248""",16,0.2,0.475,15:10,Tue,116,17,105,1438666,"['light', '#equalityact', 'niko', 'petitioning', '@starbucks', 'give', 'equal', 'parental', 'leave', 'benefits', 'lgbtq', 'employees']",True
"""859483913995026433""",31,0.0,0.0,13:05,Tue,92,15,105,1438666,"['@jimmykimmel', 'experience', 'health', 'care', 'mirrors', 'users', 'across', '#jimmykimmel']",True
"""859475205839699968""",12,0.0,0.0,12:30,Tue,119,18,105,1438666,"['petition', 'hijabs', 'permitted', 'basketball', 'gained', 'signatures', '&lt', 'counting', '#fibaallowhjiab']",True
"""859473626684211200""",38,0.05,0.4,12:24,Tue,89,13,105,1438666,"['results', 'think', 'ethical', 'mental', 'health', 'professionals', 'diagnose', '@potus']",True
"""859466638814355456""",10,0.025,0.4666666666666667,11:56,Tue,115,20,105,1438666,"['now', 'last', 'chance', 'vote', 'ethical', 'mental', 'health', 'professionals', 'diagnose', '@potus', 'only', 'minutes']",True
"""859460015274549248""",14,0.0,0.0,11:30,Tue,119,16,105,1438666,"['@bethunecookman', 'students', '&amp', 'alums', 'want', 'stop', 'education', 'secretary', '@betsydevos', 'speaking', 'graduation']",True
"""859455011977342977""",14,0.0,0.0,11:10,Tue,114,20,105,1438666,"['yesterday', 'nancy', 'sent', 'out', 'reminder', 'supporters', 'fight', '@potus', 'tax', 'returns', 'over']",True
"""859441630318698496""",15,0.025,0.45,10:17,Tue,107,18,105,1438666,"['only', 'hours', 'left', 'vote', 'think', 'ethical', 'mental', 'health', 'professionals', 'diagnose', '@potus']",True
"""859155486037471232""",81,0.0,0.0,15:20,Mon,93,12,105,1438666,"['trump', 'just', 'ended', '#letgirlslearn', '@michelleobama', 'global', 'initiative', 'supported', 'users']",True
"""859136611828760576""",7,0.75,0.95,14:05,Mon,114,17,105,1438666,"['joshua', 'successfully', 'petitioned', '@repandybarr', 'host', 'town', 'hall', 'still', 'seeking', 'commit', 'accessibility']",True
"""859109260558454785""",28,0.05,0.4,12:16,Mon,105,13,105,1438666,"['think', 'ethical', 'mental', 'health', 'professionals', 'diagnose', '@potus', '#mentalhealthawarenessmonth']",True
"""859090348576034817""",10,0.5,0.7,11:01,Mon,117,20,105,1438666,"['can', 'learn', 'more', 'sanctuary', 'status', 'affects', 'labor', 'prospects', 'immigrants', 'latest', 'blog', 'post', '#mayday']",True
"""858758080636604416""",30,-0.3,0.5,13:00,Sun,104,17,105,1438666,"['petitions', 'trying', 'pass', 'common', 'sense', 'laws', 'rape', 'survivors', 'under', '@risenowus', 'movement', '#saam']",True
"""858732769094062080""",25,0.0,0.0,11:20,Sun,117,21,105,1438666,"['ago', 'lili', 'bernard', 'started', 'petition', 'eliminate', 'time', 'limit', 'rape', 'prosecution', 'california', 'won', '#saam']",True
"""858479106664480768""",18,0.0,0.5,18:32,Sat,113,18,105,1438666,"['believe', '@potus', 'done', 'enough', 'address', 'healthcare', '#firstdays', 'can', 'still', 'take', 'action']",True
"""858443517428867072""",8,0.0,0.5,16:10,Sat,99,18,105,1438666,"['only', 'hour', 'left', 'vote', '@potus', 'enough', 'address', 'health', 'care', '#firstdays']",True
"""858433030964224000""",14,0.25,0.5,15:29,Sat,123,22,105,1438666,"['voted', 'health', 'care', 'issue', 'cared', 'most', '@potus', '#firstdays', 'trump', 'enough', 'address']",False
