ID,RetweetCt,Polarity,Subjectivity,CreatedTime,CreatedDay,TextLength,WordCt,AccountAgeMo,UserFollowersCt,Keywords,HasLinks
"""863023470115991552""",5,-0.2916666666666667,0.5416666666666666,10:30,Fri,83,13,122,1694523,"['trump', 'tells', 'lester', 'holt', 'fighting', 'hard', 'legitimacy', 'divided', 'country']",True
"""863015951159238656""",143,0.0,0.0,10:00,Fri,67,11,122,1694523,"['maddow', 'exclusive', 'doj', 'say', 'sessions', 'recused', 'manafort']",True
"""863013865281306624""",200,0.0,0.0,09:51,Fri,94,19,122,1694523,"['ari', 'melber', 'just', 'press', 'problem', 'gov', 'lying', 'comey', 'fired']",True
"""862985852649123841""",42,-0.1,0.4,08:00,Fri,40,7,122,1694523,"['rough', 'welcomes', 'gop', 'rep', 'betsy', 'devos']",True
"""862867204500582400""",178,0.0,0.0,00:09,Fri,47,9,122,1694523,"['nyt', 'trump', 'asked', 'comey', 'pledge', 'loyalty']",True
"""862851754664308736""",101,0.0,0.07692307692307693,23:07,Thu,41,7,122,1694523,"['carter', 'page', 'regularly', 'briefed', 'cia', 'fbi']",True
"""862836261983100928""",244,0.0,0.07692307692307693,22:06,Thu,100,16,122,1694523,"['extrump', 'advisor', 'carter', 'paige', 'tells', '@chrislhayes', 'regularly', 'briefed', 'cia', 'fbi', 'russia']",True
"""862833521462841345""",197,0.0,0.0,21:55,Thu,44,6,122,1694523,"['chris', 'matthews', 'trump', 'trashed', 'everyone']",True
"""862817127249694720""",96,0.5,0.5,20:50,Thu,116,19,122,1694523,"['pres', 'trump', 'discussed', 'comey', 'russia', 'more', 'exclusive', 'interview', 'lester', 'holt', 'fact', 'checked', 'claims']",True
"""862814356718972928""",92,0.0,0.0,20:39,Thu,48,7,122,1694523,"['rosie', 'donnell', 'responds', 'trump', 'newest', 'tweet']",True
"""862797169966927874""",28,0.175,0.275,19:30,Thu,95,12,122,1694523,"['exclusive', 'president', 'trump', 'backs', 'full', 'investigation', 'russian', 'interference', 'election']",True
"""862794331643629573""",151,0.0,0.0,19:19,Thu,57,9,122,1694523,"['john', 'heilemann', 'trump', 'covering', 'heart', 'russia', 'probe']",True
"""862775000734076928""",60,0.0,0.0,18:02,Thu,69,9,122,1694523,"['white', 'house', 'trump', 'asking', 'comey', 'investigation', 'inappropriate']",True
"""862759246953369602""",183,-0.16666666666666666,0.3333333333333333,17:00,Thu,68,10,122,1694523,"['maddow', 'fbi', 'acting', 'director', 'mccabe', 'serious', 'conflict', 'interest']",True
"""862751749588885505""",354,0.0,0.9,16:30,Thu,70,12,122,1694523,"['gop', 'strategiest', 'says', 'comey', 'firing', 'enormous', 'abuse', 'power', 'trump']",True
"""862744272289886210""",55,-0.07777777777777779,0.14444444444444446,16:00,Thu,115,15,122,1694523,"['tonight', '@lesterholtnbc', 'sits', 'down', 'oneonone', 'exclusive', 'interview', '@realdonaldtrump', 'white', 'house']",True
"""862741125991325696""",348,0.0,0.0,15:48,Thu,91,15,122,1694523,"['watch', 'senators', 'react', 'pres', 'trump', 'admitting', 'asked', 'comey', 'under', 'investigation']",True
"""862736613021028352""",170,0.0,0.0,15:30,Thu,67,11,122,1694523,"['chuck', 'todd', 'trump', 'starts', 'lose', 'sway', 'fellow', 'republicans']",True
"""862732771113844736""",250,-0.1,0.6,15:14,Thu,114,20,122,1694523,"['dep', 'press', 'sec', 'consider', 'trump', 'calling', 'comey', 'ask', 'under', 'investigation', 'conflict', 'interest']",True
"""862725315180740608""",1046,-0.9,1.0,14:45,Thu,115,20,122,1694523,"['joe', 'scarborough', 'gop', 'just', 'outraged', 'trump', 'calling', 'comey', 'lynch', 'meeting', 'bill', 'clinton']",True
"""862720218401050625""",137,0.0,0.0,14:25,Thu,47,8,122,1694523,"['fbi', 'intimidated', 'trump', 'expert', 'says']",True
"""862714371428016128""",260,0.0,0.0,14:01,Thu,105,15,122,1694523,"['exclusive', 'president', 'trump', 'reveals', 'asked', 'former', 'fbi', 'director', 'comey', 'whether', 'under', 'investigation']",True
"""862712443566514176""",55,0.3035714285714286,0.45238095238095233,13:54,Thu,114,17,122,1694523,"['special', 'report', 'president', 'trump', 'speaks', 'lester', 'holt', 'exclusive', 'first', 'interview', 'since', 'firing', 'fbi', 'dir', 'comey']",True
"""862706476892246017""",223,0.0,0.0,13:30,Thu,84,16,122,1694523,"['sen', 'angus', 'king', 'trump', 'admin', 'think', 'sort', 'spiraling', 'out', 'control']",True
"""862697931694002176""",426,0.1875,0.4375,12:56,Thu,87,12,122,1694523,"['acting', 'fbi', 'director', 'mccabe', 'consider', 'russia', 'investigation', 'highly', 'significant']",True
"""862697913100587008""",354,0.0,0.0,12:56,Thu,99,17,122,1694523,"['acting', 'fbi', 'director', 'mccabe', 'praises', 'comey', 'pushes', 'back', 'reports', 'agents', 'lost', 'faith']",True
"""862695081568022529""",30,0.0,0.0,12:45,Thu,52,7,122,1694523,"['president', 'trump', 'establish', 'voter', 'fraud', 'commission']",True
"""862692548816519170""",261,0.0,0.0,12:35,Thu,112,19,122,1694523,"['fbi', 'acting', 'director', 'andrew', 'mccabe', 'says', 'will', 'update', 'white', 'house', 'status', 'russia', 'investigation']",True
"""862691373094404096""",99,0.25,0.3,12:30,Thu,68,10,122,1694523,"['top', 'house', 'intel', 'democrat', 'discusses', 'following', 'trump', 'money', 'trail']",True
"""862684701374398465""",202,0.0,0.0,12:03,Thu,90,15,122,1694523,"['watch', 'acting', 'fbi', 'director', 'andrew', 'mccabe', 'says', 'stop', 'agency', 'doing', 'job']",True
"""862683774169100288""",185,0.0,0.0,12:00,Thu,81,17,122,1694523,"['joe', 'gop', 'allow', 'unchecked', 'will', 'swept', 'aside']",True
"""862682510622248960""",587,0.0,0.0,11:55,Thu,66,9,122,1694523,"['watch', 'intel', 'leaders', 'unanimously', 'agree', 'russia', 'meddled', 'election']",True
"""862676196970115072""",44,0.0,0.0,11:30,Thu,46,8,122,1694523,"['read', 'james', 'comey', 'farewell', 'letter', 'fbi']",True
"""862674344664678400""",397,-0.14583333333333334,0.4708333333333333,11:22,Thu,85,14,122,1694523,"['sen', 'warner', 'hard', 'avoid', 'conclusion', 'comey', 'firing', 'related', 'russia', 'probe']",True
"""862668703195963393""",342,0.0,0.0,11:00,Thu,79,13,122,1694523,"['fmr', 'gop', 'representative', 'says', 'embarrassing', 'time', 'republican']",True
"""862661134557597697""",101,0.2,0.1,10:30,Thu,75,13,122,1694523,"['democrat', 'house', 'intel', 'committee', 'wants', 'hear', 'james', 'comey']",True
"""862653644063244288""",107,-1.0,1.0,10:00,Thu,60,12,122,1694523,"['lawrence', 'mike', 'flynn', 'worst', 'day', 'life']",True
"""862646054973472774""",84,0.0,0.0,09:30,Thu,64,9,122,1694523,"['senate', 'intel', 'committee', 'subpoenas', 'michael', 'flynn', 'russia', 'probe']",True
"""862638490063974400""",180,-0.08888888888888889,0.14444444444444446,09:00,Thu,68,10,122,1694523,"['maddowblog', 'sean', 'spicer', 'spent', 'several', 'minutes', 'hidden', 'bushes']",True
"""862623373351952385""",102,0.0,0.0,08:00,Thu,42,6,122,1694523,"['comey', 'firing', 'constitutional', 'crisis']",True
"""862511038423609344""",158,0.0,0.0,00:33,Thu,66,11,122,1694523,"['reporter', 'arrested', 'asking', 'hhs', 'secretary', 'tom', 'price', 'question']",True
"""862503252184662018""",82,-0.0625,0.6875,00:02,Thu,74,15,122,1694523,"['chris', 'hayes', 'takes', 'look', 'only', 'other', 'time', 'fbi', 'director', 'fired']",True
"""862493835087273992""",283,0.0,0.0,23:25,Wed,38,5,122,1694523,"['chris', 'matthews', 'coverup', 'continues']",True
"""862482651495755777""",40,0.0,0.0,22:41,Wed,65,11,122,1694523,"['tom', 'brokaw', 'comey', 'firing', 'saturday', 'night', 'massacre']",True
"""862474821065736192""",35,0.0,0.0,22:09,Wed,37,8,122,1694523,"['can', 'trust', 'restored', 'fbi']",True
"""862463374344499200""",54,0.0,0.0,21:24,Wed,26,4,122,1694523,"['putin', 'popup', 'pundit']",True
"""862455449882415104""",118,0.0,0.0,20:52,Wed,69,11,122,1694523,"['fmr', 'doj', 'spokesman', 'trump', 'sending', 'signal', 'fbi', 'comey', 'firing']",True
"""862444714653614080""",69,0.0,0.0,20:10,Wed,36,5,122,1694523,"['democrats', 'ignited', 'after', 'comey', 'firing']",True
"""862435480306147328""",46,0.0,0.0,19:33,Wed,64,11,122,1694523,"['stephanie', 'ruhle', 'campaign', 'rodeo', 'back', 'white', 'house']",True
"""862416302178226177""",352,0.0,0.0,18:17,Wed,75,12,122,1694523,"['rep', 'maxine', 'waters', 'clinton', 'president', 'recommend', 'fire', 'comey']",True
"""862404415155834880""",53,0.0,0.0,17:30,Wed,69,13,122,1694523,"['need', 'know', 'trump', 'comey', 'russia', 'probe']",True
"""862396922140733440""",34,0.0,0.0,17:00,Wed,59,10,122,1694523,"['people', 'considered', 'interim', 'fbi', 'director']",True
