ID,RetweetCt,Polarity,Subjectivity,CreatedTime,CreatedDay,TextLength,WordCt,AccountAgeMo,UserFollowersCt,Keywords,HasLinks
"""863067172544950273""",3354,0.25,0.5,13:23,Fri,116,23,66,7696880,"['glad', 'back', '#phasummit', 'play', 'politics', 'kids', 'health', 'owe', 'let', 'make']",True
"""860591800523902976""",1764,0.65,0.75,17:27,Fri,112,17,66,7696880,"['thank', '@nickcannon', '&amp', 'many', 'others', 'supported', '#collegesigningday', 'proud', 'every', 'student', 'aiming']",True
"""860513538330198016""",1509,0.0,0.0,12:16,Fri,77,9,66,7696880,"['#bettermakeroom', '#collegesigningday', '@bettermakeroom']",True
"""860512548331954176""",2158,0.25,0.5,12:12,Fri,141,22,66,7696880,"['inspired', 'over', 'schools', '&amp', 'communities', 'all', 'states', 'shining', 'spotlight', 'higher', 'education', '#collegesigningday']",False
"""860509694489702400""",2559,0.2,0.5399999999999999,12:01,Fri,138,20,66,7696880,"['nyc', '#collegesigningday', 'can', 'wait', 'celebrate', 'today', 'collegebound', 'high', 'school', 'seniors', '#bettermakeroom']",False
"""859777335884689408""",21319,0.09166666666666667,0.6166666666666667,11:31,Wed,120,22,66,7696880,"['excited', 'potential', 'obama', 'pres', 'center', 'barack', '&amp', 'will', 'continue', 'champion', 'issues', 'close']",True
"""858023274869075968""",9019,0.0,0.0,15:21,Fri,116,21,66,7696880,"['hey', '@theellenshow', 'schooled', 'pushups', 'comes', 'courage', 'kindness', 'always']",True
"""857047894561619968""",23880,0.3,1.0,22:45,Tue,116,20,66,7696880,"['always', 'inspired', 'powerful', 'contributions', '@beyonce', 'role', 'model', 'all', 'thank', 'investing']",True
"""843938883851223041""",9234,0.0,0.05,18:34,Mon,116,19,66,7696880,"['look', 'spring', 'step', 'celebrate', '#firstdayofspring', 'grabbing', 'friend', 'heading', 'outside', 'get']",True
"""842405187323105280""",1402,0.2333333333333333,0.3888888888888889,13:00,Thu,138,22,66,7696880,"['thrilled', 'meet', 'young', 'chefs', '@masterchefjrfox', 'last', 'year', 'tune', 'tonight', 'see', 'cooked', '#masterchefjunior']",False
"""839582258952617984""",5691,0.6666666666666666,1.0,17:03,Wed,116,19,66,7696880,"['impressed', 'extraordinary', 'girls', 'met', '@cardozoec', 'represent', 'beauty', 'diversity', 'country']",True
"""838888475394998272""",72824,0.13333333333333333,0.13333333333333333,19:06,Mon,139,24,66,7696880,"['thanks', '@chancetherapper', 'giving', 'back', 'chicago', 'community', 'gave', 'much', 'example', 'power', 'arts', 'education']",False
"""836708933024776192""",5060,0.5,0.6,18:45,Tue,116,17,66,7696880,"['always', 'love', 'visiting', 'schools', 'thank', 'hosting', 'today', '@balloustay', 'stories', 'students', '#reachinghigher']",True
"""836310401541365760""",5126,0.6,0.6666666666666666,16:21,Mon,104,18,66,7696880,"['years', 'since', 'launching', '#letsmove', 'proud', 'done', 'support', 'healthy', 'families', 'more']",True
"""834856840265658369""",19417,0.0,1.0,16:05,Thu,116,19,66,7696880,"['remembering', 'made', 'possible', 'dreams', 'today', 'will', 'never', 'forget', 'stop', 'honoring', 'leg']",True
"""831534530221707265""",126440,0.6,0.8666666666666667,12:04,Tue,96,15,66,7696880,"['happy', 'valentine', 'day', 'love', 'life', 'favorite', 'island', 'mate', '@barackobama', '#valentines']",True
"""822552602558734336""",108772,0.048611111111111105,0.5,17:13,Fri,115,23,66,7696880,"['after', 'extraordinary', 'years', 'taking', 'little', 'break', 'will', 'back', 'before', 'know', 'work']",True
