ID,RetweetCt,Polarity,Subjectivity,CreatedTime,CreatedDay,TextLength,WordCt,AccountAgeMo,UserFollowersCt,Keywords,HasLinks
"""863005303268364288""",4,0.0,0.0,08:17,Fri,113,17,68,24385,"['police', 'hampton', 'virginia', 'issued', '#amberalert', 'thursday', 'night', 'monthold', 'girl', 'mother']",True
"""862430090919124998""",4,0.0,0.0,18:12,Wed,0,1,68,24385,[],True
"""862379457256009730""",14,-0.05,0.225,14:50,Wed,115,14,68,24385,"['locate', 'missing', '#findsheilakhalili', 'sheila', 'khalili', 'age', '#schaumburg', '#illinois', 'disappeared', 'near', 'olivet']",True
"""862014247118794752""",15,-0.25,0.05,14:39,Tue,38,5,68,24385,"['plover', 'wisconsin', 'woman', 'still', 'missing']",True
"""861660772442787841""",24,-0.1,0.025,15:15,Mon,116,21,68,24385,"['locate', 'missing', '#tx', 'amanda', 'brown', 'age', '#sherman', '#texas', 'left', 'home', 'dorado', 'mobile', 'park']",True
"""861236574146752512""",35,-0.25,0.05,11:09,Sun,116,15,68,24385,"['repost', 'missing', 'yearold', 'south', 'carolina', 'girl', 'bennettsville', 'marlboro', 'county', 'sheriff', 'office', 'arrested']",True
"""860449246323113987""",64,-0.2,0.05,07:01,Fri,115,17,68,24385,"['#candicemcdaniel', 'age', '#missing', 'north', '#newark', '#nj', '#newjersey', 'since', 'please', 'call', 'nwktips']",True
"""860256289464754176""",12,0.175,0.31250000000000006,18:14,Thu,114,19,68,24385,"['locate', 'missing', 'update', 'great', 'news', 'family', 'yukon', 'teenager', 'young', 'daughter', 'days']",True
"""860099121784475649""",24,-0.390625,0.05,07:49,Thu,115,16,68,24385,"['locate', 'missing', '#amberalert', 'emergency', 'please', 'repost', 'forsyth', 'county', 'sheriff', 'office', 'searching']",True
"""859874274538115076""",19,0.0,0.0,16:56,Wed,113,19,68,24385,"['phantom', 'serial', 'killer', 'children', 'out', 'prison', 'living', 'tucson', 'arizona', 'sunday', 'april']",True
"""859803520425500672""",17,-0.1,0.058333333333333334,12:15,Wed,113,16,68,24385,"['#bringaubreyhome', 'aubrey', 'jayce', 'carroll', '#missing', '#spaldingcounty', '#ga', 'since', 'last', 'seen']",True
"""859771412667564033""",13,-0.2,0.05,10:07,Wed,106,18,68,24385,"['manhunt', 'daniel', 'clark', '&amp', 'missing', 'girl', 'trinity', 'quinn', 'now', 'wanted', 'nashville', 'murder', 'gas', 'clerk']",True
"""859605707485786112""",18,-0.2,0.05,23:09,Tue,114,18,68,24385,"['locate', 'missing', '#locatetrinity', 'endangered', 'child', 'alert', 'issued', 'trinity', 'faith', 'quinn', 'age']",True
"""859576100111953924""",21,0.0,0.0,21:11,Tue,113,13,68,24385,"['locate', 'missing', '#findjesika', 'missing/endangered', '#oklahoma', 'girl', 'please', 'repost', 'jesika', 'cheyenne', 'skinner', 'age']",True
"""859469356010545152""",23,-0.06666666666666667,0.03888888888888889,14:07,Tue,114,16,68,24385,"['locate', 'missing', 'missing/endangered', '#az', 'teen', '#findlianna', 'lianna', 'lefler', 'gibson', 'age', 'last', 'seen', 'leaving']",True
"""859236483982643201""",96,-0.475,0.525,22:41,Mon,111,17,68,24385,"['still', 'missing', 'please', 'repost', 'help', 'kristie', 'davis', 'find', 'daughter', 'alyssa', 'nicole', 'ross', 'granddaughter']",True
"""859165527528402945""",26,-0.390625,0.05,17:59,Mon,113,15,68,24385,"['locate', 'missing', 'urgent', 'please', 'repost', 'missing/endangered', '#pa', 'girl', '#findnoelle', 'noelle', 'millero', 'age']",True
"""859068176465788928""",80,-0.2,0.05,11:33,Mon,120,15,68,24385,"['#teenmom', '&amp', '#baby', 'still', 'missing', '#findalyssaandadalyn', 'alyssa', 'adalyn', 'ross', '#okc', '#oklahomacity', '#oklahoma', '#yukon']",True
"""858921382624854016""",0,-0.75,1.0,01:49,Mon,50,9,68,24385,"['@karenhoward', 'works', 'found']",False
"""858853515711709184""",15,-0.2,0.05,21:20,Sun,117,13,68,24385,"['@kaillowry', 'please', '#teenmom', '&amp', '#baby', '#missing', '#findalyssaandadalyn', '#alyssaross', '#adalyn', '#okc', '#oklahomacity']",True
"""858852928039399425""",0,-0.2,0.05,21:17,Sun,57,9,68,24385,"['@kaillowry', 'please', 'see', 'link', 'missing', '#teenmom', '&amp', 'baby']",True
"""858852465260859392""",8,0.0,0.0,21:15,Sun,110,8,68,24385,"['@kaillowry', '@catelynnlowell', '@fabraham', '@kaleylynnh', '@heathermcdonald', '@reneegraziano', '@mchammer', '@teganmariemusic']",True
"""858734696544579586""",23,-0.016666666666666677,0.15,13:28,Sun,110,16,68,24385,"['locate', 'missing', '#missing', '#endangered', 'yearold', 'pregnant', '#aiken', '#sc', 'teen', 'headed', '#mexico']",True
"""858540173432426497""",106,-0.2,0.05,00:35,Sun,122,14,68,24385,"['#teenmom', '&amp', '#baby', '#missing', '#findalyssaandadalyn', '#alyssaross', '#adalyn', '#okc', '#oklahomacity', '#oklahoma', '#okla', '#yukon']",True
"""858473204549070854""",31,-0.25625,0.05,20:08,Sat,113,18,68,24385,"['locate', 'missing', 'urgent', 'please', 'repost', '#findamelia', '#missing', 'endangered', '#in', 'girl', 'headed', '#oh']",True
"""858332933760974851""",21,-0.06666666666666667,0.03888888888888889,10:51,Sat,113,21,68,24385,"['locate', 'missing', '#mn', 'teen', 'taken', '#stlouis', '#mo', 'paige', 'overby', 'age', 'last', 'seen', '#mora']",True
"""858123359028219904""",94,-0.2,0.05,20:58,Fri,120,16,68,24385,"['now', 'click', 'save', '#reillyscarbrough', 'life', '#findreillyscarbrough', '#mena', '#arkansas', 'boy', 'missing', 'sister/mom', '&amp']",True
"""858117378831507456""",12,-0.3125,0.05,20:35,Fri,110,15,68,24385,"['locate', 'missing', 'emergecny', 'please', 'repost', 'now', 'click', 'save', 'life', '#findreillyscarbrough', '#mena']",True
"""858014870800928768""",47,-0.2,0.05,13:47,Fri,120,17,68,24385,"['#sooners', '#missing', 'mom', '#alyssaross', '&amp', '#baby', 'daughter', 'adalyn', '#okc', 'area', '#oklahomacity', '#oklahoma', '#okla', '#yukon', '#ok']",True
"""857958714850062337""",69,0.15,0.275,10:04,Fri,124,19,68,24385,"['#missing', 'endangered', '#teenmom', '&amp', '#baby', '#okc', 'area', '#oklahomacity', '#oklahoma', '#okla', '#yukon', '#ok', 'alyssa', 'ross', 'age']",True
"""857800865255755776""",28,0.056249999999999994,0.4,23:37,Thu,110,14,68,24385,"['locate', 'missing', '#okla', '#ok', 'urgent', '#findalyssaandadalyn', '#teenmom', '&amp', 'baby', '#missing', 'under', 'mysterious']",True
"""857763329393258498""",18,0.3,0.9,21:08,Thu,57,9,68,24385,"['wanted', 'raping', 'elementary', 'student', 'south', 'carolina']",True
"""857734844465516544""",17,0.0,0.06666666666666667,19:14,Thu,111,19,68,24385,"['locate', 'missing', '#fl', 'cheyenne', 'nicole', 'schroeder', 'age', 'last', 'seen', '#tampa', '#florida', 'march']",True
"""857686922319323136""",15,-0.2,0.05,16:04,Thu,112,16,68,24385,"['locate', 'missing', '#findme', 'mary', 'elizabeth', 'nicole', 'beeson', '#benton', '#louisiana', 'reported', '#missing']",True
"""857619507480854529""",13,-0.2,0.05,11:36,Thu,112,14,68,24385,"['locate', 'missing', '#indiana', '&amp', '#newyork', '#findmckenziewireman', 'mckenzie', 'wireman', 'age', 'disappeared']",True
"""857570926057181184""",17,-0.21666666666666667,0.16666666666666666,08:23,Thu,116,14,68,24385,"['locate', 'missing', '#arkansas', 'emergency', 'repost', '#missing', '#endangered', 'children', 'dead', 'body', 'found', 'nearby', 'authorities']",True
"""857367346150858752""",16,-0.1,0.058333333333333334,18:54,Wed,116,18,68,24385,"['locate', 'missing', '#virginia', '#findtaitum', 'taitum', 'catherine', 'seay', 'age', 'last', 'seen', '#spotsylvania', '#va']",True
"""857308506831167488""",7,0.0,0.0,15:00,Wed,0,1,68,24385,[],True
"""857273105517031424""",14,-0.3125,0.05,12:40,Wed,109,14,68,24385,"['locate', 'missing', 'update', 'still', '#missing', 'reward', 'please', 'repost', '#bringpapawhome', 'retired', '#dallas', '#tx']",True
"""857237372844605441""",16,-0.28125,0.05,10:18,Wed,115,13,68,24385,"['locate', 'missing', 'emergency', '#missing', '#endangered', '#illinois', 'baby', 'repost', '#findsemaj', 'monthold', 'semaj', 'crosby']",True
"""857031333331292162""",22,-0.225,0.05,20:39,Tue,114,15,68,24385,"['locate', 'missing', 'urgent', '#missing', '#michigan', '#autism', '#findanthonymcclain', 'anthony', 'mcclain', 'age']",True
"""856899650091192321""",25,-0.1,0.025,11:56,Tue,112,12,68,24385,"['locate', 'missing', '#findsydneystrutz', 'missing/endangered', '#southdakota', 'teen', 'sydney', 'strutz', 'age', 'disappeared']",True
"""856870055962959872""",47,-0.6,0.9,09:58,Tue,107,17,68,24385,"['#amberalert', 'issued', 'yearold', 'girl', 'taken', 'rancho', 'cucamonga', 'man', 'said', 'armed', 'dangerous']",True
"""856681314560471040""",24,-0.1,0.025,21:28,Mon,115,16,68,24385,"['locate', 'missing', 'medical', 'issues', 'tiffany', 'anna', 'birdie', 'oscarsson', 'age', '#flatrock', '#northcarolina', 'area']",True
"""856612897706921984""",19,-0.2,0.05,16:56,Mon,113,15,68,24385,"['locate', 'missing', '#in', '#mo', '#ar', '#findsummertiller', 'summer', 'tiller', 'age', '#bloomington', '#indiana', 'disappeared']",True
"""856573571962949632""",28,-0.25,0.05,14:20,Mon,116,18,68,24385,"['locate', 'missing', '#bolo', 'wanted', 'child', 'rapist', 'police', 'james', 'city', 'county', '#virginia', 'need', 'help', 'finding', 'larry']",True
"""856509484017094656""",43,-0.2125,0.19999999999999998,10:05,Mon,116,17,68,24385,"['locate', 'missing', 'update', 'aramazd', 'andressian', 'still', '#missing', 'police', 'searching', 'little', 'boy']",True
"""856000147658080256""",91,-0.225,0.05,00:21,Sun,112,14,68,24385,"['locate', 'missing', 'emergency', 'yearold', 'south', 'pasadena', 'california', 'boy', 'father', 'found', 'unresponsive']",True
"""855504300088471552""",19,-0.2,0.05,15:31,Fri,114,19,68,24385,"['locate', 'missing', '#calif', 'emma', 'jordan', 'age', 'disappeared', 'block', 'adam', 'road', '#simivalley']",True
"""855268232684486656""",18,-0.1,0.058333333333333334,23:53,Thu,113,19,68,24385,"['locate', 'missing', '#wi', 'maya', 'couillard', 'age', '#greenbay', '#wisconsin', 'last', 'seen', 'dropped']",True
"""855213975054766081""",25,-0.1,0.058333333333333334,20:17,Thu,106,16,68,24385,"['locate', 'missing', '#twincities', '#stpaul', '#mpls', '#mn', 'katelyn', 'mathis', 'age', 'last', 'seen', '#saintpaul']",True
"""855107604485472257""",18,0.625,0.5,13:15,Thu,53,7,68,24385,"['tad', 'cummins', 'arrested', 'elizabeth', 'thomas', 'found', 'safe']",True
"""855077053774913536""",14,-0.2,0.05,11:13,Thu,115,20,68,24385,"['locate', 'missing', '#mn', '#tx', '#az', 'hailey', 'ann', 'delbow', 'age', 'terry', 'dewayne', 'cook', '#newprague']",True
"""854800883607113730""",20,1.0,0.75,16:56,Wed,115,17,68,24385,"['great', 'news', 'araseli', 'jimenez', 'vasquez', 'found', 'alive', 'suspect', 'armando', 'aguilar', 'yet', 'located']",True
"""854773160255918080""",17,-0.2,0.05,15:06,Wed,113,19,68,24385,"['kira', 'jewell', 'age', '#missing', 'home', '#harriet', '#arkansas', 'since', 'saturday', 'april']",True
"""854714435721732096""",41,0.0,0.0,11:12,Wed,116,16,68,24385,"['#amberalert', 'arasely', 'jimenezvasquez', 'age', '#abducted', 'armando', 'aguilar', '#atlmetro', '#atlanta', '#georgia', '#atl', '#ga', 'new']",True
"""854706839405068289""",21,-0.25,0.05,10:42,Wed,104,15,68,24385,"['locate', 'missing', 'emergency', 'repost', '#amberalert', 'issued', '#atlanta', '#georgia', 'arasely']",True
